,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1910,0.9,2.4,0.2,31.9,22.6,179.6,222.2,204.5,216.8,286.4,87.2,0.0,1254.6,3.3,54.7,823.0,373.6
1,assam,1910,9.2,32.1,152.8,211.5,274.6,582.5,738.3,418.3,247.8,199.7,16.2,4.3,2887.3,41.3,638.9,1986.9,220.2
2,west bengal,1910,2.4,4.8,6.6,5.7,51.5,279.5,365.1,328.8,258.5,73.8,21.7,0.0,1398.5,7.2,63.8,1232.0,95.5
3,chhattisgarh,1910,9.0,0.6,3.7,21.5,13.3,246.0,296.6,441.4,265.2,92.6,17.4,0.0,1407.2,9.5,38.6,1249.2,110.0
4,delhi,1910,19.7,5.1,0.1,2.1,3.1,69.0,107.9,150.4,159.7,87.3,0.0,0.8,605.2,24.8,5.3,487.0,88.1
5,goa,1910,0.0,0.0,0.3,0.0,2.6,832.4,407.8,763.2,374.6,121.4,41.7,0.0,2544.0,0.0,2.9,2378.0,163.1
6,gujarat,1910,0.6,0.0,0.0,0.1,0.0,262.6,290.2,338.5,44.7,23.1,14.8,0.0,974.6,0.6,0.1,936.0,37.9
7,haryana,1910,19.7,5.1,0.1,2.1,3.1,69.0,107.9,150.4,159.7,87.3,0.0,0.8,605.2,24.8,5.3,487.0,88.1
8,himachal pradesh,1910,49.9,48.9,42.7,48.9,46.8,133.5,408.3,355.4,174.2,37.0,5.5,55.8,1406.9,98.8,138.4,1071.4,98.3
9,jammu & kashmir,1910,123.6,85.1,65.6,99.7,33.0,126.2,193.7,276.1,39.4,0.4,0.1,66.7,1109.4,208.7,198.3,635.4,67.1
10,jharkhand,1910,20.7,9.0,2.4,24.4,43.7,255.5,268.6,334.5,244.7,84.2,9.4,0.3,1297.6,29.7,70.5,1103.3,94.0
11,karnataka,1910,0.0,0.37,5.67,11.9,52.73,415.1,323.83,359.77,250.5,167.17,58.77,0.0,1645.83,0.37,70.33,1349.23,225.97
12,kerala,1910,2.7,25.7,23.3,124.5,148.8,680.0,484.1,473.8,248.6,356.6,280.4,0.1,2848.6,28.4,296.7,1886.5,637.0
13,madhya pradesh,1910,5.75,0.05,0.25,1.45,5.15,196.15,204.55,325.7,251.05,49.65,51.05,0.0,1090.85,5.8,6.85,977.5,100.7
14,maharashtra,1910,0.0,0.0,1.0,0.0,13.1,204.6,172.0,228.6,195.7,70.0,30.2,0.0,915.2,0.0,14.0,800.9,100.3
15,meghalaya,1910,9.2,32.1,152.8,211.5,274.6,582.5,738.3,418.3,247.8,199.7,16.2,4.3,2887.3,41.3,638.9,1986.9,220.2
16,orissa,1910,10.6,0.6,2.1,52.7,60.6,258.8,381.8,368.7,237.9,216.2,8.5,0.0,1598.5,11.2,115.5,1247.1,224.7
17,punjab,1910,27.1,5.6,1.1,2.7,1.4,111.4,143.9,217.9,79.5,21.0,0.0,4.8,616.3,32.7,5.2,552.6,25.7
18,rajasthan,1910,5.05,0.65,0.0,2.75,0.75,95.95,82.25,203.4,73.2,24.35,1.0,0.0,489.25,5.65,3.55,454.7,25.35
19,sikkim,1910,2.5,17.4,73.2,47.4,170.4,833.7,859.8,489.2,353.1,188.0,11.2,0.2,3046.1,19.9,291.1,2535.7,199.3
20,tamil nadu,1910,9.2,21.2,2.4,26.8,64.7,51.5,148.1,142.0,52.4,278.0,146.7,0.6,943.7,30.4,93.8,394.2,425.3
21,tripura,1910,26.0,10.9,30.7,138.4,228.0,444.8,405.0,439.8,336.2,196.0,12.3,0.0,2267.9,36.9,397.0,1625.8,208.3
22,uttar pradesh,1910,7.75,1.35,0.25,1.5,21.05,125.9,175.7,307.95,209.45,126.25,18.55,0.3,996.15,9.1,22.9,819.05,145.1
23,uttarakhand,1910,34.6,38.8,12.1,21.4,59.3,231.0,505.6,526.8,253.9,264.6,8.4,7.4,1963.9,73.3,92.8,1517.3,280.5
24,bihar,1910,26.0,10.9,30.7,138.4,228.0,444.8,405.0,439.8,336.2,196.0,12.3,0.0,2267.9,36.9,397.0,1625.8,208.3
25,arunachal pradesh,1910,26.0,10.9,30.7,138.4,228.0,444.8,405.0,439.8,336.2,196.0,12.3,0.0,2267.9,36.9,397.0,1625.8,208.3
26,manipur,1910,26.0,10.9,30.7,138.4,228.0,444.8,405.0,439.8,336.2,196.0,12.3,0.0,2267.9,36.9,397.0,1625.8,208.3
27,mizoram,1910,26.0,10.9,30.7,138.4,228.0,444.8,405.0,439.8,336.2,196.0,12.3,0.0,2267.9,36.9,397.0,1625.8,208.3
28,nagaland,1910,26.0,10.9,30.7,138.4,228.0,444.8,405.0,439.8,336.2,196.0,12.3,0.0,2267.9,36.9,397.0,1625.8,208.3
