,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1905,1.1,16.7,68.0,37.0,68.8,84.4,64.6,210.8,170.2,66.0,7.4,0.0,795.2,17.8,173.8,530.1,73.4
1,assam,1905,19.9,16.9,137.9,213.0,275.5,521.7,439.1,649.1,276.0,200.0,16.8,24.8,2790.6,36.8,626.3,1886.0,241.6
2,west bengal,1905,16.0,30.1,32.6,21.4,77.5,50.5,409.1,495.3,353.9,11.6,0.0,0.6,1498.5,46.1,131.4,1308.8,12.2
3,chhattisgarh,1905,50.3,22.6,19.0,24.6,31.8,40.4,443.7,270.8,338.8,8.9,0.0,0.0,1251.1,72.9,75.5,1093.8,8.9
4,delhi,1905,44.8,20.8,14.0,1.3,7.4,20.1,93.6,23.1,92.6,0.0,0.0,5.1,322.9,65.7,22.7,229.4,5.1
5,goa,1905,0.1,0.1,0.0,0.4,8.6,293.7,770.6,305.5,208.3,83.5,12.1,0.0,1682.8,0.2,9.0,1578.1,95.5
6,gujarat,1905,0.1,0.7,1.1,0.3,0.0,20.1,668.3,37.9,81.3,1.4,0.2,0.1,811.5,0.8,1.3,807.6,1.7
7,haryana,1905,44.8,20.8,14.0,1.3,7.4,20.1,93.6,23.1,92.6,0.0,0.0,5.1,322.9,65.7,22.7,229.4,5.1
8,himachal pradesh,1905,81.3,76.8,160.2,39.3,50.4,43.6,191.1,132.8,119.1,0.3,0.9,34.4,930.2,158.1,249.8,486.6,35.6
9,jammu & kashmir,1905,146.7,76.3,161.4,71.7,65.2,43.3,145.2,111.5,239.7,5.8,0.6,90.2,1157.7,223.0,298.4,539.7,96.7
10,jharkhand,1905,38.4,53.3,61.6,32.9,66.2,41.5,420.3,293.7,322.8,21.3,0.0,2.7,1354.7,91.7,160.7,1078.3,24.0
11,karnataka,1905,0.57,4.7,5.6,15.33,84.3,320.93,328.6,288.9,86.07,150.0,20.97,0.1,1305.97,5.23,105.23,1024.43,171.1
12,kerala,1905,1.2,22.3,9.4,105.9,263.3,850.2,520.5,293.6,217.2,383.5,74.4,0.2,2741.6,23.4,378.5,1881.5,458.1
13,madhya pradesh,1905,9.7,6.2,7.7,6.55,6.6,35.25,309.35,190.45,217.2,1.6,0.0,0.8,791.25,15.9,20.8,752.25,2.35
14,maharashtra,1905,0.0,1.2,0.0,2.3,23.6,65.0,252.8,79.0,52.6,52.9,8.3,0.0,537.8,1.2,25.9,449.5,61.2
15,meghalaya,1905,19.9,16.9,137.9,213.0,275.5,521.7,439.1,649.1,276.0,200.0,16.8,24.8,2790.6,36.8,626.3,1886.0,241.6
16,orissa,1905,24.3,17.2,66.3,56.9,107.5,92.0,330.1,281.4,344.1,36.4,0.7,0.4,1357.3,41.5,230.7,1047.6,37.5
17,punjab,1905,53.0,40.3,24.3,0.5,2.2,19.2,122.6,50.3,111.1,1.2,0.0,9.4,434.3,93.3,27.0,303.2,10.7
18,rajasthan,1905,5.2,6.8,1.95,1.45,1.15,9.65,80.3,15.75,74.15,0.0,0.0,0.75,197.1,11.9,4.6,179.85,0.75
19,sikkim,1905,12.0,31.2,51.9,104.4,290.6,524.8,523.1,1036.6,321.1,87.9,2.7,18.7,3005.0,43.2,447.0,2405.6,109.3
20,tamil nadu,1905,6.5,7.5,17.2,64.8,83.7,49.8,39.0,101.8,73.5,250.4,123.7,3.2,821.1,14.0,165.7,264.1,377.2
21,tripura,1905,9.1,35.3,306.5,161.7,193.6,339.7,450.1,429.9,320.1,246.4,8.0,27.1,2527.6,44.5,661.8,1539.8,281.5
22,uttar pradesh,1905,24.55,25.1,17.4,4.5,11.25,18.1,221.1,205.6,130.85,1.75,0.0,2.25,662.55,49.75,33.2,575.65,4.0
23,uttarakhand,1905,115.4,80.7,99.8,26.1,70.3,111.5,299.9,349.5,129.5,0.0,1.0,18.5,1302.1,196.0,196.2,890.4,19.5
24,bihar,1905,9.1,35.3,306.5,161.7,193.6,339.7,450.1,429.9,320.1,246.4,8.0,27.1,2527.6,44.5,661.8,1539.8,281.5
25,arunachal pradesh,1905,9.1,35.3,306.5,161.7,193.6,339.7,450.1,429.9,320.1,246.4,8.0,27.1,2527.6,44.5,661.8,1539.8,281.5
26,manipur,1905,9.1,35.3,306.5,161.7,193.6,339.7,450.1,429.9,320.1,246.4,8.0,27.1,2527.6,44.5,661.8,1539.8,281.5
27,mizoram,1905,9.1,35.3,306.5,161.7,193.6,339.7,450.1,429.9,320.1,246.4,8.0,27.1,2527.6,44.5,661.8,1539.8,281.5
28,nagaland,1905,9.1,35.3,306.5,161.7,193.6,339.7,450.1,429.9,320.1,246.4,8.0,27.1,2527.6,44.5,661.8,1539.8,281.5
