,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1963,0.0,0.0,7.0,50.2,23.5,126.6,137.4,176.1,131.3,371.7,0.1,0.0,1023.9,0.0,80.7,571.4,371.8
1,arunachal pradesh,1963,14.6,35.2,168.6,262.6,346.4,755.4,817.4,1199.3,366.4,136.4,20.0,15.7,4138.0,49.8,777.6,3138.5,172.1
2,assam,1963,3.3,7.9,51.1,183.3,288.4,596.0,557.3,432.0,211.7,144.1,29.4,7.2,2511.8,11.2,522.8,1797.1,180.7
3,west bengal,1963,1.25,1.55,18.95,82.75,213.6,334.1,476.85,389.5,269.3,142.0,15.6,1.75,1947.1,2.7,315.3,1469.75,159.35
4,bihar,1963,3.4,1.7,9.4,17.5,78.9,154.0,375.4,273.5,255.7,138.7,17.8,0.2,1326.1,5.1,105.9,1058.6,156.6
5,chhattisgarh,1963,0.4,5.4,8.9,44.8,28.2,160.8,349.4,387.7,258.8,91.2,1.2,0.3,1337.2,5.8,82.0,1156.7,92.7
6,delhi,1963,3.1,4.1,4.4,2.0,3.9,40.7,55.3,307.6,85.3,0.0,9.0,6.3,521.8,7.2,10.4,488.9,15.4
7,goa,1963,0.0,0.1,0.1,1.1,7.6,594.5,1178.8,1414.7,306.3,91.9,11.7,0.0,3606.8,0.1,8.8,3494.3,103.6
8,gujarat,1963,1.4,0.0,0.9,0.3,0.3,65.4,291.4,350.9,227.6,26.0,33.1,0.4,997.9,1.4,1.6,935.3,59.5
9,haryana,1963,3.1,4.1,4.4,2.0,3.9,40.7,55.3,307.6,85.3,0.0,9.0,6.3,521.8,7.2,10.4,488.9,15.4
10,himachal pradesh,1963,14.1,57.2,201.2,49.5,47.2,108.9,325.7,308.1,111.3,2.4,76.8,52.2,1354.5,71.3,297.9,854.0,131.3
11,jammu & kashmir,1963,0.0,36.4,251.8,188.9,82.4,24.8,68.4,67.0,32.9,12.8,83.5,60.2,909.2,36.4,523.1,193.1,156.5
12,jharkhand,1963,2.8,7.8,9.9,23.3,67.7,171.5,301.6,249.0,241.3,228.6,11.2,0.2,1315.0,10.6,100.8,963.4,240.1
13,karnataka,1963,0.77,4.8,25.17,41.5,81.0,301.3,386.33,480.6,112.2,202.03,6.07,7.43,1649.07,5.57,147.63,1280.4,215.5
14,kerala,1963,30.2,24.8,69.8,96.3,157.1,393.3,720.2,511.0,223.9,282.6,93.4,48.4,2651.1,55.0,323.2,1848.5,424.4
15,madhya pradesh,1963,6.65,9.5,4.1,9.6,7.3,109.45,254.7,363.75,199.5,27.35,19.15,1.7,1012.75,16.15,20.95,927.45,48.15
16,maharashtra,1963,0.8,4.3,14.0,12.0,23.3,138.6,252.3,268.7,72.7,93.5,19.1,0.6,899.9,5.1,49.3,732.3,113.2
17,meghalaya,1963,3.3,7.9,51.1,183.3,288.4,596.0,557.3,432.0,211.7,144.1,29.4,7.2,2511.8,11.2,522.8,1797.1,180.7
18,orissa,1963,0.2,6.9,9.1,47.0,90.0,218.7,310.6,361.9,306.9,204.9,3.9,2.0,1562.0,7.0,146.1,1198.1,210.8
19,punjab,1963,0.4,14.5,34.3,3.0,12.7,31.3,116.7,199.4,42.6,0.6,7.0,13.6,476.2,14.9,50.0,390.0,21.3
20,rajasthan,1963,0.25,1.0,3.35,2.1,2.65,19.75,76.8,190.15,62.15,5.9,11.35,0.6,376.1,1.3,8.1,348.85,17.85
21,sikkim,1963,2.1,0.7,32.2,103.9,323.6,409.4,676.1,611.9,267.7,152.5,21.7,3.0,2604.7,2.7,459.7,1965.1,177.2
22,tamil nadu,1963,76.2,4.8,39.1,56.5,45.1,49.9,93.1,88.7,115.0,173.4,195.0,135.9,1072.8,81.0,140.7,346.8,504.3
23,tripura,1963,0.0,4.6,50.7,179.3,278.5,687.9,510.3,383.0,494.6,373.4,6.5,1.2,2970.0,4.6,508.4,2075.9,381.1
24,uttar pradesh,1963,14.2,3.7,7.6,6.05,14.55,85.4,243.1,350.65,212.8,12.6,9.45,3.0,963.0,17.8,28.2,891.95,25.05
25,uttarakhand,1963,17.4,35.5,130.9,51.4,49.3,193.1,360.9,523.4,345.1,10.8,43.9,40.2,1802.0,52.8,231.6,1422.5,95.0
26,manipur,1963,0.0,4.6,50.7,179.3,278.5,687.9,510.3,383.0,494.6,373.4,6.5,1.2,2970.0,4.6,508.4,2075.9,381.1
27,mizoram,1963,0.0,4.6,50.7,179.3,278.5,687.9,510.3,383.0,494.6,373.4,6.5,1.2,2970.0,4.6,508.4,2075.9,381.1
28,nagaland,1963,0.0,4.6,50.7,179.3,278.5,687.9,510.3,383.0,494.6,373.4,6.5,1.2,2970.0,4.6,508.4,2075.9,381.1
