,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1991,19.6,3.3,6.6,17.9,24.5,215.5,145.3,134.4,265.7,148.7,132.4,8.3,1122.1,22.8,49.0,760.9,289.3
1,arunachal pradesh,1991,24.9,86.0,110.7,193.3,423.7,608.3,607.7,603.4,484.5,189.0,22.2,80.8,3434.4,110.9,727.7,2303.9,291.9
2,assam,1991,13.7,30.2,62.1,175.7,495.8,517.8,440.5,388.2,437.3,226.2,9.4,41.1,2838.0,43.9,733.6,1783.8,276.7
3,west bengal,1991,34.65,17.8,43.75,68.6,174.9,474.4,486.9,416.1,469.35,96.7,8.65,48.95,2340.75,52.45,287.25,1846.7,154.3
4,bihar,1991,14.5,6.3,7.9,8.9,31.2,176.2,179.7,324.2,270.5,7.2,0.0,19.2,1045.7,20.7,48.0,950.5,26.5
5,chhattisgarh,1991,10.6,1.6,9.2,3.7,4.7,143.8,446.2,411.2,135.1,37.9,9.3,7.6,1220.8,12.2,17.5,1136.2,54.9
6,delhi,1991,0.1,19.7,2.9,13.2,6.0,50.4,55.3,187.9,36.9,1.4,3.8,16.2,393.9,19.7,22.2,330.5,21.4
7,goa,1991,0.0,0.0,0.0,6.4,14.7,759.2,1461.4,598.8,92.7,20.3,0.8,0.3,2954.6,0.0,21.2,2912.1,21.4
8,gujarat,1991,0.0,0.0,0.0,0.0,0.0,55.6,440.8,133.8,41.8,0.0,0.7,0.0,672.7,0.0,0.0,672.0,0.7
9,haryana,1991,0.1,19.7,2.9,13.2,6.0,50.4,55.3,187.9,36.9,1.4,3.8,16.2,393.9,19.7,22.2,330.5,21.4
10,himachal pradesh,1991,24.0,143.1,120.6,104.5,69.7,67.1,141.6,258.3,128.5,2.2,4.3,40.9,1104.8,167.1,294.8,595.6,47.4
11,jammu & kashmir,1991,71.3,216.5,176.1,233.2,93.5,75.6,162.8,204.4,148.9,10.6,5.6,50.5,1448.8,287.8,502.7,591.6,66.7
12,jharkhand,1991,19.3,8.0,31.1,11.2,33.7,171.3,252.9,384.0,274.0,29.4,1.9,34.2,1250.9,27.3,76.0,1082.2,65.5
13,karnataka,1991,0.43,0.03,1.4,53.07,88.1,474.83,639.73,385.33,87.63,117.97,38.17,0.27,1886.97,0.47,142.53,1587.53,156.4
14,kerala,1991,10.9,4.4,33.2,97.0,113.4,1096.1,905.5,465.5,48.5,307.8,99.9,2.3,3184.5,15.3,243.6,2515.6,410.0
15,madhya pradesh,1991,1.8,5.7,8.7,3.35,1.95,97.5,332.0,375.15,46.2,2.55,3.35,2.85,881.2,7.5,13.95,850.95,8.8
16,maharashtra,1991,0.0,0.1,0.3,12.2,19.2,293.8,318.1,143.9,67.3,21.0,4.7,0.1,880.5,0.1,31.8,823.0,25.7
17,meghalaya,1991,13.7,30.2,62.1,175.7,495.8,517.8,440.5,388.2,437.3,226.2,9.4,41.1,2838.0,43.9,733.6,1783.8,276.7
18,orissa,1991,20.0,2.8,21.8,29.6,36.2,149.5,458.5,439.0,181.5,93.5,32.9,7.3,1472.8,22.8,87.7,1228.6,133.7
19,punjab,1991,0.1,39.8,16.0,34.8,10.8,73.5,86.8,144.3,41.7,1.0,0.2,26.8,475.9,39.9,61.7,346.3,28.0
20,rajasthan,1991,0.2,3.25,0.2,12.3,5.0,18.7,167.6,134.95,30.1,0.2,2.65,3.75,378.8,3.45,17.55,351.25,6.6
21,sikkim,1991,41.5,24.2,45.8,102.7,283.7,691.4,592.6,500.9,689.5,67.8,1.7,30.4,3072.4,65.7,432.3,2474.4,99.9
22,tamil nadu,1991,24.2,4.6,9.7,37.4,29.5,128.1,54.7,71.7,114.0,225.1,234.4,21.4,954.8,28.9,76.6,368.5,480.9
23,tripura,1991,27.5,41.9,64.1,253.5,619.4,456.6,297.3,326.0,387.3,291.4,28.0,58.9,2851.9,69.4,937.0,1467.2,378.3
24,uttar pradesh,1991,5.75,14.9,7.7,3.4,3.4,71.5,115.8,401.05,163.15,0.1,5.3,20.0,811.95,20.65,14.5,751.5,25.35
25,uttarakhand,1991,13.2,58.0,52.0,51.6,21.2,81.8,219.8,346.7,126.4,0.5,10.1,39.4,1020.7,71.2,124.8,774.6,50.1
26,manipur,1991,27.5,41.9,64.1,253.5,619.4,456.6,297.3,326.0,387.3,291.4,28.0,58.9,2851.9,69.4,937.0,1467.2,378.3
27,mizoram,1991,27.5,41.9,64.1,253.5,619.4,456.6,297.3,326.0,387.3,291.4,28.0,58.9,2851.9,69.4,937.0,1467.2,378.3
28,nagaland,1991,27.5,41.9,64.1,253.5,619.4,456.6,297.3,326.0,387.3,291.4,28.0,58.9,2851.9,69.4,937.0,1467.2,378.3
