,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1921,52.3,0.1,0.1,35.3,11.2,97.6,204.6,168.0,228.7,192.6,24.7,0.0,1015.0,52.4,46.5,698.9,217.2
1,arunachal pradesh,1921,78.9,54.3,180.3,358.0,598.0,1233.2,1433.0,885.9,603.4,246.3,4.6,15.5,5691.4,133.2,1136.3,4155.5,266.4
2,assam,1921,35.1,20.3,134.1,324.6,414.8,604.9,542.2,429.4,333.2,142.1,8.5,10.3,2999.7,55.4,873.6,1909.8,160.9
3,west bengal,1921,37.2,8.05,34.05,107.4,278.2,413.8,624.9,451.75,328.65,117.85,1.35,3.55,2406.8,45.25,419.7,1819.1,122.8
4,bihar,1921,26.8,0.6,6.5,21.2,26.3,132.4,303.8,422.0,295.8,37.0,0.0,0.0,1272.2,27.3,54.0,1153.9,37.0
5,chhattisgarh,1921,39.6,1.6,0.0,6.2,0.0,335.4,311.4,401.8,210.9,12.3,0.0,0.0,1319.4,41.2,6.2,1259.6,12.3
6,delhi,1921,21.3,1.2,0.5,1.4,0.0,13.7,100.2,189.5,86.1,29.5,0.0,3.0,446.5,22.5,2.0,389.5,32.5
7,goa,1921,0.3,0.0,0.1,4.8,0.0,658.1,1102.5,611.8,450.4,57.5,13.7,0.0,2899.2,0.3,5.0,2822.7,71.2
8,gujarat,1921,0.8,0.0,0.0,0.0,0.0,31.1,529.7,205.4,405.1,0.4,0.0,0.2,1172.8,0.8,0.0,1171.3,0.6
9,haryana,1921,21.3,1.2,0.5,1.4,0.0,13.7,100.2,189.5,86.1,29.5,0.0,3.0,446.5,22.5,2.0,389.5,32.5
10,himachal pradesh,1921,87.8,20.9,9.1,29.6,32.0,42.6,264.1,465.6,195.7,57.9,0.0,106.1,1311.2,108.7,70.6,968.0,164.0
11,jammu & kashmir,1921,140.6,71.3,60.4,44.9,21.8,56.7,137.7,209.3,65.8,76.8,3.1,169.3,1057.6,211.9,127.1,469.5,249.2
12,jharkhand,1921,37.1,11.0,1.4,20.8,12.9,228.2,325.2,391.5,182.8,22.8,0.0,0.0,1233.8,48.1,35.2,1127.7,22.8
13,karnataka,1921,9.53,0.0,2.53,60.2,23.73,292.6,415.97,350.93,151.33,140.5,78.17,0.0,1525.43,9.53,86.47,1210.8,218.67
14,kerala,1921,43.0,4.7,15.0,171.3,104.1,489.1,639.8,641.9,156.7,302.4,136.2,15.8,2719.9,47.8,290.3,1927.5,454.3
15,madhya pradesh,1921,26.5,1.85,0.0,0.25,0.0,176.7,221.2,297.4,245.25,1.1,0.0,0.0,970.4,28.4,0.3,940.55,1.1
16,maharashtra,1921,1.6,0.0,0.3,9.0,1.1,105.8,291.6,125.0,128.7,47.5,23.7,0.0,734.3,1.6,10.4,651.1,71.2
17,meghalaya,1921,35.1,20.3,134.1,324.6,414.8,604.9,542.2,429.4,333.2,142.1,8.5,10.3,2999.7,55.4,873.6,1909.8,160.9
18,orissa,1921,48.7,1.1,1.7,26.4,19.5,210.2,321.9,289.1,338.2,62.9,4.4,0.0,1324.0,49.7,47.7,1159.4,67.2
19,punjab,1921,19.3,3.9,0.7,0.7,1.0,19.9,116.8,113.9,46.6,27.0,0.0,20.5,370.4,23.2,2.5,297.2,47.6
20,rajasthan,1921,9.2,0.0,0.0,0.1,0.0,13.3,149.05,99.95,109.85,0.8,0.05,0.55,382.9,9.2,0.1,372.2,1.35
21,sikkim,1921,37.9,6.0,54.9,157.4,503.1,589.2,970.2,521.4,479.6,183.8,2.7,7.1,3513.4,43.9,715.5,2560.4,193.7
22,tamil nadu,1921,141.2,0.0,1.7,72.3,39.5,55.7,92.5,129.6,78.3,236.4,76.0,56.1,979.4,141.3,113.5,356.1,368.6
23,tripura,1921,46.9,24.1,179.2,178.2,271.3,443.8,387.8,382.4,430.7,286.7,4.7,2.4,2638.2,70.9,628.8,1644.7,293.8
24,uttar pradesh,1921,45.6,0.7,1.8,5.95,0.5,154.3,184.05,422.65,225.45,11.85,0.0,0.65,1053.5,46.3,8.3,986.5,12.5
25,uttarakhand,1921,101.0,5.6,12.5,19.7,3.6,364.1,329.3,652.8,299.5,55.8,0.2,4.7,1848.7,106.6,35.8,1645.7,60.6
26,manipur,1921,46.9,24.1,179.2,178.2,271.3,443.8,387.8,382.4,430.7,286.7,4.7,2.4,2638.2,70.9,628.8,1644.7,293.8
27,mizoram,1921,46.9,24.1,179.2,178.2,271.3,443.8,387.8,382.4,430.7,286.7,4.7,2.4,2638.2,70.9,628.8,1644.7,293.8
28,nagaland,1921,46.9,24.1,179.2,178.2,271.3,443.8,387.8,382.4,430.7,286.7,4.7,2.4,2638.2,70.9,628.8,1644.7,293.8
