,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1958,7.4,1.8,10.7,17.5,40.9,108.5,281.4,245.6,215.9,527.2,148.4,0.1,1605.3,9.2,69.1,851.3,675.7
1,arunachal pradesh,1958,98.4,67.5,32.9,138.5,698.6,511.2,457.7,1664.6,705.2,669.4,2.5,17.0,5063.5,165.9,870.0,3338.7,688.9
2,assam,1958,18.8,44.2,10.3,192.4,545.2,393.2,361.1,546.9,278.7,212.4,4.6,18.7,2626.4,63.0,747.9,1579.8,235.7
3,west bengal,1958,10.4,21.55,14.05,79.25,163.85,291.5,390.2,556.6,323.95,127.45,5.35,1.5,1985.7,32.0,257.15,1562.25,134.3
4,bihar,1958,16.0,2.7,4.7,26.4,16.1,120.7,222.8,451.1,224.2,81.5,0.7,0.6,1167.4,18.7,47.2,1018.8,82.7
5,chhattisgarh,1958,9.5,38.8,21.6,17.1,19.2,101.2,509.4,376.0,265.8,133.0,29.3,0.0,1520.9,48.3,57.9,1252.5,162.3
6,delhi,1958,4.1,0.7,5.4,1.9,4.4,17.0,150.0,182.7,273.4,21.8,1.0,10.6,673.0,4.8,11.7,623.1,33.4
7,goa,1958,0.2,0.1,0.2,9.0,34.8,1044.5,1280.2,1177.9,383.7,54.8,14.7,0.2,4000.2,0.3,44.0,3886.3,69.7
8,gujarat,1958,1.0,0.0,0.3,1.1,0.7,103.4,336.8,287.1,335.9,46.9,10.0,0.1,1123.1,1.0,2.0,1063.2,56.9
9,haryana,1958,4.1,0.7,5.4,1.9,4.4,17.0,150.0,182.7,273.4,21.8,1.0,10.6,673.0,4.8,11.7,623.1,33.4
10,himachal pradesh,1958,84.0,22.4,72.8,61.7,65.0,34.7,452.0,265.3,265.9,75.2,2.2,171.1,1572.3,106.4,199.4,1017.9,248.6
11,jammu & kashmir,1958,38.7,85.8,116.0,101.0,91.6,34.5,253.5,265.1,229.3,25.3,16.3,93.3,1350.4,124.5,308.6,782.5,134.8
12,jharkhand,1958,11.5,39.8,20.0,24.8,12.2,93.6,336.1,263.3,267.2,111.3,0.7,0.0,1180.5,51.3,56.9,960.3,112.0
13,karnataka,1958,1.93,0.53,7.37,51.07,139.87,416.6,589.57,362.4,163.73,102.17,46.57,1.3,1883.13,2.47,198.3,1532.33,150.03
14,kerala,1958,4.4,19.3,57.3,135.1,353.5,713.3,622.7,526.6,86.1,191.0,206.1,7.7,2923.1,23.7,545.9,1948.7,404.8
15,madhya pradesh,1958,5.65,9.15,7.8,4.6,1.1,74.1,409.7,278.8,253.85,83.65,6.8,0.4,1135.65,14.8,13.55,1016.5,90.8
16,maharashtra,1958,1.6,0.0,5.4,23.6,32.9,101.9,393.3,296.6,112.1,57.4,29.2,0.1,1054.1,1.6,61.9,903.9,86.7
17,meghalaya,1958,18.8,44.2,10.3,192.4,545.2,393.2,361.1,546.9,278.7,212.4,4.6,18.7,2626.4,63.0,747.9,1579.8,235.7
18,orissa,1958,11.5,42.8,16.0,32.8,39.0,125.2,404.1,319.1,364.2,217.4,51.8,0.1,1624.0,54.3,87.8,1212.6,269.3
19,punjab,1958,9.5,3.5,6.9,4.4,0.4,28.0,186.2,128.4,372.3,43.4,0.0,45.0,828.0,13.0,11.7,714.8,88.5
20,rajasthan,1958,3.05,0.35,0.55,0.45,2.3,30.85,179.0,89.45,174.2,9.5,10.4,3.3,503.4,3.4,3.25,473.5,23.2
21,sikkim,1958,8.1,17.5,14.8,120.6,269.4,487.8,500.3,898.1,353.2,145.6,1.8,3.0,2820.3,25.6,404.8,2239.4,150.4
22,tamil nadu,1958,12.1,6.0,27.2,49.4,114.7,33.0,47.3,147.7,80.0,155.2,154.4,25.5,852.5,18.1,191.3,308.0,335.2
23,tripura,1958,6.2,87.2,18.3,93.7,400.6,256.4,308.3,254.8,299.5,238.5,2.3,2.7,1968.6,93.4,512.6,1119.0,243.5
24,uttar pradesh,1958,11.15,3.0,4.65,4.95,1.0,47.35,322.2,357.9,215.55,117.15,0.1,6.15,1091.1,14.15,10.55,943.0,123.4
25,uttarakhand,1958,59.2,16.5,38.7,23.3,26.3,95.3,436.6,436.2,233.4,78.9,2.5,52.1,1499.0,75.6,88.3,1201.5,133.6
26,manipur,1958,6.2,87.2,18.3,93.7,400.6,256.4,308.3,254.8,299.5,238.5,2.3,2.7,1968.6,93.4,512.6,1119.0,243.5
27,mizoram,1958,6.2,87.2,18.3,93.7,400.6,256.4,308.3,254.8,299.5,238.5,2.3,2.7,1968.6,93.4,512.6,1119.0,243.5
28,nagaland,1958,6.2,87.2,18.3,93.7,400.6,256.4,308.3,254.8,299.5,238.5,2.3,2.7,1968.6,93.4,512.6,1119.0,243.5
