,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1967,13.1,0.1,71.8,18.6,19.7,124.3,245.6,124.6,141.5,27.9,4.6,51.4,843.1,13.1,110.1,635.9,84.0
1,arunachal pradesh,1967,13.3,45.5,147.9,96.6,164.0,253.1,434.5,220.8,212.8,58.5,10.0,11.5,1668.5,58.8,408.5,1121.2,80.0
2,assam,1967,11.4,37.3,105.9,112.0,287.5,395.7,497.7,258.9,300.6,97.6,14.5,4.2,2123.4,48.8,505.4,1452.9,116.3
3,west bengal,1967,27.4,1.7,71.85,75.3,133.35,429.55,574.7,321.45,367.8,90.5,4.6,6.25,2104.45,29.1,280.5,1693.5,101.35
4,bihar,1967,0.2,0.1,38.6,30.6,23.6,80.7,278.2,282.1,253.8,10.3,0.1,1.5,999.9,0.2,92.8,894.8,12.0
5,chhattisgarh,1967,1.7,0.0,96.8,15.5,12.2,184.3,397.9,508.3,188.5,9.2,0.4,57.6,1472.5,1.7,124.5,1279.0,67.2
6,delhi,1967,0.0,2.4,43.4,0.9,13.0,33.1,224.3,336.0,96.3,7.8,13.8,68.9,839.9,2.4,57.3,689.7,90.5
7,goa,1967,0.0,0.0,7.7,0.8,7.5,768.9,1109.2,416.9,317.1,109.6,0.7,14.0,2752.3,0.0,16.0,2612.0,124.2
8,gujarat,1967,0.0,0.0,42.1,0.4,0.2,132.7,413.2,204.1,123.8,1.0,0.0,21.1,938.7,0.0,42.7,873.8,22.1
9,haryana,1967,0.0,2.4,43.4,0.9,13.0,33.1,224.3,336.0,96.3,7.8,13.8,68.9,839.9,2.4,57.3,689.7,90.5
10,himachal pradesh,1967,30.8,99.1,181.5,31.4,48.1,99.3,386.3,403.3,105.7,36.9,23.8,112.4,1558.5,129.9,260.9,994.5,173.2
11,jammu & kashmir,1967,17.5,114.0,156.9,88.1,54.5,52.0,137.9,160.6,115.9,47.1,15.7,131.2,1091.3,131.5,299.5,466.3,194.0
12,jharkhand,1967,8.6,1.0,39.9,24.2,43.7,71.9,283.5,450.8,268.5,19.8,1.1,12.3,1225.3,9.6,107.8,1074.6,33.2
13,karnataka,1967,2.97,0.0,5.53,26.27,65.67,289.7,635.33,301.07,145.6,100.33,7.13,9.63,1589.27,2.97,97.47,1371.73,117.17
14,kerala,1967,14.3,0.1,24.6,70.1,244.9,541.7,741.4,508.4,145.8,172.7,74.0,31.1,2569.1,14.4,339.6,1937.3,277.8
15,madhya pradesh,1967,0.1,0.0,42.6,1.8,1.5,122.2,310.0,367.5,242.1,4.05,0.6,84.25,1176.7,0.1,45.9,1041.85,88.9
16,maharashtra,1967,0.0,0.1,4.7,13.3,7.8,130.4,367.4,139.0,146.7,43.1,2.1,58.6,913.0,0.1,25.8,783.4,103.7
17,meghalaya,1967,11.4,37.3,105.9,112.0,287.5,395.7,497.7,258.9,300.6,97.6,14.5,4.2,2123.4,48.8,505.4,1452.9,116.3
18,orissa,1967,70.9,0.4,87.7,40.9,25.7,233.3,315.3,340.7,281.8,18.3,1.8,10.7,1427.5,71.4,154.3,1171.0,30.8
19,punjab,1967,0.2,13.1,84.8,1.8,1.1,14.7,211.6,197.8,61.5,14.2,1.9,77.6,680.4,13.3,87.8,485.6,93.6
20,rajasthan,1967,0.0,0.0,58.2,1.75,2.3,56.25,110.2,173.45,113.65,2.2,2.5,29.7,550.1,0.0,62.25,453.5,34.4
21,sikkim,1967,2.3,0.1,98.8,85.3,213.7,727.5,901.6,274.1,409.4,128.7,7.9,11.1,2860.5,2.4,397.8,2312.6,147.7
22,tamil nadu,1967,28.9,1.0,40.4,19.3,47.6,69.1,69.4,81.2,76.2,182.3,127.1,156.7,899.1,29.9,107.2,295.9,466.1
23,tripura,1967,51.5,33.6,129.5,195.8,247.8,311.7,388.0,334.0,341.3,184.8,10.9,1.1,2229.9,85.0,573.1,1374.9,196.8
24,uttar pradesh,1967,1.3,0.1,32.45,5.25,5.95,66.4,264.15,476.45,189.7,3.75,1.4,46.3,1093.3,1.4,43.6,996.8,51.45
25,uttarakhand,1967,11.0,35.0,112.5,26.0,23.2,122.6,436.3,518.7,146.5,22.0,22.4,79.9,1556.2,46.1,161.7,1224.0,124.3
26,manipur,1967,51.5,33.6,129.5,195.8,247.8,311.7,388.0,334.0,341.3,184.8,10.9,1.1,2229.9,85.0,573.1,1374.9,196.8
27,mizoram,1967,51.5,33.6,129.5,195.8,247.8,311.7,388.0,334.0,341.3,184.8,10.9,1.1,2229.9,85.0,573.1,1374.9,196.8
28,nagaland,1967,51.5,33.6,129.5,195.8,247.8,311.7,388.0,334.0,341.3,184.8,10.9,1.1,2229.9,85.0,573.1,1374.9,196.8
