,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1911,0.0,0.0,10.3,14.4,31.2,150.5,158.1,76.2,160.4,119.7,77.6,21.0,819.5,0.0,56.0,545.1,218.4
1,assam,1911,74.2,19.0,93.0,234.0,431.7,534.0,618.6,417.1,387.8,257.4,26.3,3.0,3096.2,93.2,758.7,1957.5,286.8
2,west bengal,1911,9.4,0.1,28.2,13.1,41.7,312.3,199.0,425.5,279.1,122.8,17.8,0.0,1449.2,9.5,83.0,1216.0,140.7
3,chhattisgarh,1911,2.2,0.0,21.7,0.8,9.0,366.7,215.7,474.6,244.6,131.6,37.4,0.0,1504.1,2.2,31.5,1301.5,169.0
4,delhi,1911,66.5,1.3,53.3,0.7,0.1,53.1,26.3,49.3,208.7,10.7,39.7,0.0,509.7,67.8,54.1,337.4,50.4
5,goa,1911,0.2,0.0,3.2,0.0,17.1,543.6,585.6,750.3,175.5,34.2,21.4,3.6,2134.7,0.2,20.4,2055.0,59.1
6,gujarat,1911,3.5,0.0,18.9,0.0,0.9,158.0,66.7,93.4,57.7,0.5,3.8,0.1,403.5,3.5,19.8,375.8,4.4
7,haryana,1911,66.5,1.3,53.3,0.7,0.1,53.1,26.3,49.3,208.7,10.7,39.7,0.0,509.7,67.8,54.1,337.4,50.4
8,himachal pradesh,1911,246.3,21.9,277.3,35.1,8.8,121.0,103.2,240.9,174.4,24.0,75.2,5.8,1333.8,268.1,321.3,639.5,104.9
9,jammu & kashmir,1911,344.8,52.3,285.4,53.1,18.7,76.7,95.1,144.4,72.8,15.1,93.6,28.1,1280.2,397.1,357.2,389.0,136.9
10,jharkhand,1911,0.7,0.2,31.5,7.7,25.5,391.6,164.2,410.3,303.5,100.5,39.7,0.0,1475.4,0.9,64.7,1269.6,140.2
11,karnataka,1911,0.27,0.03,3.43,11.7,79.13,337.3,402.43,231.3,80.33,126.3,28.73,11.9,1312.87,0.3,94.27,1051.37,167.0
12,kerala,1911,3.0,4.3,18.2,51.0,180.6,990.0,705.3,178.6,60.2,302.3,145.7,87.6,2726.7,7.3,249.7,1934.0,535.7
13,madhya pradesh,1911,19.45,0.65,9.7,0.4,2.35,158.45,143.5,258.4,259.35,37.35,47.1,0.0,936.8,20.1,12.45,819.75,84.45
14,maharashtra,1911,2.0,0.1,2.2,0.2,12.0,136.9,137.7,153.2,29.9,23.6,42.9,3.8,544.3,2.1,14.3,457.6,70.3
15,meghalaya,1911,74.2,19.0,93.0,234.0,431.7,534.0,618.6,417.1,387.8,257.4,26.3,3.0,3096.2,93.2,758.7,1957.5,286.8
16,orissa,1911,0.0,2.7,26.2,18.6,56.6,351.6,172.2,406.2,270.0,92.3,15.0,5.9,1417.3,2.7,101.4,1200.0,113.2
17,punjab,1911,112.1,7.3,108.5,3.7,1.0,64.9,26.4,103.5,34.0,11.7,32.6,0.1,505.6,119.4,113.1,228.8,44.4
18,rajasthan,1911,8.2,0.4,27.8,1.3,0.1,47.65,22.9,44.3,109.05,6.15,11.65,0.1,279.6,8.6,29.2,223.9,17.9
19,sikkim,1911,22.9,6.7,40.8,117.3,315.2,575.4,853.2,430.4,493.3,326.4,12.4,0.1,3194.2,29.7,473.3,2352.3,338.9
20,tamil nadu,1911,2.8,1.1,6.0,30.8,72.1,70.7,50.3,28.9,120.5,125.6,176.2,130.1,814.9,3.9,108.9,270.3,431.9
21,tripura,1911,47.3,11.9,102.2,141.3,331.3,444.9,471.5,397.9,287.8,226.0,17.4,0.3,2479.8,59.1,574.9,1602.0,243.7
22,uttar pradesh,1911,51.95,0.3,30.35,1.5,2.15,90.3,71.65,228.15,359.8,58.3,38.0,0.35,932.75,52.25,33.95,749.9,96.65
23,uttarakhand,1911,211.4,4.2,190.3,20.4,19.5,204.1,149.3,381.9,266.4,19.7,75.7,0.0,1542.9,215.5,230.2,1001.7,95.4
24,bihar,1911,47.3,11.9,102.2,141.3,331.3,444.9,471.5,397.9,287.8,226.0,17.4,0.3,2479.8,59.1,574.9,1602.0,243.7
25,arunachal pradesh,1911,47.3,11.9,102.2,141.3,331.3,444.9,471.5,397.9,287.8,226.0,17.4,0.3,2479.8,59.1,574.9,1602.0,243.7
26,manipur,1911,47.3,11.9,102.2,141.3,331.3,444.9,471.5,397.9,287.8,226.0,17.4,0.3,2479.8,59.1,574.9,1602.0,243.7
27,mizoram,1911,47.3,11.9,102.2,141.3,331.3,444.9,471.5,397.9,287.8,226.0,17.4,0.3,2479.8,59.1,574.9,1602.0,243.7
28,nagaland,1911,47.3,11.9,102.2,141.3,331.3,444.9,471.5,397.9,287.8,226.0,17.4,0.3,2479.8,59.1,574.9,1602.0,243.7
