,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1945,1.0,0.0,0.0,48.0,39.9,46.6,193.3,185.8,201.2,242.0,19.1,14.7,991.5,1.0,87.9,626.8,275.8
1,arunachal pradesh,1945,43.4,107.8,151.3,282.9,366.0,420.2,960.0,771.3,328.6,187.7,1.3,28.7,3649.3,151.2,800.2,2480.1,217.7
2,assam,1945,37.0,39.7,67.5,139.5,396.5,500.5,507.7,493.5,283.2,196.6,1.1,2.9,2665.7,76.7,603.5,1785.0,200.5
3,west bengal,1945,50.7,24.0,1.4,32.4,57.8,120.5,226.9,265.6,305.5,154.8,0.0,3.2,1242.9,74.7,91.5,918.6,158.0
4,chhattisgarh,1945,30.1,7.6,0.0,58.6,7.0,200.7,428.5,397.2,376.6,71.9,6.4,0.9,1585.6,37.8,65.6,1403.0,79.3
5,delhi,1945,41.5,0.0,2.4,6.5,7.9,36.5,120.0,122.3,312.5,5.1,0.0,0.0,654.6,41.5,16.8,591.2,5.1
6,goa,1945,8.8,0.0,0.0,0.9,1.1,733.2,1394.2,709.4,348.4,44.9,3.6,0.0,3244.5,8.8,2.0,3185.2,48.5
7,gujarat,1945,7.0,0.0,0.0,1.9,0.7,160.9,518.8,245.3,339.5,2.7,0.0,0.0,1277.0,7.0,2.6,1264.6,2.7
8,haryana,1945,41.5,0.0,2.4,6.5,7.9,36.5,120.0,122.3,312.5,5.1,0.0,0.0,654.6,41.5,16.8,591.2,5.1
9,himachal pradesh,1945,196.0,10.3,105.0,81.0,24.5,74.2,424.4,352.5,331.0,40.0,2.9,5.2,1646.9,206.3,210.4,1182.0,48.2
10,jammu & kashmir,1945,131.7,23.0,138.2,101.8,37.8,49.8,129.7,104.1,94.3,26.1,9.5,10.3,856.2,154.7,277.8,377.8,45.8
11,jharkhand,1945,45.8,27.4,0.4,25.6,45.2,168.4,276.6,293.1,277.2,144.6,3.2,1.2,1308.7,73.2,71.2,1015.3,149.0
12,karnataka,1945,1.1,0.4,0.1,28.6,46.37,324.77,582.97,232.93,153.37,68.67,32.63,0.03,1471.87,1.5,75.0,1294.03,101.3
13,kerala,1945,4.4,9.9,12.7,104.1,53.4,549.8,704.0,351.8,110.9,253.8,259.5,18.0,2432.4,14.3,170.2,1716.5,531.4
14,madhya pradesh,1945,32.35,0.35,0.0,16.8,4.6,207.6,393.7,261.5,233.65,15.1,0.0,1.1,1166.85,32.7,21.45,1096.45,16.25
15,maharashtra,1945,4.2,0.0,0.0,9.8,5.2,125.6,263.7,209.0,132.4,37.1,6.3,0.0,793.4,4.2,15.0,730.7,43.4
16,meghalaya,1945,37.0,39.7,67.5,139.5,396.5,500.5,507.7,493.5,283.2,196.6,1.1,2.9,2665.7,76.7,603.5,1785.0,200.5
17,orissa,1945,20.3,4.7,0.1,50.6,58.0,152.6,387.1,270.3,405.9,176.1,2.5,10.4,1538.6,25.0,108.7,1215.9,189.0
18,punjab,1945,71.4,0.0,14.5,15.9,3.2,38.3,156.9,138.6,359.8,6.0,0.5,0.2,805.3,71.4,33.6,693.6,6.7
19,rajasthan,1945,16.9,0.0,0.35,6.45,13.1,83.4,260.25,144.05,86.55,1.8,0.0,0.0,612.8,16.9,19.9,574.2,1.85
20,sikkim,1945,27.8,21.3,6.9,120.3,305.4,398.3,551.3,680.0,406.9,235.9,0.0,1.3,2755.4,49.2,432.6,2036.5,237.1
21,tamil nadu,1945,4.6,5.5,5.0,74.7,38.2,22.0,75.1,110.1,58.6,168.4,206.8,15.0,784.0,10.1,117.9,265.7,390.3
22,tripura,1945,68.7,60.9,67.7,170.4,354.2,595.3,573.9,509.7,378.8,205.6,13.3,53.3,3051.9,129.6,592.3,2057.7,272.2
23,uttar pradesh,1945,41.0,0.9,1.1,9.75,8.2,50.65,274.4,235.75,273.35,75.25,0.0,2.9,973.2,41.9,19.0,834.2,78.15
24,uttarakhand,1945,120.2,4.5,39.3,42.7,16.5,90.6,468.6,379.8,391.8,92.0,0.1,1.8,1648.0,124.8,98.6,1330.8,93.9
25,bihar,1945,68.7,60.9,67.7,170.4,354.2,595.3,573.9,509.7,378.8,205.6,13.3,53.3,3051.9,129.6,592.3,2057.7,272.2
26,manipur,1945,68.7,60.9,67.7,170.4,354.2,595.3,573.9,509.7,378.8,205.6,13.3,53.3,3051.9,129.6,592.3,2057.7,272.2
27,mizoram,1945,68.7,60.9,67.7,170.4,354.2,595.3,573.9,509.7,378.8,205.6,13.3,53.3,3051.9,129.6,592.3,2057.7,272.2
28,nagaland,1945,68.7,60.9,67.7,170.4,354.2,595.3,573.9,509.7,378.8,205.6,13.3,53.3,3051.9,129.6,592.3,2057.7,272.2
