,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1980,0.5,2.4,5.6,16.1,31.5,217.5,169.3,176.7,128.0,205.0,48.4,13.8,1014.8,2.9,53.2,691.5,267.2
1,arunachal pradesh,1980,65.6,130.4,251.4,372.0,245.5,530.9,514.1,544.7,367.4,185.4,7.8,0.2,3215.3,195.9,868.9,1957.1,193.3
2,assam,1980,13.1,36.3,96.9,173.2,289.4,389.5,460.0,417.8,269.8,141.6,1.0,0.6,2289.2,49.3,559.6,1537.1,143.2
3,west bengal,1980,13.55,33.7,69.1,76.1,205.0,394.75,588.8,467.9,329.25,154.9,0.45,1.2,2334.8,47.25,350.25,1780.8,156.6
4,bihar,1980,4.7,2.4,9.5,7.9,80.9,160.2,389.9,375.3,190.5,29.5,0.2,1.0,1252.2,7.1,98.4,1115.9,30.8
5,chhattisgarh,1980,5.3,2.3,7.9,7.2,15.5,273.0,426.6,362.2,369.4,21.4,0.0,4.6,1495.4,7.7,30.6,1431.2,26.0
6,delhi,1980,5.8,2.3,22.0,0.4,8.9,45.5,236.5,102.0,50.2,13.4,4.9,21.4,513.2,8.0,31.2,434.3,39.7
7,goa,1980,0.0,0.0,0.0,3.5,2.9,877.7,749.9,851.8,166.4,20.7,26.1,25.2,2724.3,0.0,6.4,2645.8,72.1
8,gujarat,1980,0.1,0.0,0.0,0.0,0.1,261.3,268.7,249.1,24.0,0.8,0.4,17.6,822.0,0.1,0.1,803.1,18.7
9,haryana,1980,5.8,2.3,22.0,0.4,8.9,45.5,236.5,102.0,50.2,13.4,4.9,21.4,513.2,8.0,31.2,434.3,39.7
10,himachal pradesh,1980,83.2,87.1,71.7,28.5,26.1,106.8,477.1,128.8,52.5,25.3,27.3,40.5,1155.0,170.4,126.4,765.3,93.0
11,jammu & kashmir,1980,84.1,171.6,136.8,36.1,61.4,106.9,161.9,68.7,57.8,28.0,47.3,57.1,1017.9,255.7,234.4,395.3,132.4
12,jharkhand,1980,13.6,14.9,37.1,21.0,40.0,273.7,350.7,281.2,232.1,73.8,0.0,2.3,1340.6,28.5,98.1,1137.8,76.1
13,karnataka,1980,0.03,0.0,3.2,69.73,58.73,523.47,490.47,451.97,162.4,71.47,58.33,3.13,1892.9,0.03,131.63,1628.27,132.97
14,kerala,1980,0.0,0.9,20.8,114.8,105.3,745.9,754.0,438.1,139.5,282.3,162.3,39.5,2803.4,0.9,240.9,2077.5,484.1
15,madhya pradesh,1980,4.95,2.35,2.25,0.4,1.1,252.25,279.4,431.2,112.6,2.9,1.05,31.1,1121.55,7.3,3.75,1075.45,35.0
16,maharashtra,1980,0.0,0.0,1.5,16.1,8.6,279.2,197.4,286.6,89.2,14.7,29.8,16.4,939.5,0.0,26.1,852.5,60.9
17,meghalaya,1980,13.1,36.3,96.9,173.2,289.4,389.5,460.0,417.8,269.8,141.6,1.0,0.6,2289.2,49.3,559.6,1537.1,143.2
18,orissa,1980,10.8,9.2,41.7,23.2,59.9,325.5,367.6,228.1,302.1,86.6,3.0,5.2,1462.9,20.0,124.8,1223.3,94.8
19,punjab,1980,19.4,12.4,24.3,3.7,1.4,53.5,316.7,122.2,39.1,11.6,16.2,41.2,661.7,31.7,29.3,531.6,69.1
20,rajasthan,1980,0.55,0.3,4.5,0.25,3.95,90.4,166.35,86.7,21.3,2.4,1.4,14.75,392.95,0.85,8.75,364.75,18.55
21,sikkim,1980,11.6,44.8,77.3,130.4,300.1,485.9,774.4,692.5,477.5,151.2,0.9,2.0,3148.6,56.4,507.8,2430.4,154.1
22,tamil nadu,1980,0.1,0.0,15.4,45.9,69.2,37.7,64.9,64.2,76.3,122.3,166.2,47.0,709.1,0.1,130.4,243.0,335.5
23,tripura,1980,7.2,42.4,101.6,145.7,461.5,373.3,327.4,312.1,364.4,168.5,0.1,0.7,2305.0,49.6,708.8,1377.3,169.3
24,uttar pradesh,1980,3.75,4.5,14.1,0.35,8.85,129.05,451.25,407.05,184.55,17.95,0.8,14.4,1236.6,8.15,23.3,1171.95,33.15
25,uttarakhand,1980,21.7,55.7,60.3,15.6,21.3,175.0,466.0,322.7,133.5,37.3,2.4,21.9,1333.5,77.4,97.3,1097.2,61.6
26,manipur,1980,7.2,42.4,101.6,145.7,461.5,373.3,327.4,312.1,364.4,168.5,0.1,0.7,2305.0,49.6,708.8,1377.3,169.3
27,mizoram,1980,7.2,42.4,101.6,145.7,461.5,373.3,327.4,312.1,364.4,168.5,0.1,0.7,2305.0,49.6,708.8,1377.3,169.3
28,nagaland,1980,7.2,42.4,101.6,145.7,461.5,373.3,327.4,312.1,364.4,168.5,0.1,0.7,2305.0,49.6,708.8,1377.3,169.3
