,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1934,0.0,0.2,0.6,19.9,21.7,100.5,202.2,207.5,131.5,116.2,80.6,3.2,884.2,0.2,42.3,641.7,200.1
1,arunachal pradesh,1934,84.9,88.3,128.3,595.1,454.5,1024.6,935.9,640.9,382.6,141.6,77.0,21.9,4575.7,173.2,1177.9,2984.0,240.6
2,assam,1934,18.5,68.2,27.1,301.2,444.6,754.5,553.2,361.8,246.8,232.8,59.8,6.3,3074.9,86.8,773.0,1916.3,298.9
3,west bengal,1934,8.0,39.9,0.5,63.35,143.05,358.6,432.6,362.6,316.7,118.2,9.45,12.3,1865.15,47.9,206.85,1470.5,139.95
4,bihar,1934,30.1,13.7,3.0,9.1,22.0,165.5,432.6,251.3,231.2,55.2,9.8,2.8,1226.1,43.7,34.1,1080.6,67.7
5,chhattisgarh,1934,1.8,0.0,1.5,11.5,0.0,263.1,412.0,483.4,305.3,37.0,12.3,1.1,1529.2,1.8,13.0,1463.9,50.5
6,delhi,1934,21.6,1.0,47.6,0.7,2.0,64.6,140.8,199.1,18.3,0.0,0.0,5.6,501.4,22.6,50.4,422.8,5.6
7,goa,1934,0.7,0.0,0.3,2.7,0.7,1060.2,893.0,870.7,329.7,60.3,53.5,0.5,3272.3,0.7,3.7,3153.5,114.4
8,gujarat,1934,0.1,0.0,0.7,0.3,0.0,219.7,266.1,392.9,81.2,0.9,17.6,0.0,979.6,0.1,1.1,959.9,18.5
9,haryana,1934,21.6,1.0,47.6,0.7,2.0,64.6,140.8,199.1,18.3,0.0,0.0,5.6,501.4,22.6,50.4,422.8,5.6
10,himachal pradesh,1934,91.8,12.8,40.3,82.3,59.9,70.7,281.0,241.1,30.4,0.9,1.3,69.5,982.1,104.7,182.5,623.2,71.7
11,jammu & kashmir,1934,110.1,27.2,71.1,96.8,36.2,60.7,146.3,158.9,16.8,3.5,2.0,73.5,803.1,137.3,204.1,382.7,79.0
12,jharkhand,1934,24.0,10.3,1.8,13.1,13.6,166.7,324.2,341.4,230.5,55.9,12.0,3.9,1197.4,34.3,28.4,1062.8,71.9
13,karnataka,1934,4.83,0.33,0.8,28.8,28.97,438.6,399.5,304.87,93.13,125.2,37.6,0.43,1463.1,5.17,58.6,1236.03,163.23
14,kerala,1934,74.5,1.7,47.7,92.4,106.7,852.9,415.0,337.2,48.4,335.9,93.4,4.9,2410.7,76.2,246.8,1653.5,434.2
15,madhya pradesh,1934,11.45,0.05,8.25,1.5,0.15,176.6,279.15,431.4,367.8,11.4,22.85,8.45,1319.1,11.5,9.9,1254.95,42.8
16,maharashtra,1934,3.7,0.0,1.9,7.3,8.0,138.2,217.0,222.3,136.8,41.2,82.0,0.0,858.3,3.7,17.2,714.2,123.2
17,meghalaya,1934,18.5,68.2,27.1,301.2,444.6,754.5,553.2,361.8,246.8,232.8,59.8,6.3,3074.9,86.8,773.0,1916.3,298.9
18,orissa,1934,0.1,1.4,4.2,11.0,21.0,230.6,371.8,425.4,300.1,102.6,17.4,3.3,1488.9,1.5,36.2,1327.9,123.3
19,punjab,1934,18.3,1.7,37.5,2.4,6.0,51.0,150.9,136.6,14.9,0.0,0.0,9.9,429.2,20.0,46.0,353.3,9.9
20,rajasthan,1934,2.65,0.0,10.75,0.25,0.9,89.5,91.45,302.85,60.7,0.0,1.0,5.55,565.65,2.65,11.9,544.5,6.55
21,sikkim,1934,10.5,60.2,0.4,86.8,227.5,517.2,656.2,455.6,436.3,151.4,4.0,6.8,2612.9,70.7,314.7,2065.4,162.2
22,tamil nadu,1934,99.8,0.1,11.6,34.6,49.6,73.5,57.5,56.4,38.1,303.4,99.2,15.9,839.7,99.9,95.9,225.5,418.4
23,tripura,1934,16.0,135.1,57.1,191.1,313.2,567.2,618.6,368.3,336.4,227.7,197.3,12.8,3040.8,151.1,561.3,1890.6,437.9
24,uttar pradesh,1934,30.9,1.7,20.1,1.0,1.2,134.7,288.95,300.3,190.25,5.25,1.15,7.5,983.05,32.6,22.3,914.2,13.9
25,uttarakhand,1934,66.3,10.4,21.0,8.6,20.6,201.7,459.4,410.4,97.1,1.6,0.5,41.5,1339.0,76.7,50.2,1168.6,43.5
26,manipur,1934,16.0,135.1,57.1,191.1,313.2,567.2,618.6,368.3,336.4,227.7,197.3,12.8,3040.8,151.1,561.3,1890.6,437.9
27,mizoram,1934,16.0,135.1,57.1,191.1,313.2,567.2,618.6,368.3,336.4,227.7,197.3,12.8,3040.8,151.1,561.3,1890.6,437.9
28,nagaland,1934,16.0,135.1,57.1,191.1,313.2,567.2,618.6,368.3,336.4,227.7,197.3,12.8,3040.8,151.1,561.3,1890.6,437.9
