,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1916,0.2,5.1,0.5,16.3,43.9,157.9,282.1,197.1,166.2,355.9,126.0,0.1,1351.2,5.3,60.7,803.3,481.9
1,arunachal pradesh,1916,48.1,69.8,71.1,316.1,424.6,1124.9,,629.7,333.9,,,,,117.9,811.8,,
2,assam,1916,20.0,28.0,118.4,227.9,340.6,367.3,475.3,430.7,308.8,244.9,32.8,6.3,2601.1,48.0,686.9,1582.1,284.0
3,west bengal,1916,3.6,9.85,4.6,111.8,173.85,513.75,584.85,417.7,427.85,248.3,41.9,0.6,2538.65,13.45,290.3,1944.1,290.8
4,bihar,1916,0.6,16.5,0.3,25.3,25.1,270.3,445.6,325.2,265.2,130.1,0.4,0.0,1504.6,17.1,50.7,1306.3,130.6
5,chhattisgarh,1916,0.0,26.5,2.1,6.9,20.2,325.5,289.4,374.6,199.2,178.4,20.3,0.0,1443.0,26.5,29.1,1188.7,198.6
6,delhi,1916,0.5,15.7,0.2,2.3,12.5,71.2,139.7,217.7,107.8,61.6,0.0,0.0,629.1,16.2,14.9,536.4,61.6
7,goa,1916,0.0,0.0,0.0,2.4,39.9,832.7,765.6,851.1,620.1,204.7,86.1,0.0,3402.6,0.0,42.3,3069.5,290.8
8,gujarat,1916,0.0,0.0,0.2,0.1,8.7,126.7,168.3,418.9,193.6,32.4,4.0,0.0,952.9,0.0,9.0,907.5,36.4
9,haryana,1916,0.5,15.7,0.2,2.3,12.5,71.2,139.7,217.7,107.8,61.6,0.0,0.0,629.1,16.2,14.9,536.4,61.6
10,himachal pradesh,1916,10.4,75.3,33.7,41.8,35.3,238.9,275.8,254.9,118.9,86.9,0.0,0.2,1172.1,85.7,110.8,888.5,87.1
11,jammu & kashmir,1916,37.5,159.4,69.0,67.7,58.6,92.9,244.3,216.5,46.9,30.9,3.4,7.2,1034.3,196.8,195.3,600.6,41.6
12,jharkhand,1916,0.0,14.3,0.2,17.1,22.6,283.5,224.9,303.2,231.5,253.2,13.8,0.0,1364.3,14.3,39.9,1043.1,267.0
13,karnataka,1916,0.0,0.43,0.23,23.93,98.37,444.27,352.0,301.37,308.03,194.8,202.87,2.47,1928.83,0.43,122.57,1405.7,400.13
14,kerala,1916,0.0,7.8,22.0,82.4,199.0,920.2,513.9,396.9,339.3,320.7,134.3,8.9,2945.3,7.8,303.4,2170.2,463.9
15,madhya pradesh,1916,0.0,17.6,0.05,1.2,12.0,253.0,246.5,463.55,203.3,127.1,25.35,0.0,1349.7,17.6,13.2,1166.4,152.45
16,maharashtra,1916,0.0,0.2,0.4,4.9,55.2,144.8,257.6,185.9,217.5,136.8,69.1,0.1,1072.4,0.2,60.5,805.9,206.0
17,meghalaya,1916,20.0,28.0,118.4,227.9,340.6,367.3,475.3,430.7,308.8,244.9,32.8,6.3,2601.1,48.0,686.9,1582.1,284.0
18,orissa,1916,0.0,4.9,0.8,33.8,45.5,339.6,250.7,334.7,197.6,216.1,55.8,0.0,1479.4,5.0,80.1,1122.5,271.9
19,punjab,1916,2.8,20.9,2.8,4.4,8.2,33.9,238.3,184.1,71.3,21.1,0.0,0.6,588.4,23.7,15.4,527.6,21.6
20,rajasthan,1916,0.75,1.75,0.1,1.0,13.2,54.4,112.75,313.65,112.55,22.35,0.95,0.0,633.5,2.5,14.35,593.35,23.3
21,sikkim,1916,6.6,17.6,8.7,165.3,305.4,649.0,1020.8,514.9,571.9,209.9,5.6,1.1,3476.8,24.2,479.4,2756.6,216.6
22,tamil nadu,1916,0.1,3.2,3.1,19.2,61.1,34.5,168.6,125.5,94.7,208.6,145.7,33.2,897.4,3.3,83.3,423.4,387.5
23,tripura,1916,13.2,17.5,37.3,212.5,131.8,363.8,491.4,419.3,388.5,417.5,55.0,7.1,2555.0,30.7,381.6,1663.1,479.6
24,uttar pradesh,1916,0.05,19.0,0.0,4.7,8.85,191.7,307.25,354.05,213.95,52.2,6.25,0.0,1158.05,19.05,13.6,1066.95,58.5
25,uttarakhand,1916,3.9,35.6,1.9,20.6,49.0,373.8,432.3,397.7,280.1,83.8,0.0,0.0,1678.8,39.6,71.4,1483.9,83.8
26,manipur,1916,13.2,17.5,37.3,212.5,131.8,363.8,491.4,419.3,388.5,417.5,55.0,7.1,2555.0,30.7,381.6,1663.1,479.6
27,mizoram,1916,13.2,17.5,37.3,212.5,131.8,363.8,491.4,419.3,388.5,417.5,55.0,7.1,2555.0,30.7,381.6,1663.1,479.6
28,nagaland,1916,13.2,17.5,37.3,212.5,131.8,363.8,491.4,419.3,388.5,417.5,55.0,7.1,2555.0,30.7,381.6,1663.1,479.6
