,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1922,10.9,0.0,0.0,5.3,35.8,103.3,145.6,132.6,117.5,128.0,174.0,0.2,853.3,10.9,41.1,499.0,302.3
1,arunachal pradesh,1922,50.7,59.4,170.4,299.5,350.5,1109.3,918.7,488.3,207.6,483.5,30.3,19.0,4187.2,110.1,820.4,2723.9,532.8
2,assam,1922,16.6,4.9,77.8,168.7,233.1,548.9,418.4,379.4,265.6,129.9,9.3,9.4,2261.9,21.4,479.6,1612.3,148.7
3,west bengal,1922,12.6,2.8,3.4,33.7,144.7,678.0,494.75,463.55,407.75,81.5,3.3,2.65,2328.75,15.45,181.75,2044.0,87.5
4,bihar,1922,12.2,4.6,0.0,9.6,22.0,345.8,427.3,363.5,241.3,15.7,0.7,6.5,1449.2,16.8,31.6,1377.9,22.9
5,chhattisgarh,1922,21.1,1.2,0.5,12.7,9.5,180.2,416.7,305.2,297.6,23.5,38.9,1.7,1308.8,22.3,22.7,1199.7,64.0
6,delhi,1922,14.3,4.5,0.6,0.6,1.4,86.7,139.6,99.7,176.5,1.7,0.0,27.1,552.9,18.8,2.7,502.6,28.7
7,goa,1922,0.0,0.0,0.0,6.3,13.4,774.3,1290.6,339.3,261.1,41.4,90.0,1.2,2817.5,0.0,19.7,2665.3,132.5
8,gujarat,1922,2.1,0.0,0.0,0.0,0.0,130.8,314.8,106.8,314.3,5.0,4.1,0.7,878.7,2.1,0.0,866.8,9.8
9,haryana,1922,14.3,4.5,0.6,0.6,1.4,86.7,139.6,99.7,176.5,1.7,0.0,27.1,552.9,18.8,2.7,502.6,28.7
10,himachal pradesh,1922,106.6,57.5,68.2,87.7,13.0,106.8,425.8,508.1,274.0,14.2,6.5,50.2,1718.6,164.1,169.0,1314.7,70.9
11,jammu & kashmir,1922,87.9,60.6,82.4,67.4,26.5,63.4,163.9,99.1,149.7,28.7,1.5,59.7,890.8,148.5,176.3,476.1,89.8
12,jharkhand,1922,8.2,6.2,0.0,14.5,19.5,305.3,404.7,365.9,250.0,58.8,9.2,0.9,1443.2,14.4,34.0,1325.9,68.9
13,karnataka,1922,15.7,1.93,0.17,36.03,91.23,311.1,542.53,239.87,134.57,102.17,103.5,0.73,1579.57,17.63,127.43,1228.07,206.4
14,kerala,1922,30.5,21.4,16.3,89.6,293.6,663.1,1025.1,320.6,222.4,266.3,293.7,25.1,3267.6,51.9,399.4,2231.2,585.1
15,madhya pradesh,1922,35.3,4.8,0.25,1.25,3.8,131.7,385.45,234.35,237.25,4.15,33.85,5.85,1078.1,40.1,5.4,988.8,43.85
16,maharashtra,1922,18.3,2.6,0.0,16.7,27.4,161.7,218.2,79.4,97.1,41.2,141.1,1.4,805.2,20.9,44.1,556.5,183.7
17,meghalaya,1922,16.6,4.9,77.8,168.7,233.1,548.9,418.4,379.4,265.6,129.9,9.3,9.4,2261.9,21.4,479.6,1612.3,148.7
18,orissa,1922,20.0,0.2,1.9,13.9,46.6,247.0,431.8,295.4,328.8,50.9,30.0,0.1,1466.5,20.2,62.4,1302.9,81.0
19,punjab,1922,23.8,14.0,3.1,3.0,1.7,65.1,132.8,85.6,148.5,2.5,0.0,33.5,513.6,37.8,7.7,432.1,36.0
20,rajasthan,1922,3.2,0.5,0.0,0.55,6.8,51.0,166.5,89.1,130.5,1.15,0.8,7.3,457.35,3.65,7.4,437.1,9.25
21,sikkim,1922,17.8,2.5,5.6,45.4,217.1,803.0,719.8,526.3,571.2,87.2,1.9,3.9,3001.9,20.4,268.1,2620.3,93.1
22,tamil nadu,1922,41.9,18.1,2.5,34.9,100.1,48.8,45.4,87.1,75.3,262.8,291.8,71.6,1080.5,60.1,137.5,256.7,626.2
23,tripura,1922,8.5,4.5,17.3,119.3,182.1,569.1,479.6,536.6,330.9,170.8,38.2,5.8,2462.6,13.0,318.7,1916.2,214.8
24,uttar pradesh,1922,32.2,4.9,0.0,3.0,2.75,103.9,381.55,387.5,244.9,3.0,0.75,17.95,1182.4,37.15,5.7,1117.85,21.7
25,uttarakhand,1922,86.4,34.4,11.7,21.0,12.1,125.1,507.1,685.2,320.9,3.8,1.3,51.1,1860.0,120.8,44.8,1638.3,56.2
26,manipur,1922,8.5,4.5,17.3,119.3,182.1,569.1,479.6,536.6,330.9,170.8,38.2,5.8,2462.6,13.0,318.7,1916.2,214.8
27,mizoram,1922,8.5,4.5,17.3,119.3,182.1,569.1,479.6,536.6,330.9,170.8,38.2,5.8,2462.6,13.0,318.7,1916.2,214.8
28,nagaland,1922,8.5,4.5,17.3,119.3,182.1,569.1,479.6,536.6,330.9,170.8,38.2,5.8,2462.6,13.0,318.7,1916.2,214.8
