,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1984,5.7,9.8,1.8,26.5,21.2,89.1,219.0,123.1,154.8,111.8,20.9,1.6,785.2,15.5,49.5,585.9,134.3
1,arunachal pradesh,1984,98.1,42.8,166.9,389.3,448.7,417.3,671.0,309.2,455.5,184.1,5.7,89.5,3278.0,140.8,1004.9,1853.0,279.3
2,assam,1984,22.4,7.2,28.6,202.8,416.0,478.5,995.2,360.7,458.0,159.6,5.7,22.2,3157.0,29.7,647.4,2292.5,187.5
3,west bengal,1984,24.2,6.95,21.6,86.95,221.35,535.85,534.95,403.5,300.95,145.45,2.55,5.75,2290.05,31.15,329.9,1775.25,153.75
4,bihar,1984,28.6,33.9,1.3,11.2,65.6,353.4,476.4,216.9,219.0,15.4,1.5,3.0,1426.2,62.5,78.1,1265.8,19.9
5,chhattisgarh,1984,35.3,12.4,0.1,24.9,15.5,291.6,322.0,400.2,99.8,52.7,0.2,0.0,1254.7,47.7,40.5,1113.6,52.9
6,delhi,1984,1.9,14.5,0.4,2.7,0.7,48.6,154.2,179.5,75.5,0.9,0.0,0.3,479.2,16.4,3.8,457.8,1.1
7,goa,1984,0.0,0.2,0.1,0.9,0.3,728.0,1090.5,421.4,220.5,118.7,2.9,0.3,2583.6,0.2,1.2,2460.4,121.8
8,gujarat,1984,0.0,0.0,0.0,0.0,0.0,85.2,250.5,421.4,89.2,5.7,1.7,0.0,853.6,0.0,0.0,846.3,7.3
9,haryana,1984,1.9,14.5,0.4,2.7,0.7,48.6,154.2,179.5,75.5,0.9,0.0,0.3,479.2,16.4,3.8,457.8,1.1
10,himachal pradesh,1984,24.3,134.5,38.7,68.6,14.7,105.0,194.4,192.5,121.5,10.6,25.1,38.4,968.3,158.8,122.0,613.3,74.2
11,jammu & kashmir,1984,33.6,181.2,90.5,128.2,52.3,63.2,159.6,234.7,96.4,2.0,45.4,70.2,1157.4,214.8,271.0,553.9,117.7
12,jharkhand,1984,33.4,26.2,1.6,14.1,31.0,479.6,350.4,387.3,155.8,50.2,0.1,0.1,1529.9,59.6,46.7,1373.2,50.5
13,karnataka,1984,2.27,5.93,38.6,33.33,25.57,456.83,519.43,266.0,163.67,161.23,6.0,1.53,1680.33,8.2,97.5,1405.9,168.73
14,kerala,1984,36.8,60.0,95.3,162.1,84.6,842.6,653.6,284.4,171.1,286.0,67.7,18.0,2762.1,96.8,342.0,1951.6,371.7
15,madhya pradesh,1984,34.45,21.85,0.0,1.75,1.0,77.45,183.65,563.15,87.15,13.65,0.0,1.0,985.05,56.3,2.7,911.4,14.7
16,maharashtra,1984,0.6,11.2,3.7,4.6,0.6,109.6,260.8,140.0,133.2,109.1,4.7,1.7,779.9,11.8,8.9,643.7,115.5
17,meghalaya,1984,22.4,7.2,28.6,202.8,416.0,478.5,995.2,360.7,458.0,159.6,5.7,22.2,3157.0,29.7,647.4,2292.5,187.5
18,orissa,1984,9.3,6.7,3.4,46.0,34.6,302.6,369.5,422.3,127.3,55.4,0.0,0.3,1377.6,16.0,84.1,1221.8,55.7
19,punjab,1984,2.4,67.2,13.9,9.3,1.3,50.2,220.2,214.5,125.7,0.2,0.6,4.9,710.5,69.6,24.5,610.7,5.7
20,rajasthan,1984,0.65,1.55,0.05,0.7,0.15,20.6,99.15,178.65,81.65,0.1,0.1,0.0,383.25,2.15,0.85,380.0,0.15
21,sikkim,1984,29.3,11.3,42.6,127.3,360.1,474.6,737.2,364.8,405.5,179.1,5.1,11.5,2748.4,40.6,530.0,1982.1,195.7
22,tamil nadu,1984,34.5,131.3,101.7,45.4,21.6,43.6,149.5,38.0,151.3,134.8,113.5,58.5,1023.8,165.9,168.7,382.4,306.8
23,tripura,1984,17.4,1.8,5.1,121.1,743.0,514.6,255.3,387.2,250.2,120.4,9.1,28.8,2454.0,19.2,869.2,1407.3,158.3
24,uttar pradesh,1984,24.35,25.5,1.0,8.4,5.5,210.7,264.95,236.0,140.35,9.45,0.0,2.7,929.0,49.85,14.95,852.0,12.2
25,uttarakhand,1984,19.6,128.9,14.6,42.0,27.5,300.1,359.3,237.7,173.5,3.2,2.6,30.1,1339.1,148.5,84.0,1070.6,35.9
26,manipur,1984,17.4,1.8,5.1,121.1,743.0,514.6,255.3,387.2,250.2,120.4,9.1,28.8,2454.0,19.2,869.2,1407.3,158.3
27,mizoram,1984,17.4,1.8,5.1,121.1,743.0,514.6,255.3,387.2,250.2,120.4,9.1,28.8,2454.0,19.2,869.2,1407.3,158.3
28,nagaland,1984,17.4,1.8,5.1,121.1,743.0,514.6,255.3,387.2,250.2,120.4,9.1,28.8,2454.0,19.2,869.2,1407.3,158.3
