,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1950,0.0,17.2,31.0,7.0,52.8,97.8,221.8,132.3,192.5,130.1,103.2,0.3,986.0,17.2,90.7,644.4,233.6
1,arunachal pradesh,1950,38.6,92.8,205.8,425.2,274.2,,377.6,241.8,285.8,356.0,49.5,43.9,,131.4,905.2,,449.4
2,assam,1950,21.2,51.2,93.5,112.9,282.1,562.0,389.5,490.9,200.7,134.6,49.9,3.9,2392.4,72.5,488.5,1643.1,188.4
3,west bengal,1950,0.15,13.05,26.9,31.25,155.8,559.3,454.85,506.6,271.3,112.15,57.7,0.15,2189.05,13.2,213.95,1792.0,170.0
4,bihar,1950,9.8,11.8,22.1,2.2,43.3,346.5,257.0,313.3,113.4,3.0,0.1,2.1,1124.6,21.6,67.6,1030.1,5.2
5,chhattisgarh,1950,0.4,40.1,50.9,1.3,10.0,172.4,457.2,374.7,148.9,16.7,19.6,0.0,1292.2,40.5,62.2,1153.2,36.3
6,delhi,1950,22.2,6.5,18.1,0.5,6.1,9.7,220.4,147.6,118.7,0.0,0.0,1.4,551.1,28.7,24.7,496.4,1.4
7,goa,1950,0.0,0.0,0.2,0.2,21.3,364.1,1336.1,302.6,777.5,119.1,8.1,0.0,2929.2,0.0,21.7,2780.3,127.1
8,gujarat,1950,0.0,0.0,0.0,0.0,0.1,11.7,730.7,76.9,306.6,3.3,0.0,0.0,1129.3,0.0,0.1,1125.9,3.3
9,haryana,1950,22.2,6.5,18.1,0.5,6.1,9.7,220.4,147.6,118.7,0.0,0.0,1.4,551.1,28.7,24.7,496.4,1.4
10,himachal pradesh,1950,211.0,67.0,155.0,51.7,65.1,83.6,392.8,319.3,329.8,2.2,0.0,7.0,1684.4,278.0,271.7,1125.6,9.2
11,jammu & kashmir,1950,367.8,96.1,115.4,119.3,55.5,20.9,182.2,175.6,371.1,12.8,0.7,5.7,1523.1,463.9,290.2,749.8,19.2
12,jharkhand,1950,1.0,14.8,31.4,1.9,36.4,318.4,389.6,389.6,173.1,21.1,11.9,3.7,1393.0,15.9,69.6,1270.7,36.7
13,karnataka,1950,0.03,7.03,1.67,6.2,67.5,329.23,632.7,241.87,350.47,126.7,46.07,0.17,1809.7,7.07,75.37,1554.37,172.97
14,kerala,1950,0.1,53.7,31.1,68.5,242.0,638.3,905.7,387.3,411.6,250.4,149.2,8.8,3146.6,53.8,341.5,2342.9,408.4
15,madhya pradesh,1950,8.75,14.85,25.45,1.0,4.15,55.05,436.2,295.5,172.35,8.0,0.1,19.75,1041.2,23.6,30.7,959.15,27.85
16,maharashtra,1950,0.0,0.2,1.5,5.9,23.2,59.5,400.2,102.9,248.8,87.3,2.2,0.8,932.6,0.2,30.6,811.4,90.3
17,meghalaya,1950,21.2,51.2,93.5,112.9,282.1,562.0,389.5,490.9,200.7,134.6,49.9,3.9,2392.4,72.5,488.5,1643.1,188.4
18,orissa,1950,0.0,21.2,69.7,7.7,49.4,199.4,326.9,327.4,197.9,55.1,138.1,0.0,1392.8,21.2,126.8,1051.6,193.2
19,punjab,1950,53.1,25.4,50.1,2.4,8.1,14.1,209.2,232.3,396.8,0.4,0.0,0.1,992.0,78.5,60.5,852.4,0.6
20,rajasthan,1950,1.15,0.25,2.55,0.0,4.15,9.95,225.15,119.75,145.8,0.0,0.0,0.35,509.2,1.4,6.75,500.7,0.35
21,sikkim,1950,0.3,19.6,27.9,48.4,210.4,747.5,570.9,639.9,366.2,131.0,0.2,0.3,2762.5,19.9,286.7,2324.5,131.5
22,tamil nadu,1950,2.4,68.0,16.8,11.8,54.5,31.2,56.1,125.3,85.5,160.6,100.7,34.6,747.5,70.4,83.1,298.1,296.0
23,tripura,1950,12.3,59.7,79.1,87.8,207.4,407.4,449.4,535.3,255.4,237.5,82.9,8.7,2423.0,72.1,374.3,1647.5,329.1
24,uttar pradesh,1950,24.95,6.65,20.5,0.45,8.85,97.4,258.4,339.0,114.8,1.75,0.05,19.95,892.7,31.55,29.75,809.65,21.8
25,uttarakhand,1950,59.5,30.3,55.0,2.7,40.2,240.1,492.8,493.4,160.8,2.7,0.0,6.6,1584.1,89.8,97.8,1387.2,9.3
26,manipur,1950,12.3,59.7,79.1,87.8,207.4,407.4,449.4,535.3,255.4,237.5,82.9,8.7,2423.0,72.1,374.3,1647.5,329.1
27,mizoram,1950,12.3,59.7,79.1,87.8,207.4,407.4,449.4,535.3,255.4,237.5,82.9,8.7,2423.0,72.1,374.3,1647.5,329.1
28,nagaland,1950,12.3,59.7,79.1,87.8,207.4,407.4,449.4,535.3,255.4,237.5,82.9,8.7,2423.0,72.1,374.3,1647.5,329.1
