,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1933,4.1,0.0,6.8,23.3,88.0,106.0,187.1,135.6,193.0,251.3,67.3,24.8,1087.3,4.2,118.0,621.7,343.4
1,arunachal pradesh,1933,56.0,59.4,101.6,267.9,435.3,782.1,743.2,685.2,376.1,217.9,40.6,8.1,3773.3,115.4,804.8,2586.5,266.6
2,assam,1933,10.3,29.0,16.7,214.4,286.7,477.2,427.1,501.7,243.1,122.1,8.1,2.7,2339.1,39.2,517.7,1649.2,132.9
3,west bengal,1933,16.4,31.35,2.1,94.0,188.8,445.8,519.1,466.55,275.5,147.05,3.0,0.95,2190.7,47.75,284.9,1706.95,151.05
4,bihar,1933,28.3,13.1,0.7,62.1,90.3,197.0,377.3,377.8,167.8,77.6,0.3,0.3,1392.6,41.3,153.2,1119.8,78.2
5,chhattisgarh,1933,31.6,75.9,14.9,21.9,97.3,310.7,388.9,368.3,286.5,41.4,7.9,5.5,1650.6,107.5,134.1,1354.4,54.7
6,delhi,1933,1.1,19.5,10.8,6.7,43.2,105.1,131.4,227.3,293.1,17.0,0.4,1.3,856.9,20.6,60.7,756.8,18.7
7,goa,1933,0.0,0.1,1.6,15.3,129.2,816.5,909.0,758.6,485.8,179.7,19.2,28.4,3343.4,0.1,146.2,2969.8,227.3
8,gujarat,1933,0.0,3.4,0.7,3.5,44.3,118.3,241.3,473.6,227.5,15.1,1.4,7.9,1137.1,3.4,48.6,1060.6,24.4
9,haryana,1933,1.1,19.5,10.8,6.7,43.2,105.1,131.4,227.3,293.1,17.0,0.4,1.3,856.9,20.6,60.7,756.8,18.7
10,himachal pradesh,1933,60.2,93.6,109.4,80.2,54.7,106.0,259.3,244.2,172.7,49.1,8.2,2.8,1240.4,153.8,244.3,782.2,60.2
11,jammu & kashmir,1933,104.0,137.4,187.1,107.2,31.1,63.7,175.2,217.7,101.9,48.1,12.2,2.1,1187.7,241.4,325.4,558.5,62.4
12,jharkhand,1933,61.2,58.7,8.9,37.0,94.0,218.1,366.8,397.3,209.6,74.5,4.1,5.5,1535.6,119.9,139.9,1191.8,84.1
13,karnataka,1933,0.03,1.93,9.83,51.5,206.8,428.33,558.33,293.93,282.33,230.03,37.93,37.53,2138.67,2.0,268.13,1563.0,305.53
14,kerala,1933,1.0,9.3,36.9,139.5,738.8,859.3,773.4,479.5,469.7,397.0,126.1,42.3,4072.9,10.3,915.2,2581.9,565.5
15,madhya pradesh,1933,4.3,24.5,10.45,20.6,55.45,170.15,318.75,336.45,291.25,42.05,10.15,5.9,1290.0,28.8,86.5,1116.65,58.1
16,maharashtra,1933,1.4,0.5,3.4,8.5,76.5,182.3,194.7,259.4,286.1,93.3,24.0,22.3,1152.4,1.9,88.4,922.5,139.6
17,meghalaya,1933,10.3,29.0,16.7,214.4,286.7,477.2,427.1,501.7,243.1,122.1,8.1,2.7,2339.1,39.2,517.7,1649.2,132.9
18,orissa,1933,17.8,57.4,7.9,25.5,136.5,288.6,404.8,448.6,294.7,138.1,20.0,11.1,1851.0,75.2,169.9,1436.7,169.2
19,punjab,1933,6.2,26.4,35.7,7.2,25.7,37.1,180.0,327.3,202.7,8.4,2.9,0.9,860.6,32.6,68.6,747.2,12.2
20,rajasthan,1933,0.15,6.7,2.75,17.65,22.7,127.75,108.4,248.1,108.75,6.95,6.2,0.95,657.1,6.9,43.15,593.0,14.1
21,sikkim,1933,16.5,9.4,0.5,112.4,206.0,565.3,653.3,512.3,284.1,149.3,3.9,1.1,2514.2,25.9,318.9,2015.0,154.4
22,tamil nadu,1933,2.7,5.0,41.2,52.5,105.3,36.9,60.7,169.9,104.5,201.8,124.5,105.9,1010.9,7.7,199.1,372.0,432.2
23,tripura,1933,2.5,19.7,34.3,167.0,298.4,463.4,476.3,603.5,259.6,113.4,9.6,4.1,2451.8,22.2,499.7,1802.8,127.1
24,uttar pradesh,1933,10.15,16.6,4.45,28.3,40.05,183.5,214.6,235.65,178.85,93.2,0.5,0.7,1006.4,26.75,72.75,812.55,94.4
25,uttarakhand,1933,51.7,67.2,23.4,52.6,89.4,227.0,466.8,337.3,151.2,128.0,0.0,1.2,1595.8,118.9,165.3,1182.3,129.2
26,manipur,1933,2.5,19.7,34.3,167.0,298.4,463.4,476.3,603.5,259.6,113.4,9.6,4.1,2451.8,22.2,499.7,1802.8,127.1
27,mizoram,1933,2.5,19.7,34.3,167.0,298.4,463.4,476.3,603.5,259.6,113.4,9.6,4.1,2451.8,22.2,499.7,1802.8,127.1
28,nagaland,1933,2.5,19.7,34.3,167.0,298.4,463.4,476.3,603.5,259.6,113.4,9.6,4.1,2451.8,22.2,499.7,1802.8,127.1
