,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1973,0.0,0.4,12.0,1.1,45.2,73.3,158.6,178.4,132.5,233.7,23.5,0.3,859.1,0.4,58.3,542.9,257.5
1,arunachal pradesh,1973,136.4,147.1,82.3,215.3,256.5,571.1,284.8,271.3,258.3,110.2,88.9,35.4,2457.5,283.5,554.0,1385.5,234.4
2,assam,1973,9.8,82.8,28.9,252.1,324.5,634.4,364.6,395.0,348.6,128.7,67.4,35.3,2672.1,92.6,605.5,1742.6,231.4
3,west bengal,1973,7.55,22.4,54.2,54.45,229.25,442.0,365.7,379.85,437.85,243.95,18.75,13.9,2269.9,29.95,337.9,1625.4,276.65
4,bihar,1973,22.9,10.2,3.8,4.4,65.0,200.9,185.1,258.9,271.4,158.2,8.3,0.0,1189.0,33.1,73.1,916.3,166.5
5,chhattisgarh,1973,3.8,10.0,2.6,3.1,6.9,97.9,429.3,401.9,286.5,223.3,2.0,0.0,1467.3,13.8,12.7,1215.5,225.3
6,delhi,1973,15.8,5.2,3.2,0.5,32.9,75.1,118.3,189.8,57.6,19.7,0.0,9.0,527.2,21.0,36.7,440.8,28.6
7,goa,1973,0.0,0.4,0.0,0.0,3.1,455.9,922.1,910.6,437.4,103.6,2.9,0.2,2836.3,0.4,3.2,2726.1,106.7
8,gujarat,1973,0.2,0.7,0.1,0.0,1.3,97.3,301.4,364.5,387.0,7.1,0.0,0.1,1159.6,0.9,1.4,1150.2,7.1
9,haryana,1973,15.8,5.2,3.2,0.5,32.9,75.1,118.3,189.8,57.6,19.7,0.0,9.0,527.2,21.0,36.7,440.8,28.6
10,himachal pradesh,1973,116.8,80.6,68.4,15.7,40.0,99.1,167.8,213.9,86.3,32.1,5.4,29.1,955.2,197.3,124.1,567.1,66.6
11,jammu & kashmir,1973,134.1,83.4,131.3,65.9,57.2,29.1,180.9,299.7,45.5,21.6,0.0,51.8,1100.5,217.5,254.4,555.2,73.4
12,jharkhand,1973,10.6,15.2,23.9,7.1,56.4,184.3,224.3,294.6,365.4,245.1,13.7,0.6,1441.0,25.8,87.4,1068.5,259.4
13,karnataka,1973,0.0,0.0,0.13,15.73,71.7,372.2,438.7,430.23,132.37,164.57,23.9,4.87,1654.47,0.0,87.57,1373.53,193.37
14,kerala,1973,0.0,0.3,12.3,131.5,119.9,617.0,583.5,487.5,61.3,260.8,84.5,53.8,2412.5,0.3,263.8,1749.2,399.2
15,madhya pradesh,1973,0.55,17.25,0.05,0.65,1.85,64.4,496.75,454.5,230.9,53.95,0.1,8.7,1329.6,17.8,2.6,1246.5,62.7
16,maharashtra,1973,0.0,3.0,1.8,3.2,10.1,124.7,312.0,243.9,172.8,104.8,3.9,0.4,980.6,3.0,15.1,853.4,109.1
17,meghalaya,1973,9.8,82.8,28.9,252.1,324.5,634.4,364.6,395.0,348.6,128.7,67.4,35.3,2672.1,92.6,605.5,1742.6,231.4
18,orissa,1973,1.7,5.7,33.4,8.7,67.5,103.2,434.9,380.9,266.5,244.7,13.3,13.0,1573.5,7.3,109.7,1185.4,271.0
19,punjab,1973,26.0,32.4,8.2,1.8,41.2,111.4,170.5,256.3,43.3,19.6,0.0,32.4,743.1,58.4,51.2,581.5,51.9
20,rajasthan,1973,1.95,1.8,0.3,0.05,11.85,25.95,162.5,346.1,145.6,3.55,0.0,1.85,701.5,3.7,12.2,680.15,5.4
21,sikkim,1973,13.8,35.9,40.8,82.9,324.3,679.8,426.5,424.7,474.1,281.3,16.6,3.9,2804.6,49.7,448.0,2005.1,301.8
22,tamil nadu,1973,0.3,0.2,5.3,20.7,57.0,63.5,92.3,87.6,130.4,195.2,79.1,127.1,858.5,0.5,82.9,373.7,401.4
23,tripura,1973,16.8,46.0,29.3,135.3,329.0,367.2,260.0,323.9,232.7,159.7,162.6,43.6,2105.8,62.7,493.5,1183.8,365.8
24,uttar pradesh,1973,9.6,15.5,1.65,0.0,12.9,99.8,254.3,274.9,130.8,80.35,0.1,0.9,880.8,25.1,14.6,759.7,81.4
25,uttarakhand,1973,73.0,65.7,47.8,1.8,44.8,254.3,265.9,297.9,130.8,46.8,1.6,9.2,1239.7,138.7,94.5,948.9,57.6
26,manipur,1973,16.8,46.0,29.3,135.3,329.0,367.2,260.0,323.9,232.7,159.7,162.6,43.6,2105.8,62.7,493.5,1183.8,365.8
27,mizoram,1973,16.8,46.0,29.3,135.3,329.0,367.2,260.0,323.9,232.7,159.7,162.6,43.6,2105.8,62.7,493.5,1183.8,365.8
28,nagaland,1973,16.8,46.0,29.3,135.3,329.0,367.2,260.0,323.9,232.7,159.7,162.6,43.6,2105.8,62.7,493.5,1183.8,365.8
