,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1918,25.1,2.5,9.5,13.0,79.6,109.4,107.4,130.9,149.6,30.8,111.7,8.5,778.0,27.6,102.0,497.4,151.0
1,arunachal pradesh,1918,10.4,11.0,191.2,144.6,861.1,1609.9,1303.0,692.6,515.8,125.2,7.8,13.7,5486.3,21.4,1196.9,4121.3,146.7
2,assam,1918,4.6,16.1,125.5,152.2,287.4,659.4,805.0,604.8,373.2,70.7,6.8,1.1,3106.8,20.7,565.1,2442.5,78.6
3,west bengal,1918,1.05,0.75,20.05,111.5,242.05,528.6,449.0,556.85,257.1,18.85,1.15,1.55,2188.4,1.8,373.55,1791.5,21.55
4,bihar,1918,0.6,0.1,1.8,29.5,105.4,251.6,240.3,519.2,254.4,8.6,0.1,0.0,1411.7,0.7,136.8,1265.5,8.7
5,chhattisgarh,1918,14.1,4.5,1.9,10.7,48.3,431.2,238.0,490.9,122.5,1.7,4.7,8.8,1377.2,18.6,60.9,1282.6,15.2
6,delhi,1918,10.0,0.0,11.1,9.9,1.1,34.3,20.0,142.1,5.0,0.3,0.8,0.0,234.7,10.1,22.2,201.4,1.1
7,goa,1918,0.1,0.0,3.3,0.1,345.4,334.1,424.7,578.1,123.6,5.8,52.0,0.0,1867.3,0.1,348.8,1460.4,57.9
8,gujarat,1918,0.4,0.0,0.2,0.0,12.1,37.8,110.5,213.4,17.6,0.2,0.5,0.0,392.6,0.4,12.3,379.3,0.7
9,haryana,1918,10.0,0.0,11.1,9.9,1.1,34.3,20.0,142.1,5.0,0.3,0.8,0.0,234.7,10.1,22.2,201.4,1.1
10,himachal pradesh,1918,21.2,22.3,171.2,103.4,14.3,135.6,200.6,208.9,21.5,7.9,51.0,26.9,984.7,43.4,288.9,566.6,85.8
11,jammu & kashmir,1918,25.8,27.7,269.0,173.9,4.7,59.6,95.3,118.1,19.0,14.9,19.6,88.9,916.5,53.5,447.6,292.0,123.4
12,jharkhand,1918,4.2,2.4,3.6,15.5,78.5,324.0,149.7,406.7,175.9,1.7,0.0,0.5,1162.6,6.5,97.6,1056.3,2.2
13,karnataka,1918,6.8,0.4,6.7,24.97,308.97,225.63,148.37,216.43,127.93,43.77,137.97,9.53,1257.4,7.17,340.63,718.37,191.27
14,kerala,1918,42.9,5.0,32.8,51.3,683.0,464.3,167.5,376.0,96.4,233.2,295.4,54.1,2501.9,47.9,767.0,1104.3,582.6
15,madhya pradesh,1918,0.75,4.0,2.15,0.65,19.65,166.8,158.05,267.4,76.75,0.35,16.45,7.0,719.95,4.75,22.4,668.95,23.8
16,maharashtra,1918,5.1,0.6,2.6,1.0,90.5,51.7,68.4,112.4,55.1,13.3,30.0,7.5,438.0,5.6,94.0,287.6,50.8
17,meghalaya,1918,4.6,16.1,125.5,152.2,287.4,659.4,805.0,604.8,373.2,70.7,6.8,1.1,3106.8,20.7,565.1,2442.5,78.6
18,orissa,1918,10.8,0.3,19.3,28.5,127.7,363.3,216.5,324.8,190.1,7.5,5.1,3.6,1297.4,11.1,175.5,1094.7,16.1
19,punjab,1918,3.1,1.2,61.4,38.5,0.6,31.9,38.7,140.5,15.5,0.2,3.5,4.5,339.6,4.4,100.5,226.5,8.3
20,rajasthan,1918,2.2,0.0,2.55,0.6,1.65,16.95,27.35,102.05,12.45,0.15,1.85,0.1,167.95,2.2,4.8,158.8,2.1
21,sikkim,1918,0.8,1.5,17.2,141.9,306.3,682.6,703.8,746.9,345.0,33.6,2.0,0.1,2981.4,2.2,465.3,2478.2,35.6
22,tamil nadu,1918,80.9,5.4,25.9,9.9,81.8,36.2,40.8,58.6,47.0,81.8,315.1,88.4,871.7,86.3,117.6,182.5,485.3
23,tripura,1918,3.8,6.1,138.6,224.8,361.9,573.8,638.5,569.3,363.9,75.7,52.3,4.5,3013.3,9.9,725.3,2145.5,132.5
24,uttar pradesh,1918,3.9,0.4,8.1,4.6,12.9,112.8,91.65,211.3,62.15,0.15,2.6,0.75,511.3,4.3,25.65,477.95,3.45
25,uttarakhand,1918,17.2,0.0,73.9,85.6,46.5,237.6,225.8,397.2,101.0,4.0,18.4,8.2,1215.2,17.2,205.9,961.5,30.6
26,manipur,1918,3.8,6.1,138.6,224.8,361.9,573.8,638.5,569.3,363.9,75.7,52.3,4.5,3013.3,9.9,725.3,2145.5,132.5
27,mizoram,1918,3.8,6.1,138.6,224.8,361.9,573.8,638.5,569.3,363.9,75.7,52.3,4.5,3013.3,9.9,725.3,2145.5,132.5
28,nagaland,1918,3.8,6.1,138.6,224.8,361.9,573.8,638.5,569.3,363.9,75.7,52.3,4.5,3013.3,9.9,725.3,2145.5,132.5
