,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1917,1.1,25.1,14.9,16.4,105.5,201.4,142.4,215.8,219.6,216.0,126.5,5.0,1289.6,26.3,136.7,779.2,347.4
1,arunachal pradesh,1917,21.4,164.5,,269.6,107.9,823.8,909.1,628.4,411.5,199.3,63.5,0.0,,185.9,,2772.8,262.8
2,assam,1917,12.8,91.6,38.7,168.8,206.2,584.7,472.8,346.3,313.7,236.6,46.4,1.4,2519.9,104.4,413.6,1717.4,284.4
3,west bengal,1917,0.7,27.5,17.4,26.4,198.75,493.1,531.15,335.2,316.35,356.3,5.7,0.2,2308.7,28.2,242.55,1675.8,362.15
4,bihar,1917,2.7,19.7,7.9,5.8,103.3,227.8,328.7,249.3,272.1,116.5,0.0,0.2,1334.1,22.4,117.0,1077.9,116.7
5,chhattisgarh,1917,3.6,63.7,26.6,10.8,44.0,296.9,374.0,475.2,287.8,144.1,0.3,0.7,1727.7,67.3,81.4,1433.9,145.0
6,delhi,1917,6.1,7.4,3.2,34.5,25.8,64.6,164.3,210.9,361.5,101.0,0.0,7.5,986.7,13.5,63.5,801.2,108.5
7,goa,1917,0.0,18.4,1.2,0.3,17.5,807.6,675.1,902.5,567.7,408.0,32.6,0.0,3430.9,18.4,19.0,2952.9,440.6
8,gujarat,1917,0.4,7.4,0.0,5.3,98.3,126.8,320.1,379.2,353.7,233.7,0.0,0.0,1524.9,7.8,103.6,1179.8,233.7
9,haryana,1917,6.1,7.4,3.2,34.5,25.8,64.6,164.3,210.9,361.5,101.0,0.0,7.5,986.7,13.5,63.5,801.2,108.5
10,himachal pradesh,1917,20.4,30.0,61.8,162.9,79.8,135.1,376.3,309.8,330.3,174.4,0.0,22.7,1703.6,50.5,304.5,1151.5,197.1
11,jammu & kashmir,1917,63.6,34.2,92.7,145.0,67.9,155.4,170.3,231.4,219.5,129.6,0.0,76.5,1386.1,97.8,305.6,776.7,206.0
12,jharkhand,1917,1.7,40.1,17.1,9.0,107.1,287.0,359.5,372.8,251.2,277.1,1.2,0.5,1724.4,41.8,133.2,1270.5,278.8
13,karnataka,1917,0.1,29.37,15.23,13.43,41.53,452.17,316.1,311.0,322.9,205.6,72.97,0.33,1780.73,29.47,70.23,1402.17,278.9
14,kerala,1917,2.9,47.6,79.4,38.1,122.9,703.7,342.7,335.1,470.3,264.1,256.4,41.6,2704.8,50.5,240.4,1851.7,562.1
15,madhya pradesh,1917,7.05,31.2,14.95,4.15,62.95,204.05,356.5,402.15,310.65,78.7,0.0,1.95,1474.3,38.2,82.05,1273.35,80.65
16,maharashtra,1917,0.1,20.0,4.8,7.7,15.6,174.3,120.6,187.0,205.2,169.5,33.4,0.0,938.2,20.1,28.1,687.1,203.0
17,meghalaya,1917,12.8,91.6,38.7,168.8,206.2,584.7,472.8,346.3,313.7,236.6,46.4,1.4,2519.9,104.4,413.6,1717.4,284.4
18,orissa,1917,0.0,68.5,24.0,26.0,95.1,336.3,319.0,319.4,280.6,364.4,16.4,0.3,1850.1,68.5,145.2,1255.4,381.1
19,punjab,1917,6.5,3.1,12.5,71.9,31.3,82.6,172.4,211.4,369.1,156.5,0.0,9.4,1126.7,9.6,115.7,835.5,165.9
20,rajasthan,1917,2.45,5.0,2.6,11.6,73.85,111.55,181.25,313.45,268.45,89.05,0.0,0.4,1059.6,7.45,88.05,874.65,89.5
21,sikkim,1917,1.0,21.4,15.1,23.4,226.1,619.4,740.5,410.5,428.0,354.3,1.7,0.4,2841.6,22.4,264.5,2198.4,356.3
22,tamil nadu,1917,14.3,39.1,32.3,11.9,77.5,72.4,45.1,155.7,163.5,123.1,167.5,45.9,948.3,53.4,121.7,436.7,336.5
23,tripura,1917,1.3,81.8,25.6,289.1,121.7,356.6,387.3,375.8,371.7,147.9,63.3,0.1,2222.2,83.1,436.4,1491.4,211.3
24,uttar pradesh,1917,8.8,28.9,10.05,10.35,46.15,136.6,327.4,232.75,295.55,67.75,0.0,4.05,1168.35,37.75,66.5,992.3,71.8
25,uttarakhand,1917,7.6,55.4,64.9,80.1,118.2,298.1,561.2,372.7,405.7,115.8,0.0,23.3,2102.9,63.0,263.2,1637.6,139.1
26,manipur,1917,1.3,81.8,25.6,289.1,121.7,356.6,387.3,375.8,371.7,147.9,63.3,0.1,2222.2,83.1,436.4,1491.4,211.3
27,mizoram,1917,1.3,81.8,25.6,289.1,121.7,356.6,387.3,375.8,371.7,147.9,63.3,0.1,2222.2,83.1,436.4,1491.4,211.3
28,nagaland,1917,1.3,81.8,25.6,289.1,121.7,356.6,387.3,375.8,371.7,147.9,63.3,0.1,2222.2,83.1,436.4,1491.4,211.3
