,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1903,0.8,13.3,0.2,6.2,73.4,154.0,248.6,258.0,216.5,159.1,173.9,12.1,1316.2,14.2,79.8,877.1,345.1
1,assam,1903,19.9,25.4,103.6,140.6,206.6,607.4,362.7,551.9,306.4,159.5,59.3,1.3,2544.7,45.4,450.8,1828.5,220.1
2,west bengal,1903,5.3,4.7,2.0,4.7,28.2,192.9,115.0,342.6,173.9,147.0,0.1,0.0,1016.3,10.0,34.9,824.4,147.1
3,chhattisgarh,1903,6.2,13.9,0.4,6.8,51.1,110.7,365.9,396.0,212.0,168.0,0.1,0.0,1331.2,20.1,58.3,1084.7,168.1
4,delhi,1903,14.7,0.5,2.3,0.5,8.5,8.6,151.6,138.2,97.7,4.0,0.0,2.3,428.9,15.2,11.3,396.1,6.2
5,goa,1903,0.0,0.0,0.1,0.0,201.1,470.5,1298.6,673.9,285.1,140.8,12.4,1.7,3084.3,0.0,201.2,2728.2,154.9
6,gujarat,1903,0.3,0.1,1.4,0.0,12.3,30.1,452.9,202.0,183.2,5.4,0.0,0.0,887.6,0.3,13.6,868.2,5.4
7,haryana,1903,14.7,0.5,2.3,0.5,8.5,8.6,151.6,138.2,97.7,4.0,0.0,2.3,428.9,15.2,11.3,396.1,6.2
8,himachal pradesh,1903,76.5,21.4,213.7,25.4,54.7,32.2,157.7,256.5,107.9,5.8,0.2,41.4,993.3,97.9,293.7,554.2,47.4
9,jammu & kashmir,1903,96.2,21.5,238.6,58.7,57.3,18.9,332.5,218.6,176.9,10.7,15.0,41.8,1286.6,117.7,354.6,746.9,67.5
10,jharkhand,1903,25.1,19.5,10.7,32.8,56.4,142.1,206.1,280.8,190.2,210.1,0.5,0.0,1174.3,44.6,99.9,819.3,210.6
11,karnataka,1903,1.5,0.0,0.4,7.53,127.1,256.33,633.1,298.63,230.27,168.53,100.07,15.13,1838.6,1.5,134.97,1418.3,283.77
12,kerala,1903,3.2,18.6,3.1,83.6,249.7,558.6,1022.5,420.2,341.8,354.1,157.0,59.0,3271.2,21.7,336.3,2343.0,570.1
13,madhya pradesh,1903,5.45,1.45,0.15,0.45,29.9,59.05,283.15,313.9,253.8,116.5,0.0,0.0,1063.85,6.9,30.5,909.9,116.5
14,maharashtra,1903,7.6,0.0,0.0,3.2,77.2,86.3,281.8,155.5,142.3,74.2,7.6,2.2,837.9,7.6,80.4,665.9,84.1
15,meghalaya,1903,19.9,25.4,103.6,140.6,206.6,607.4,362.7,551.9,306.4,159.5,59.3,1.3,2544.7,45.4,450.8,1828.5,220.1
16,orissa,1903,19.7,18.9,10.5,34.6,73.3,154.3,410.4,295.2,265.6,228.5,46.2,11.0,1568.3,38.6,118.5,1125.5,285.7
17,punjab,1903,29.5,0.5,45.0,1.3,9.2,5.2,212.2,119.1,132.5,6.9,0.0,9.5,571.0,29.9,55.5,469.1,16.4
18,rajasthan,1903,1.8,1.0,3.4,0.05,8.55,9.15,196.5,158.1,108.9,8.95,0.0,0.25,496.55,2.85,11.95,472.6,9.15
19,sikkim,1903,5.5,8.7,19.6,18.6,163.6,541.2,431.5,708.8,365.2,141.3,0.3,0.0,2404.5,14.3,201.9,2046.7,141.6
20,tamil nadu,1903,19.3,7.8,1.7,18.2,128.5,58.5,72.6,115.0,210.4,128.1,200.5,203.2,1163.9,27.1,148.4,456.5,531.9
21,tripura,1903,6.5,40.5,139.8,45.5,159.9,458.6,300.2,470.6,366.1,166.4,76.7,0.1,2230.7,47.0,345.1,1595.4,243.2
22,uttar pradesh,1903,10.8,0.4,1.25,0.35,11.75,52.15,130.35,349.65,204.55,251.0,0.0,0.2,1012.4,11.15,13.35,736.7,251.15
23,uttarakhand,1903,68.0,7.9,87.6,10.3,37.5,83.0,251.6,442.7,249.3,57.5,0.0,11.3,1306.5,75.9,135.4,1026.5,68.7
24,bihar,1903,6.5,40.5,139.8,45.5,159.9,458.6,300.2,470.6,366.1,166.4,76.7,0.1,2230.7,47.0,345.1,1595.4,243.2
25,arunachal pradesh,1903,6.5,40.5,139.8,45.5,159.9,458.6,300.2,470.6,366.1,166.4,76.7,0.1,2230.7,47.0,345.1,1595.4,243.2
26,manipur,1903,6.5,40.5,139.8,45.5,159.9,458.6,300.2,470.6,366.1,166.4,76.7,0.1,2230.7,47.0,345.1,1595.4,243.2
27,mizoram,1903,6.5,40.5,139.8,45.5,159.9,458.6,300.2,470.6,366.1,166.4,76.7,0.1,2230.7,47.0,345.1,1595.4,243.2
28,nagaland,1903,6.5,40.5,139.8,45.5,159.9,458.6,300.2,470.6,366.1,166.4,76.7,0.1,2230.7,47.0,345.1,1595.4,243.2
