,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1976,0.0,1.1,2.7,22.7,36.9,78.4,199.0,228.8,92.2,81.3,345.9,1.1,1090.3,1.1,62.3,598.5,428.4
1,arunachal pradesh,1976,8.9,112.9,168.0,229.3,210.7,506.3,375.4,357.4,177.5,139.7,87.9,45.6,2419.5,121.8,608.0,1416.7,273.1
2,assam,1976,5.7,36.3,92.6,139.4,179.5,509.7,390.5,358.5,149.1,67.3,24.3,3.1,1956.0,42.1,411.5,1407.8,94.6
3,west bengal,1976,4.4,41.9,24.0,80.15,218.3,399.05,414.25,475.65,242.75,82.6,33.35,0.9,2017.25,46.25,322.45,1531.7,116.8
4,bihar,1976,2.3,12.4,0.9,8.9,80.1,147.1,221.0,292.8,372.6,22.4,0.7,0.5,1161.7,14.7,90.0,1033.4,23.7
5,chhattisgarh,1976,0.4,4.1,1.1,15.9,12.6,100.0,569.0,492.1,174.5,2.8,6.7,0.2,1379.3,4.5,29.6,1335.6,9.7
6,delhi,1976,8.8,23.1,6.8,2.7,32.4,80.2,216.2,317.4,38.0,0.2,0.1,0.8,726.7,31.8,41.9,651.8,1.1
7,goa,1976,0.0,0.0,1.6,0.4,4.5,635.1,1279.2,690.1,360.7,20.3,71.0,0.0,3063.0,0.0,6.6,2965.1,91.3
8,gujarat,1976,3.2,0.0,0.0,0.0,0.2,342.5,584.4,482.4,149.5,0.2,57.7,0.0,1620.1,3.2,0.2,1558.8,57.9
9,haryana,1976,8.8,23.1,6.8,2.7,32.4,80.2,216.2,317.4,38.0,0.2,0.1,0.8,726.7,31.8,41.9,651.8,1.1
10,himachal pradesh,1976,66.7,105.5,126.6,49.1,30.1,85.5,368.9,238.0,72.6,20.2,1.7,14.6,1179.3,172.2,205.7,765.0,36.4
11,jammu & kashmir,1976,96.6,156.4,116.8,72.4,41.1,47.6,108.2,266.9,58.8,35.1,0.0,23.5,1023.7,253.1,230.4,481.6,58.7
12,jharkhand,1976,0.0,23.1,7.2,25.2,58.2,107.0,297.5,263.0,394.5,9.3,3.2,3.5,1191.8,23.1,90.6,1062.0,16.0
13,karnataka,1976,0.0,0.03,5.4,40.77,24.27,213.07,507.47,313.53,169.23,40.1,100.9,4.13,1418.8,0.03,70.4,1203.27,145.1
14,kerala,1976,0.1,1.5,21.0,134.5,75.8,196.8,641.5,342.6,116.2,221.3,286.7,30.8,2068.8,1.6,231.3,1297.1,538.8
15,madhya pradesh,1976,10.4,1.55,4.5,9.2,9.55,121.8,315.95,358.55,178.4,0.75,29.55,1.45,1041.65,11.95,23.25,974.65,31.8
16,maharashtra,1976,0.1,0.0,6.0,3.4,3.3,283.6,315.6,240.8,87.7,14.3,68.9,2.2,1025.8,0.1,12.7,927.7,85.4
17,meghalaya,1976,5.7,36.3,92.6,139.4,179.5,509.7,390.5,358.5,149.1,67.3,24.3,3.1,1956.0,42.1,411.5,1407.8,94.6
18,orissa,1976,0.0,10.1,10.5,25.9,57.9,108.1,347.8,374.1,172.6,36.8,32.8,2.4,1178.8,10.1,94.3,1002.5,72.0
19,punjab,1976,29.2,53.7,22.7,9.4,12.5,63.1,195.3,318.7,85.1,4.4,0.0,0.5,794.7,82.8,44.6,662.2,5.0
20,rajasthan,1976,6.45,5.55,0.25,1.7,11.2,65.25,147.4,240.85,109.8,0.15,31.65,0.0,620.25,12.05,13.15,563.25,31.85
21,sikkim,1976,8.8,51.0,27.3,112.8,303.5,649.2,531.9,671.7,288.0,113.1,35.5,1.2,2793.9,59.7,443.6,2140.8,149.8
22,tamil nadu,1976,1.2,0.2,8.4,50.1,33.8,48.6,64.0,129.9,83.7,137.6,244.9,56.6,858.9,1.4,92.3,326.1,439.1
23,tripura,1976,3.3,51.3,113.7,187.8,287.1,861.1,507.8,365.0,175.1,64.8,34.2,0.1,2651.4,54.7,588.6,1909.0,99.2
24,uttar pradesh,1976,3.8,7.7,1.55,4.0,17.2,65.6,241.4,277.7,165.0,3.7,0.45,0.2,788.35,11.45,22.8,749.75,4.4
25,uttarakhand,1976,12.7,58.4,31.2,22.1,40.5,87.6,269.2,328.5,129.3,5.6,0.1,1.1,986.3,71.1,93.8,814.6,6.8
26,manipur,1976,3.3,51.3,113.7,187.8,287.1,861.1,507.8,365.0,175.1,64.8,34.2,0.1,2651.4,54.7,588.6,1909.0,99.2
27,mizoram,1976,3.3,51.3,113.7,187.8,287.1,861.1,507.8,365.0,175.1,64.8,34.2,0.1,2651.4,54.7,588.6,1909.0,99.2
28,nagaland,1976,3.3,51.3,113.7,187.8,287.1,861.1,507.8,365.0,175.1,64.8,34.2,0.1,2651.4,54.7,588.6,1909.0,99.2
