,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1989,56.0,12.8,68.1,42.6,379.3,414.9,380.1,413.2,215.9,291.8,255.0,4.0,2533.6,68.8,490.0,1424.1,550.7
1,arunachal pradesh,1989,52.6,171.9,92.9,388.7,239.7,484.2,640.7,305.3,526.5,281.7,77.9,19.6,3281.6,224.5,721.2,1956.8,379.1
2,assam & meghalaya,1989,10.5,51.6,30.4,183.4,260.1,488.8,747.0,267.9,425.8,194.1,16.2,6.5,2682.1,62.0,473.8,1929.5,216.8
3,naga mani mizo tripura,1989,0.7,27.1,17.2,139.1,206.9,367.1,470.6,393.6,376.3,352.9,5.3,2.3,2359.0,27.8,363.2,1607.6,360.4
4,sub himalayan west bengal & sikkim,1989,21.0,41.6,45.8,58.1,358.4,551.3,629.8,407.8,593.6,98.9,30.7,17.6,2854.6,62.6,462.2,2182.5,147.2
5,gangetic west bengal,1989,0.4,4.9,6.1,5.4,173.6,318.2,414.5,291.4,284.2,105.5,3.7,18.3,1626.3,5.3,185.1,1308.3,127.5
6,orissa,1989,0.0,0.1,12.9,5.0,81.2,332.5,271.7,369.9,196.1,28.6,0.0,1.7,1299.7,0.1,99.2,1170.2,30.2
7,jharkhand,1989,1.9,0.3,2.8,0.1,66.4,246.0,285.6,258.9,219.0,39.6,8.6,19.7,1149.0,2.2,69.3,1009.5,67.9
8,bihar,1989,8.9,8.7,6.9,0.2,100.3,152.9,446.0,171.9,330.9,28.2,1.0,14.0,1269.9,17.5,107.4,1101.7,43.2
9,east uttar pradesh,1989,14.5,4.3,9.3,0.0,7.3,138.4,370.7,194.7,207.4,7.9,1.8,13.6,969.9,18.8,16.6,911.3,23.2
10,west uttar pradesh,1989,24.6,1.1,15.4,0.0,1.6,88.5,132.1,222.0,153.6,0.4,4.1,14.0,657.3,25.7,17.0,596.1,18.4
11,uttarakhand,1989,91.0,14.7,30.3,9.9,28.5,117.9,333.4,386.6,183.5,12.3,17.3,38.2,1263.8,105.7,68.7,1021.4,67.9
12,haryana delhi & chandigarh,1989,40.1,0.4,11.7,0.6,2.3,31.6,90.8,152.5,68.7,0.2,5.2,12.4,416.5,40.5,14.6,343.6,17.8
13,punjab,1989,45.7,4.1,17.6,1.7,4.9,39.6,164.1,151.9,20.7,0.3,8.0,21.8,480.3,49.8,24.2,376.2,30.1
14,himachal pradesh,1989,111.0,62.5,89.2,39.4,92.5,59.7,291.1,247.3,64.9,7.3,52.9,59.4,1177.2,173.5,221.2,663.0,119.6
15,jammu & kashmir,1989,74.9,78.2,134.1,114.6,139.0,69.1,293.8,114.9,39.3,40.3,50.7,67.1,1216.0,153.1,387.7,517.1,158.1
16,west rajasthan,1989,8.6,0.0,1.3,1.0,0.2,25.8,81.0,109.1,20.3,0.2,0.2,0.5,248.1,8.6,2.4,236.2,0.9
17,east rajasthan,1989,6.8,0.1,2.2,0.1,0.4,52.5,130.6,283.7,33.1,0.0,0.5,0.5,510.5,6.9,2.7,500.0,1.0
18,west madhya pradesh,1989,2.3,0.2,9.4,0.2,2.9,129.8,150.5,369.5,88.2,0.6,0.0,4.8,758.5,2.5,12.5,738.1,5.4
19,east madhya pradesh,1989,0.4,0.0,18.5,0.0,3.4,190.3,197.7,358.9,125.3,1.4,1.5,23.6,920.9,0.4,21.9,872.2,26.5
20,gujarat region,1989,1.3,0.0,0.0,0.0,0.1,112.5,351.2,298.3,58.0,1.5,0.0,0.0,822.8,1.3,0.1,819.9,1.5
21,saurashtra & kutch,1989,1.8,0.0,0.2,0.0,0.0,134.5,256.6,60.6,41.3,3.1,0.0,0.0,498.2,1.8,0.2,493.1,3.1
22,konkan & goa,1989,0.0,0.0,0.6,1.0,4.0,733.1,943.0,704.9,300.5,80.7,3.6,0.0,2771.5,0.0,5.6,2681.5,84.4
23,madhya maharashtra,1989,0.0,0.0,16.3,3.3,11.8,153.5,271.9,152.1,181.6,22.9,1.4,1.7,816.6,0.0,31.4,759.1,26.0
24,matathwada,1989,0.0,0.0,42.3,2.8,6.4,237.9,336.2,245.7,170.0,17.6,0.5,9.0,1068.3,0.0,51.5,989.8,27.1
25,vidarbha,1989,0.0,0.0,23.6,0.1,2.0,236.5,240.6,330.1,118.0,15.2,1.6,30.1,997.7,0.0,25.6,925.1,46.9
26,chhattisgarh,1989,0.1,0.0,10.5,1.0,8.9,226.8,372.1,353.7,173.9,10.4,5.2,24.6,1187.2,0.1,20.4,1126.5,40.2
27,coastal andhra pradesh,1989,0.1,0.1,37.4,7.3,31.9,128.3,329.6,235.5,189.6,55.5,13.2,1.6,1030.0,0.2,76.6,883.0,70.3
28,telangana,1989,0.0,0.0,39.2,1.9,4.9,238.5,406.0,277.7,165.4,17.4,1.4,8.6,1161.0,0.0,45.9,1087.6,27.4
29,rayalseema,1989,0.0,0.0,25.4,2.2,24.0,50.4,245.2,26.6,146.8,51.2,75.7,46.1,693.7,0.0,51.5,469.1,173.0
30,tamil nadu,1989,2.7,0.0,27.9,40.8,53.6,57.4,154.9,39.7,137.3,148.6,154.0,39.8,856.5,2.7,122.2,389.2,342.4
31,coastal karnataka,1989,0.0,0.0,8.4,22.4,53.6,982.5,914.4,829.3,234.7,138.1,31.9,0.3,3215.6,0.0,84.4,2960.9,170.3
32,north interior karnataka,1989,0.0,0.0,21.6,10.7,28.5,102.0,199.6,64.1,203.3,23.3,8.9,14.1,676.2,0.0,60.8,569.0,46.3
33,south interior karnataka,1989,0.0,0.1,12.5,24.0,53.3,145.0,286.3,135.0,149.4,86.9,15.7,5.2,913.5,0.1,89.8,715.7,107.9
34,kerala,1989,10.3,0.0,30.1,141.5,169.4,657.5,450.7,285.5,271.1,308.0,92.9,5.6,2422.7,10.3,341.1,1664.7,406.5
35,lakshadweep,1989,20.6,0.0,4.4,93.0,106.7,473.5,387.5,167.3,216.3,172.4,69.2,3.5,1714.4,20.6,204.1,1244.6,245.1
