,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1917,8.0,3.6,112.0,4.5,295.9,301.1,394.8,437.4,471.8,238.1,108.3,236.9,2612.4,11.6,412.4,1605.1,583.3
1,arunachal pradesh,1917,21.4,164.5,,269.6,107.9,823.8,909.1,628.4,411.5,199.3,63.5,0.0,,185.9,,2772.8,262.8
2,assam & meghalaya,1917,12.8,91.6,38.7,168.8,206.2,584.7,472.8,346.3,313.7,236.6,46.4,1.4,2519.9,104.4,413.6,1717.4,284.4
3,naga mani mizo tripura,1917,1.3,81.8,25.6,289.1,121.7,356.6,387.3,375.8,371.7,147.9,63.3,0.1,2222.2,83.1,436.4,1491.4,211.3
4,sub himalayan west bengal & sikkim,1917,1.0,21.4,15.1,23.4,226.1,619.4,740.5,410.5,428.0,354.3,1.7,0.4,2841.6,22.4,264.5,2198.4,356.3
5,gangetic west bengal,1917,0.4,33.6,19.7,29.4,171.4,366.8,321.8,259.9,204.7,358.3,9.7,0.0,1775.8,34.0,220.6,1153.2,368.0
6,orissa,1917,0.0,68.5,24.0,26.0,95.1,336.3,319.0,319.4,280.6,364.4,16.4,0.3,1850.1,68.5,145.2,1255.4,381.1
7,jharkhand,1917,1.7,40.1,17.1,9.0,107.1,287.0,359.5,372.8,251.2,277.1,1.2,0.5,1724.4,41.8,133.2,1270.5,278.8
8,bihar,1917,2.7,19.7,7.9,5.8,103.3,227.8,328.7,249.3,272.1,116.5,0.0,0.2,1334.1,22.4,117.0,1077.9,116.7
9,east uttar pradesh,1917,7.9,32.2,8.4,3.9,43.8,171.4,356.7,230.0,302.2,55.4,0.0,4.6,1216.5,40.2,56.0,1060.3,60.0
10,west uttar pradesh,1917,9.7,25.6,11.7,16.8,48.5,101.8,298.1,235.5,288.9,80.1,0.0,3.5,1120.2,35.3,77.0,924.3,83.6
11,uttarakhand,1917,7.6,55.4,64.9,80.1,118.2,298.1,561.2,372.7,405.7,115.8,0.0,23.3,2102.9,63.0,263.2,1637.6,139.1
