,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1965,11.8,30.4,25.3,51.0,292.3,408.8,392.1,396.6,576.8,290.5,187.9,500.4,3163.8,42.2,368.5,1774.3,978.8
1,arunachal pradesh,1965,37.4,120.7,103.7,254.4,306.9,404.7,315.8,351.3,172.9,51.5,72.6,4.9,2196.8,158.1,665.0,1244.7,129.0
2,assam & meghalaya,1965,5.1,73.6,52.5,158.2,327.1,501.0,399.6,422.1,304.0,82.4,60.8,12.5,2398.9,78.7,537.7,1626.7,155.7
3,naga mani mizo tripura,1965,1.9,61.5,35.9,59.4,169.5,520.5,373.4,323.0,262.2,164.1,22.6,37.0,2031.0,63.4,264.7,1479.1,223.7
4,sub himalayan west bengal & sikkim,1965,0.2,22.0,48.2,69.5,232.4,444.6,697.6,830.2,345.7,39.5,32.7,0.2,2762.7,22.1,350.1,2318.2,72.3
5,gangetic west bengal,1965,0.3,33.9,46.5,32.8,45.3,227.6,289.6,287.0,220.3,80.1,0.3,0.2,1263.7,34.2,124.5,1024.5,80.5
6,orissa,1965,10.6,17.3,59.1,37.9,37.6,123.1,392.9,187.3,222.9,83.9,1.0,1.0,1174.7,27.8,134.7,926.2,85.9
7,jharkhand,1965,0.8,8.7,26.6,31.3,14.8,113.1,354.6,215.9,206.2,39.2,0.3,0.9,1012.4,9.5,72.8,889.7,40.4
8,bihar,1965,0.4,1.2,15.7,7.1,7.7,98.8,302.2,328.3,215.0,22.2,1.8,2.4,1002.7,1.7,30.4,944.3,26.3
9,east uttar pradesh,1965,2.1,0.7,9.9,19.3,2.7,21.4,204.5,213.6,161.7,47.9,0.5,1.2,685.5,2.8,32.0,601.1,49.6
10,west uttar pradesh,1965,8.0,10.4,10.6,21.1,10.6,3.7,215.4,219.4,148.4,25.3,0.0,0.7,673.5,18.4,42.2,586.9,26.0
11,uttarakhand,1965,44.4,159.5,119.3,62.1,44.1,50.3,388.0,302.8,87.5,33.0,11.8,2.9,1305.7,204.0,225.4,828.6,47.7
12,haryana delhi & chandigarh,1965,6.2,11.5,7.3,8.6,20.4,2.1,120.3,133.3,60.9,11.0,0.1,0.2,381.9,17.7,36.3,316.7,11.3
13,punjab,1965,13.1,23.9,15.3,21.3,34.3,1.6,192.6,91.6,14.2,10.4,4.5,0.5,423.2,37.0,70.9,300.0,15.3
14,himachal pradesh,1965,52.5,209.1,170.9,126.6,143.9,24.9,278.3,117.3,39.9,25.8,12.8,18.3,1220.4,261.6,441.4,460.4,57.0
15,jammu & kashmir,1965,62.2,138.1,99.9,179.8,153.4,32.4,83.9,62.0,16.4,26.2,33.0,25.2,912.6,200.4,433.1,194.7,84.4
16,west rajasthan,1965,3.6,1.3,3.2,2.7,7.1,6.0,128.0,52.0,7.8,3.4,0.1,0.0,215.3,4.9,13.0,193.9,3.5
17,east rajasthan,1965,4.6,4.2,1.9,3.1,3.3,7.0,201.7,106.9,83.4,7.8,0.0,0.0,423.8,8.8,8.3,399.0,7.8
18,west madhya pradesh,1965,4.8,0.7,1.6,2.0,0.6,31.1,270.8,142.5,124.0,5.9,1.0,9.6,594.7,5.5,4.2,568.5,16.5
19,east madhya pradesh,1965,4.6,0.9,15.3,12.5,0.6,68.5,205.9,185.0,184.2,11.2,0.1,9.1,697.8,5.4,28.4,643.5,20.5
20,gujarat region,1965,7.4,0.0,0.6,0.4,1.3,11.2,442.4,165.9,24.1,1.0,2.4,0.1,656.7,7.4,2.2,643.6,3.5
21,saurashtra & kutch,1965,5.5,0.0,0.0,0.3,0.2,1.4,285.7,112.1,13.7,0.2,2.1,0.0,421.3,5.5,0.5,413.0,2.3
22,konkan & goa,1965,3.4,0.0,0.0,5.7,0.1,817.6,1393.7,608.8,147.5,8.9,2.2,83.7,3071.5,3.4,5.8,2967.6,94.8
23,madhya maharashtra,1965,5.8,0.2,0.3,10.2,12.3,82.9,380.7,200.3,54.8,10.0,4.6,28.5,790.7,6.1,22.9,718.7,43.0
24,matathwada,1965,5.4,1.5,0.0,9.5,0.8,129.3,218.7,180.0,69.4,5.9,0.4,10.4,631.4,7.0,10.3,597.4,16.7
25,vidarbha,1965,18.7,4.9,4.9,15.5,1.6,113.6,262.0,181.0,139.6,1.3,0.0,0.5,743.6,23.6,21.9,696.2,1.9
26,chhattisgarh,1965,5.8,4.5,22.3,14.4,8.4,111.1,310.0,208.3,251.8,4.9,0.0,0.0,941.6,10.2,45.1,881.2,4.9
27,coastal andhra pradesh,1965,1.4,1.2,7.1,35.4,36.7,52.0,166.3,157.5,208.1,61.3,25.0,2.3,754.2,2.6,79.2,583.9,88.6
28,telangana,1965,2.7,0.8,4.4,6.8,2.7,124.3,318.6,152.2,166.2,0.1,0.0,0.0,778.9,3.5,13.9,761.3,0.1
29,rayalseema,1965,0.6,0.6,5.5,40.2,15.6,47.2,78.6,168.8,109.4,13.2,62.2,54.3,595.9,1.2,61.2,403.9,129.7
30,tamil nadu,1965,1.8,7.2,10.1,63.8,40.9,33.5,55.4,169.8,92.7,123.9,120.3,202.3,921.8,9.0,114.8,351.4,446.6
31,coastal karnataka,1965,2.5,0.0,0.0,9.7,39.7,797.8,1002.5,577.2,196.8,25.1,20.1,159.8,2831.1,2.5,49.4,2574.2,205.0
32,north interior karnataka,1965,1.3,0.0,0.5,14.0,17.2,110.4,185.9,120.0,150.1,3.8,2.8,26.8,632.9,1.3,31.7,566.4,33.5
33,south interior karnataka,1965,1.0,0.2,4.6,24.6,42.0,129.8,245.2,141.1,81.4,17.7,25.8,21.7,735.2,1.2,71.3,597.5,65.1
34,kerala,1965,9.1,0.9,28.3,109.8,214.5,597.7,465.1,296.1,150.1,183.7,131.7,155.5,2342.4,10.0,352.6,1508.9,470.9
35,lakshadweep,1965,0.2,7.3,8.3,35.0,162.5,200.6,164.2,267.7,92.4,69.2,77.9,320.6,1405.9,7.5,205.8,724.9,467.7
