,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1991,14.1,3.8,28.0,132.9,191.3,165.7,547.2,486.5,489.9,287.6,130.1,58.5,2535.8,18.0,352.2,1689.3,476.2
1,arunachal pradesh,1991,24.9,86.0,110.7,193.3,423.7,608.3,607.7,603.4,484.5,189.0,22.2,80.8,3434.4,110.9,727.7,2303.9,291.9
2,assam & meghalaya,1991,13.7,30.2,62.1,175.7,495.8,517.8,440.5,388.2,437.3,226.2,9.4,41.1,2838.0,43.9,733.6,1783.8,276.7
3,naga mani mizo tripura,1991,27.5,41.9,64.1,253.5,619.4,456.6,297.3,326.0,387.3,291.4,28.0,58.9,2851.9,69.4,937.0,1467.2,378.3
4,sub himalayan west bengal & sikkim,1991,41.5,24.2,45.8,102.7,283.7,691.4,592.6,500.9,689.5,67.8,1.7,30.4,3072.4,65.7,432.3,2474.4,99.9
5,gangetic west bengal,1991,27.8,11.4,41.7,34.5,66.1,257.4,381.2,331.3,249.2,125.6,15.6,67.5,1609.1,39.2,142.2,1219.0,208.7
6,orissa,1991,20.0,2.8,21.8,29.6,36.2,149.5,458.5,439.0,181.5,93.5,32.9,7.3,1472.8,22.8,87.7,1228.6,133.7
7,jharkhand,1991,19.3,8.0,31.1,11.2,33.7,171.3,252.9,384.0,274.0,29.4,1.9,34.2,1250.9,27.3,76.0,1082.2,65.5
8,bihar,1991,14.5,6.3,7.9,8.9,31.2,176.2,179.7,324.2,270.5,7.2,0.0,19.2,1045.7,20.7,48.0,950.5,26.5
9,east uttar pradesh,1991,8.6,10.9,7.9,3.9,4.1,98.2,123.0,395.9,201.6,0.2,2.7,18.3,875.2,19.5,15.9,818.7,21.1
10,west uttar pradesh,1991,2.9,18.9,7.5,2.9,2.7,44.8,108.6,406.2,124.7,0.0,7.9,21.7,748.7,21.8,13.1,684.3,29.6
11,uttarakhand,1991,13.2,58.0,52.0,51.6,21.2,81.8,219.8,346.7,126.4,0.5,10.1,39.4,1020.7,71.2,124.8,774.6,50.1
12,haryana delhi & chandigarh,1991,0.1,19.7,2.9,13.2,6.0,50.4,55.3,187.9,36.9,1.4,3.8,16.2,393.9,19.7,22.2,330.5,21.4
13,punjab,1991,0.1,39.8,16.0,34.8,10.8,73.5,86.8,144.3,41.7,1.0,0.2,26.8,475.9,39.9,61.7,346.3,28.0
14,himachal pradesh,1991,24.0,143.1,120.6,104.5,69.7,67.1,141.6,258.3,128.5,2.2,4.3,40.9,1104.8,167.1,294.8,595.6,47.4
15,jammu & kashmir,1991,71.3,216.5,176.1,233.2,93.5,75.6,162.8,204.4,148.9,10.6,5.6,50.5,1448.8,287.8,502.7,591.6,66.7
16,west rajasthan,1991,0.2,4.0,0.0,13.6,7.0,19.3,60.6,55.5,17.1,0.1,0.1,1.6,179.0,4.2,20.7,152.4,1.8
17,east rajasthan,1991,0.2,2.5,0.4,11.0,3.0,18.1,274.6,214.4,43.1,0.3,5.2,5.9,578.6,2.7,14.4,550.1,11.4
18,west madhya pradesh,1991,0.1,3.6,1.3,3.3,1.3,96.4,344.7,262.2,25.1,0.0,3.8,3.6,745.5,3.7,5.9,728.5,7.4
19,east madhya pradesh,1991,3.5,7.8,16.1,3.4,2.6,98.6,319.3,488.1,67.3,5.1,2.9,2.1,1016.9,11.3,22.0,973.4,10.2
20,gujarat region,1991,0.0,0.0,0.0,0.0,0.0,55.6,440.8,133.8,41.8,0.0,0.7,0.0,672.7,0.0,0.0,672.0,0.7
21,saurashtra & kutch,1991,0.0,0.0,0.0,0.0,0.0,13.3,155.6,44.2,5.4,0.0,0.0,0.3,218.7,0.0,0.0,218.4,0.3
22,konkan & goa,1991,0.0,0.0,0.0,6.4,14.7,759.2,1461.4,598.8,92.7,20.3,0.8,0.3,2954.6,0.0,21.2,2912.1,21.4
23,madhya maharashtra,1991,0.0,0.1,0.3,12.2,19.2,293.8,318.1,143.9,67.3,21.0,4.7,0.1,880.5,0.1,31.8,823.0,25.7
24,matathwada,1991,0.3,0.4,0.4,9.8,9.4,250.1,222.4,49.7,38.5,9.1,10.9,0.0,601.0,0.7,19.5,560.7,20.0
25,vidarbha,1991,6.3,1.6,4.6,4.7,3.0,168.9,348.0,255.4,23.0,9.6,12.1,1.5,838.7,8.0,12.2,795.3,23.2
26,chhattisgarh,1991,10.6,1.6,9.2,3.7,4.7,143.8,446.2,411.2,135.1,37.9,9.3,7.6,1220.8,12.2,17.5,1136.2,54.9
27,coastal andhra pradesh,1991,19.6,3.3,6.6,17.9,24.5,215.5,145.3,134.4,265.7,148.7,132.4,8.3,1122.1,22.8,49.0,760.9,289.3
28,telangana,1991,21.7,4.1,8.9,21.6,34.4,194.5,268.8,122.0,100.8,29.4,36.8,6.0,849.1,25.8,65.0,686.2,72.2
29,rayalseema,1991,11.5,0.0,6.2,26.3,32.4,187.6,79.8,101.6,99.9,191.0,219.6,11.7,967.5,11.5,64.9,468.9,422.3
30,tamil nadu,1991,24.2,4.6,9.7,37.4,29.5,128.1,54.7,71.7,114.0,225.1,234.4,21.4,954.8,28.9,76.6,368.5,480.9
31,coastal karnataka,1991,0.1,0.0,0.3,47.7,95.9,939.9,1501.7,896.5,79.5,111.8,45.6,0.7,3719.7,0.1,143.9,3417.5,158.1
32,north interior karnataka,1991,0.2,0.0,1.3,47.3,59.8,235.7,155.6,94.0,67.6,49.6,8.9,0.0,720.0,0.2,108.4,552.9,58.5
33,south interior karnataka,1991,1.0,0.1,2.6,64.2,108.6,248.9,261.9,165.5,115.8,192.5,60.0,0.1,1221.2,1.1,175.3,792.2,252.6
34,kerala,1991,10.9,4.4,33.2,97.0,113.4,1096.1,905.5,465.5,48.5,307.8,99.9,2.3,3184.5,15.3,243.6,2515.6,410.0
35,lakshadweep,1991,12.3,0.0,18.7,12.3,68.0,604.3,241.1,253.8,45.7,222.7,75.5,28.6,1583.0,12.3,99.0,1144.9,326.8
