,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1935,6.6,0.0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4,3154.0,6.6,860.9,1733.3,553.2
1,arunachal pradesh,1935,18.1,143.6,169.7,211.2,299.9,1147.1,489.9,968.8,631.6,21.8,44.4,27.4,4173.7,161.8,680.9,3237.5,93.6
2,assam & meghalaya,1935,3.4,53.2,66.5,122.1,381.5,696.9,395.2,573.9,335.0,28.1,19.8,2.9,2678.4,56.6,570.1,2001.0,50.8
3,naga mani mizo tripura,1935,0.6,48.3,43.7,173.3,171.2,547.1,506.4,553.5,339.1,124.8,33.1,2.2,2543.3,48.8,388.2,1946.1,160.1
4,sub himalayan west bengal & sikkim,1935,9.5,28.4,16.6,24.2,248.9,609.2,365.4,935.1,521.7,18.0,6.3,1.8,2785.1,37.9,289.7,2431.5,26.1
5,gangetic west bengal,1935,12.1,26.3,30.8,34.6,33.6,163.4,233.1,298.9,171.1,9.6,0.0,1.6,1015.1,38.3,99.0,866.5,11.2
6,orissa,1935,1.1,10.2,12.4,42.1,16.2,135.5,531.3,212.8,237.8,17.5,0.1,2.3,1219.4,11.3,70.7,1117.5,19.9
7,jharkhand,1935,35.8,21.7,10.0,23.4,6.7,120.5,295.8,435.6,200.0,1.6,0.0,0.5,1151.6,57.5,40.0,1051.9,2.1
8,bihar,1935,21.0,19.6,0.6,0.7,21.9,127.9,193.8,481.7,370.3,2.6,0.1,0.1,1240.4,40.6,23.3,1173.7,2.8
9,east uttar pradesh,1935,19.9,18.0,0.0,10.8,0.2,73.9,259.0,325.3,198.1,0.0,0.0,14.6,919.8,37.9,11.1,856.2,14.6
10,west uttar pradesh,1935,28.4,22.0,2.8,15.9,0.2,16.8,321.4,170.9,174.6,2.3,2.9,26.5,784.6,50.3,19.0,683.7,31.7
11,uttarakhand,1935,93.0,34.5,26.7,37.8,4.2,44.0,385.1,308.1,174.8,3.6,8.8,16.5,1137.2,127.5,68.7,912.1,29.0
12,haryana delhi & chandigarh,1935,35.1,25.1,7.1,29.2,0.7,5.3,208.9,132.3,97.0,7.5,6.0,14.2,568.3,60.2,37.0,443.5,27.7
13,punjab,1935,73.7,40.9,12.8,44.2,2.1,8.2,203.9,144.6,45.1,2.7,11.6,8.2,598.2,114.5,59.1,401.9,22.6
14,himachal pradesh,1935,136.7,73.4,60.3,83.6,18.4,40.3,233.6,216.6,88.0,28.5,26.5,22.1,1027.9,210.1,162.3,578.5,77.1
15,jammu & kashmir,1935,193.3,95.7,129.9,145.5,20.1,44.7,154.3,183.4,30.4,19.5,48.9,19.7,1085.5,289.0,295.6,412.8,88.1
16,west rajasthan,1935,9.2,2.7,2.5,8.4,0.8,4.1,137.4,38.2,47.2,4.5,0.7,1.0,256.6,11.9,11.6,227.0,6.2
17,east rajasthan,1935,14.8,5.8,0.7,10.5,1.3,34.2,299.4,119.7,170.1,16.5,1.1,10.7,684.8,20.6,12.5,623.4,28.3
18,west madhya pradesh,1935,5.3,2.9,0.0,7.8,0.7,94.3,361.2,157.5,213.6,17.8,0.6,9.5,871.1,8.2,8.4,826.6,27.9
19,east madhya pradesh,1935,21.5,17.2,0.2,19.1,0.5,88.3,624.4,292.6,200.6,2.4,0.2,12.9,1279.9,38.7,19.8,1205.9,15.5
20,gujarat region,1935,7.3,0.0,0.0,1.6,0.4,82.4,356.0,107.1,187.6,14.2,0.1,0.3,756.9,7.3,1.9,733.1,14.6
21,saurashtra & kutch,1935,11.5,0.0,0.0,2.5,0.0,44.8,353.0,64.6,42.3,4.9,0.0,0.4,524.1,11.5,2.5,504.7,5.3
22,konkan & goa,1935,0.2,0.1,0.0,0.0,0.0,700.3,879.9,466.5,419.7,64.3,11.0,0.6,2542.7,0.3,0.1,2466.4,75.9
23,madhya maharashtra,1935,2.5,0.0,0.0,3.7,1.4,149.6,208.6,195.5,126.7,119.4,7.7,3.9,819.0,2.6,5.1,680.3,131.0
24,matathwada,1935,7.2,0.5,0.0,14.0,0.4,191.1,197.4,196.6,223.5,84.1,5.8,1.4,922.1,7.7,14.4,808.7,91.3
25,vidarbha,1935,14.5,4.6,0.7,26.0,1.0,151.8,528.1,164.8,250.4,13.4,0.4,2.3,1158.0,19.0,27.7,1095.1,16.2
26,chhattisgarh,1935,12.2,17.9,5.1,33.4,4.1,132.2,562.1,247.2,247.6,3.8,0.0,3.6,1269.2,30.1,42.7,1189.1,7.3
27,coastal andhra pradesh,1935,1.2,0.1,4.2,24.7,10.5,94.6,158.9,122.6,191.8,141.0,1.6,0.0,751.1,1.3,39.4,567.8,142.6
28,telangana,1935,16.2,3.4,1.4,42.2,2.7,115.1,309.7,162.9,198.3,43.5,2.6,0.5,898.5,19.6,46.3,786.0,46.6
29,rayalseema,1935,8.5,0.6,1.8,22.9,17.5,79.7,92.6,226.1,113.9,171.4,35.8,11.5,782.3,9.0,42.2,512.3,218.7
