,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1950,0.8,0.0,0.0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4,2422.2,0.8,359.7,1578.4,483.3
1,arunachal pradesh,1950,38.6,92.8,205.8,425.2,274.2,,377.6,241.8,285.8,356.0,49.5,43.9,,131.4,905.2,,449.4
2,assam & meghalaya,1950,21.2,51.2,93.5,112.9,282.1,562.0,389.5,490.9,200.7,134.6,49.9,3.9,2392.4,72.5,488.5,1643.1,188.4
3,naga mani mizo tripura,1950,12.3,59.7,79.1,87.8,207.4,407.4,449.4,535.3,255.4,237.5,82.9,8.7,2423.0,72.1,374.3,1647.5,329.1
4,sub himalayan west bengal & sikkim,1950,0.3,19.6,27.9,48.4,210.4,747.5,570.9,639.9,366.2,131.0,0.2,0.3,2762.5,19.9,286.7,2324.5,131.5
5,gangetic west bengal,1950,0.0,6.5,25.9,14.1,101.2,371.1,338.8,373.3,176.4,93.3,115.2,0.0,1615.6,6.5,141.2,1259.5,208.5
6,orissa,1950,0.0,21.2,69.7,7.7,49.4,199.4,326.9,327.4,197.9,55.1,138.1,0.0,1392.8,21.2,126.8,1051.6,193.2
7,jharkhand,1950,1.0,14.8,31.4,1.9,36.4,318.4,389.6,389.6,173.1,21.1,11.9,3.7,1393.0,15.9,69.6,1270.7,36.7
8,bihar,1950,9.8,11.8,22.1,2.2,43.3,346.5,257.0,313.3,113.4,3.0,0.1,2.1,1124.6,21.6,67.6,1030.1,5.2
9,east uttar pradesh,1950,28.8,7.5,19.8,0.2,10.6,147.1,250.9,366.8,91.2,3.3,0.1,25.1,951.4,36.3,30.6,856.0,28.6
10,west uttar pradesh,1950,21.1,5.8,21.2,0.7,7.1,47.7,265.9,311.2,138.4,0.2,0.0,14.8,834.0,26.8,28.9,763.3,15.0
11,uttarakhand,1950,59.5,30.3,55.0,2.7,40.2,240.1,492.8,493.4,160.8,2.7,0.0,6.6,1584.1,89.8,97.8,1387.2,9.3
12,haryana delhi & chandigarh,1950,22.2,6.5,18.1,0.5,6.1,9.7,220.4,147.6,118.7,0.0,0.0,1.4,551.1,28.7,24.7,496.4,1.4
13,punjab,1950,53.1,25.4,50.1,2.4,8.1,14.1,209.2,232.3,396.8,0.4,0.0,0.1,992.0,78.5,60.5,852.4,0.6
14,himachal pradesh,1950,211.0,67.0,155.0,51.7,65.1,83.6,392.8,319.3,329.8,2.2,0.0,7.0,1684.4,278.0,271.7,1125.6,9.2
15,jammu & kashmir,1950,367.8,96.1,115.4,119.3,55.5,20.9,182.2,175.6,371.1,12.8,0.7,5.7,1523.1,463.9,290.2,749.8,19.2
16,west rajasthan,1950,1.4,0.3,1.7,0.0,1.9,6.6,131.5,64.8,70.1,0.0,0.0,0.0,278.3,1.7,3.6,273.0,0.0
17,east rajasthan,1950,0.9,0.2,3.4,0.0,6.4,13.3,318.8,174.7,221.5,0.0,0.0,0.7,740.1,1.1,9.9,728.4,0.7
18,west madhya pradesh,1950,2.4,2.0,15.0,0.3,5.8,34.8,411.3,182.6,230.4,2.9,0.0,16.9,904.5,4.4,21.2,859.2,19.8
