,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1998,0.9,0.0,0.0,0.0,348.9,600.0,364.5,258.9,337.8,618.6,227.8,89.0,2846.4,0.9,348.9,1561.2,935.4
1,arunachal pradesh,1998,26.7,78.8,193.6,125.0,275.0,839.8,823.8,807.0,236.8,187.2,20.5,2.5,3616.7,105.6,593.6,2707.4,210.2
2,assam & meghalaya,1998,11.8,31.5,136.8,185.7,250.6,581.2,604.4,549.5,212.3,190.0,48.9,0.4,2803.1,43.4,573.1,1947.4,239.2
3,naga mani mizo tripura,1998,28.1,31.6,136.4,164.6,352.2,297.6,480.6,367.3,222.3,97.9,46.5,0.3,2225.4,59.7,653.2,1367.9,144.7
4,sub himalayan west bengal & sikkim,1998,13.6,37.0,125.1,154.1,254.2,653.0,854.6,860.4,478.9,209.1,13.1,2.1,3655.1,50.5,533.4,2846.8,224.3
5,gangetic west bengal,1998,52.9,31.0,128.8,53.0,87.1,154.3,295.2,265.7,296.3,191.4,77.1,0.0,1632.7,83.9,268.9,1011.5,268.4
6,orissa,1998,31.5,28.3,52.4,43.4,53.4,176.4,277.6,203.5,277.3,139.6,73.8,0.0,1357.1,59.8,149.1,934.8,213.4
7,jharkhand,1998,76.3,20.6,54.1,33.8,45.5,109.9,302.4,263.2,288.6,132.3,26.3,0.7,1353.8,97.0,133.4,964.1,159.3
8,bihar,1998,8.4,11.2,23.6,26.6,38.2,96.6,465.1,377.4,188.0,83.0,14.5,0.0,1332.5,19.6,88.4,1127.0,97.5
9,east uttar pradesh,1998,9.5,8.6,14.2,6.6,20.1,55.4,218.3,247.0,63.8,14.5,3.0,0.0,661.0,18.1,41.0,584.4,17.5
10,west uttar pradesh,1998,3.3,8.1,23.5,9.0,10.4,71.4,273.4,343.7,84.2,39.6,0.7,0.0,867.2,11.4,42.9,772.7,40.2
11,uttarakhand,1998,9.6,68.4,106.2,73.0,78.5,163.3,242.9,260.0,120.0,75.5,1.2,0.0,1198.6,78.0,257.7,786.2,76.7
12,haryana delhi & chandigarh,1998,0.4,24.6,25.4,9.1,6.1,68.4,154.8,161.6,150.9,78.2,5.8,0.0,685.3,25.0,40.6,535.6,84.0
13,punjab,1998,2.8,55.8,25.5,19.1,2.7,42.4,160.6,90.1,139.5,49.9,0.0,0.2,588.6,58.7,47.3,432.6,50.1
14,himachal pradesh,1998,13.5,133.8,139.4,71.5,41.3,152.3,210.7,239.8,251.5,119.4,5.9,2.4,1381.6,147.3,252.3,854.3,127.7
15,jammu & kashmir,1998,75.0,297.2,185.4,192.8,75.1,59.3,161.0,131.1,97.9,49.2,1.8,0.0,1325.9,372.2,453.3,449.3,51.1
16,west rajasthan,1998,0.0,8.7,4.5,5.6,0.9,51.1,55.0,32.5,63.0,58.2,0.1,0.0,279.6,8.7,11.0,201.6,58.3
