,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1957,28.0,19.3,4.6,19.0,142.4,741.9,316.2,421.3,354.3,299.7,88.6,71.9,2507.2,47.3,166.0,1833.6,460.3
1,arunachal pradesh,1957,,,,246.9,448.9,608.1,1219.4,542.6,505.8,146.6,17.1,40.6,,,,2875.9,204.3
2,assam & meghalaya,1957,66.9,33.5,20.1,136.0,449.2,446.0,407.2,366.6,208.7,99.9,12.2,10.7,2257.2,100.4,605.4,1428.6,122.8
3,naga mani mizo tripura,1957,59.1,60.6,10.2,104.8,300.1,409.1,425.7,429.1,354.4,148.3,0.8,1.7,2303.9,119.7,415.1,1618.3,150.8
4,sub himalayan west bengal & sikkim,1957,103.0,8.9,25.5,10.6,167.7,430.2,650.6,535.4,208.4,73.7,7.7,3.8,2225.5,112.0,203.7,1824.6,85.1
5,gangetic west bengal,1957,50.2,26.6,8.7,6.0,16.4,231.8,312.1,201.1,239.4,38.2,0.1,0.0,1130.5,76.8,31.1,984.4,38.3
6,orissa,1957,12.3,26.6,30.4,12.4,33.6,153.5,349.2,415.4,194.5,49.5,0.1,0.0,1277.5,39.0,76.3,1112.7,49.6
7,jharkhand,1957,56.3,24.7,30.6,2.4,6.5,163.6,498.7,293.2,283.0,18.2,0.0,0.2,1377.5,81.1,39.5,1238.6,18.4
8,bihar,1957,75.2,2.8,11.6,0.5,1.3,115.6,334.5,295.8,115.2,11.6,0.0,2.7,966.9,78.0,13.4,861.2,14.4
9,east uttar pradesh,1957,44.2,0.4,18.0,1.0,1.0,56.4,367.3,293.5,163.3,5.1,0.1,5.4,955.7,44.6,20.0,880.5,10.5
10,west uttar pradesh,1957,59.7,0.3,29.1,5.4,2.4,42.3,282.3,271.1,278.9,18.2,3.2,12.3,1005.2,60.0,36.8,874.6,33.8
11,uttarakhand,1957,166.4,6.6,77.5,73.3,75.9,113.4,532.1,286.5,308.3,57.7,20.1,62.9,1780.7,173.0,226.7,1240.3,140.6
12,haryana delhi & chandigarh,1957,53.2,0.2,28.9,2.8,6.9,24.4,190.6,101.6,149.6,26.6,7.7,24.7,617.2,53.4,38.7,466.2,58.9
13,punjab,1957,105.0,4.0,26.6,10.6,10.8,19.5,197.5,167.4,106.1,17.2,10.3,35.5,710.5,109.1,47.9,490.5,63.1
14,himachal pradesh,1957,181.0,37.9,133.8,146.4,151.9,79.0,321.3,253.9,263.7,84.5,56.3,112.9,1822.7,218.9,432.2,917.9,253.8
15,jammu & kashmir,1957,184.1,144.7,110.9,222.7,144.4,73.5,143.8,203.2,29.9,113.6,86.9,62.6,1520.3,328.7,478.0,450.4,263.1
