,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1949,0.0,56.4,0.0,166.5,405.8,658.4,743.3,404.0,627.5,339.6,81.1,7.0,3489.6,56.4,572.3,2433.2,427.7
1,arunachal pradesh,1949,80.1,88.1,287.4,436.9,567.2,943.9,1002.0,672.6,482.0,224.9,39.6,50.1,4874.7,168.1,1291.5,3100.5,314.6
2,assam & meghalaya,1949,22.9,23.1,76.0,371.0,335.9,683.4,444.1,461.9,392.6,148.3,13.0,11.1,2983.4,45.9,782.9,1982.1,172.4
3,naga mani mizo tripura,1949,8.1,12.6,67.4,370.2,419.6,562.8,507.7,416.9,427.5,177.3,4.2,2.0,2976.3,20.6,857.3,1914.9,183.5
4,sub himalayan west bengal & sikkim,1949,9.6,25.5,14.1,281.8,351.9,660.9,645.1,586.3,395.8,311.4,0.1,5.1,3287.7,35.1,647.8,2288.1,316.7
5,gangetic west bengal,1949,6.8,3.0,33.5,114.7,188.9,214.5,325.0,285.5,209.8,110.5,1.3,0.0,1493.7,9.8,337.2,1034.8,111.8
6,orissa,1949,0.9,3.1,8.7,35.1,78.1,140.7,248.9,307.1,303.1,222.1,1.1,0.0,1348.9,4.0,121.8,999.8,223.3
7,jharkhand,1949,21.8,16.2,15.5,57.4,107.8,187.3,364.0,384.7,215.0,66.0,0.0,1.0,1436.7,37.9,180.7,1151.0,67.0
8,bihar,1949,16.5,42.8,5.7,35.5,93.1,200.2,341.7,386.5,217.9,103.4,1.1,0.0,1444.4,59.4,134.3,1146.3,104.5
9,east uttar pradesh,1949,3.8,41.3,1.2,3.8,28.5,52.7,287.8,352.4,272.4,86.7,0.5,0.0,1131.0,45.1,33.5,965.2,87.2
10,west uttar pradesh,1949,0.6,38.3,3.4,3.2,10.7,14.5,339.0,267.7,207.8,21.3,0.0,0.1,906.7,38.9,17.4,829.0,21.4
11,uttarakhand,1949,7.3,135.5,32.4,29.0,59.7,52.4,450.2,414.5,204.0,22.2,0.2,4.8,1412.1,142.8,121.1,1121.1,27.2
12,haryana delhi & chandigarh,1949,3.4,27.9,0.7,1.2,5.9,12.1,287.9,58.3,84.7,1.2,0.0,2.0,485.3,31.3,7.8,442.9,3.2
13,punjab,1949,9.3,58.4,4.8,5.2,9.8,26.9,320.0,93.7,51.0,1.4,0.0,4.5,584.9,67.7,19.8,491.5,5.9
14,himachal pradesh,1949,28.0,140.0,81.6,45.0,35.2,48.2,548.7,265.2,99.5,4.7,0.0,15.0,1310.9,168.0,161.7,961.5,19.7
15,jammu & kashmir,1949,101.3,194.0,127.7,59.1,54.9,69.2,144.6,85.1,38.6,24.0,11.0,37.5,946.9,295.3,241.6,337.5,72.4
16,west rajasthan,1949,1.8,2.9,0.0,0.1,3.6,20.5,123.1,42.8,28.5,1.2,0.0,0.2,224.8,4.7,3.8,214.8,1.4
17,east rajasthan,1949,1.1,0.9,0.1,0.2,5.2,32.5,279.8,81.0,101.0,5.9,1.5,0.0,509.2,2.0,5.5,494.3,7.4
18,west madhya pradesh,1949,0.0,3.4,0.4,0.3,19.7,90.3,326.9,137.2,334.7,50.8,2.4,0.0,966.2,3.4,20.4,889.1,53.2
19,east madhya pradesh,1949,2.0,15.4,2.8,1.5,24.3,114.4,351.0,302.7,296.2,124.7,0.0,0.4,1235.5,17.4,28.7,1064.3,125.1
20,gujarat region,1949,0.0,0.1,0.0,0.0,2.5,35.2,290.0,205.5,241.1,23.5,2.5,0.0,800.3,0.1,2.5,771.8,25.9
21,saurashtra & kutch,1949,0.0,0.1,0.0,0.0,0.9,13.3,236.5,231.8,55.9,3.4,0.3,0.0,542.3,0.1,0.9,537.6,3.7
22,konkan & goa,1949,0.2,0.0,0.1,1.3,128.9,442.2,1147.3,594.7,782.3,108.3,8.4,0.0,3213.7,0.2,130.3,2966.4,116.7
