,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1913,84.8,0.5,1.3,2.5,190.7,530.0,280.8,205.8,580.1,288.8,133.0,67.5,2365.8,85.3,194.5,1596.7,489.3
1,assam & meghalaya,1913,11.9,90.2,118.4,334.2,392.3,458.6,438.0,354.0,279.2,227.7,10.4,45.6,2760.5,102.2,844.9,1529.7,283.7
2,naga mani mizo tripura,1913,4.3,63.4,109.9,138.1,264.1,559.1,509.2,426.7,222.1,202.9,83.6,29.7,2613.2,67.7,512.2,1717.1,316.2
3,sub himalayan west bengal & sikkim,1913,0.7,35.1,46.5,52.2,301.4,736.9,596.1,477.7,476.6,153.7,4.8,53.2,2935.1,35.9,400.1,2287.4,211.8
4,gangetic west bengal,1913,4.1,110.7,35.1,12.8,157.0,512.0,367.7,290.3,186.2,122.6,18.5,9.8,1826.8,114.8,204.9,1356.3,150.9
5,orissa,1913,1.2,56.3,9.6,12.3,87.1,230.0,448.0,356.4,166.3,149.7,25.7,1.7,1544.3,57.5,108.9,1200.7,177.1
6,jharkhand,1913,1.9,111.6,40.1,1.0,77.9,375.5,321.3,383.8,164.3,73.8,18.3,16.3,1585.6,113.5,118.9,1244.8,108.4
7,bihar,1913,0.0,38.0,18.1,1.4,106.1,379.9,258.8,363.0,270.3,61.0,0.5,32.8,1529.7,38.0,125.5,1272.0,94.3
8,east uttar pradesh,1913,0.6,37.1,32.0,0.5,68.7,175.0,222.0,200.0,95.7,15.5,0.0,14.5,861.4,37.7,101.2,692.6,29.9
9,west uttar pradesh,1913,0.2,37.4,27.0,1.8,52.0,124.2,123.7,101.2,19.7,0.9,0.7,6.4,495.3,37.6,80.8,368.9,8.0
10,uttarakhand,1913,11.4,91.8,70.3,24.4,98.3,289.1,261.8,188.7,49.5,12.1,7.3,32.9,1137.6,103.2,193.0,789.1,52.3
11,haryana delhi & chandigarh,1913,1.1,42.9,22.4,1.9,69.7,111.8,142.9,82.3,22.6,0.7,0.9,9.3,508.4,43.9,94.0,359.6,10.9
12,punjab,1913,0.9,58.7,47.5,0.6,52.8,86.9,111.5,159.0,22.6,2.2,2.6,15.8,561.2,59.6,100.9,380.1,20.6
13,himachal pradesh,1913,21.3,126.6,72.4,35.5,114.6,168.0,215.4,239.0,40.3,14.1,20.3,51.8,1119.3,147.9,222.5,662.7,86.2
14,jammu & kashmir,1913,68.4,141.9,95.0,81.0,54.4,99.1,152.2,173.9,24.4,12.8,33.4,63.7,1000.2,210.3,230.4,449.6,109.8
15,west rajasthan,1913,0.1,8.5,2.7,0.5,26.8,53.4,52.0,58.2,31.1,0.1,0.6,14.1,248.3,8.6,30.0,194.7,14.9
16,east rajasthan,1913,0.0,9.5,0.8,0.1,46.0,111.6,160.7,107.0,44.0,1.5,0.4,16.6,498.3,9.5,46.9,423.3,18.5
17,west madhya pradesh,1913,0.0,7.6,3.0,0.0,28.2,168.7,290.0,220.4,58.5,0.4,0.3,13.4,790.5,7.6,31.2,737.7,14.1
18,east madhya pradesh,1913,1.3,58.4,22.7,0.0,24.2,201.6,262.5,281.3,63.1,2.7,0.7,17.7,936.4,59.8,46.9,808.5,21.2
19,gujarat region,1913,0.0,0.0,0.1,0.0,13.5,364.5,423.2,213.8,146.0,1.1,0.1,0.3,1162.6,0.0,13.7,1147.5,1.4
20,saurashtra & kutch,1913,0.0,0.0,0.1,0.0,0.7,213.1,352.8,122.6,61.9,0.5,0.0,0.1,751.9,0.0,0.9,750.3,0.6
21,konkan & goa,1913,0.0,0.0,0.0,1.3,18.7,897.9,1074.3,321.8,194.4,107.5,1.6,0.0,2617.4,0.0,20.0,2488.4,109.1
22,madhya maharashtra,1913,0.0,0.2,0.0,8.4,34.0,259.9,210.8,86.6,82.8,43.7,0.6,5.5,732.5,0.2,42.4,640.1,49.8
23,matathwada,1913,0.0,3.4,0.0,15.1,38.6,173.0,245.9,80.1,63.7,21.0,0.0,15.9,656.5,3.4,53.6,562.6,36.9
24,vidarbha,1913,0.0,24.9,4.0,1.8,17.2,199.8,378.3,244.3,137.2,17.4,0.3,27.4,1052.6,24.9,23.0,959.6,45.1
25,chhattisgarh,1913,4.3,85.4,31.8,4.1,35.8,246.0,374.4,285.6,122.2,24.9,6.2,14.0,1234.6,89.7,71.7,1028.2,45.1
26,coastal andhra pradesh,1913,0.0,12.9,0.5,3.3,68.2,129.0,166.9,124.3,119.5,206.7,7.2,2.4,841.0,12.9,72.1,539.7,216.3
27,telangana,1913,0.0,13.4,0.0,8.0,34.6,83.5,337.2,108.8,101.7,35.2,0.0,9.7,732.2,13.4,42.6,631.3,44.9
28,rayalseema,1913,0.0,0.4,0.9,10.8,52.8,37.0,93.3,36.9,122.1,184.2,12.3,65.6,616.3,0.4,64.4,289.3,262.2
29,tamil nadu,1913,2.9,3.2,6.6,21.0,64.6,29.7,58.7,62.3,124.8,203.4,184.1,117.7,878.8,6.1,92.2,275.4,505.1
30,coastal karnataka,1913,0.0,0.4,0.5,10.6,74.2,786.5,1048.0,410.7,161.0,339.1,1.2,4.0,2836.3,0.4,85.3,2406.3,344.3
31,north interior karnataka,1913,0.0,0.9,0.0,16.3,76.7,104.0,150.9,45.0,89.3,85.4,2.5,1.3,572.3,0.9,93.0,389.2,89.2
32,south interior karnataka,1913,0.0,0.1,1.0,22.3,93.4,124.5,257.5,88.4,151.0,133.6,1.4,3.1,876.4,0.1,116.8,621.4,138.1
33,kerala,1913,3.1,5.2,20.7,75.7,198.8,541.7,763.2,247.2,176.9,422.5,109.9,45.8,2610.8,8.3,295.2,1729.0,578.3
34,lakshadweep,1913,77.0,1.8,50.3,53.4,244.0,251.8,215.5,235.5,38.6,154.3,111.4,84.9,1518.5,78.8,347.7,741.4,350.6
