,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1921,13.2,3.1,0.0,37.5,351.2,282.7,487.1,330.0,581.2,360.7,118.2,41.5,2606.4,16.3,388.7,1681.0,520.4
1,arunachal pradesh,1921,78.9,54.3,180.3,358.0,598.0,1233.2,1433.0,885.9,603.4,246.3,4.6,15.5,5691.4,133.2,1136.3,4155.5,266.4
2,assam & meghalaya,1921,35.1,20.3,134.1,324.6,414.8,604.9,542.2,429.4,333.2,142.1,8.5,10.3,2999.7,55.4,873.6,1909.8,160.9
3,naga mani mizo tripura,1921,46.9,24.1,179.2,178.2,271.3,443.8,387.8,382.4,430.7,286.7,4.7,2.4,2638.2,70.9,628.8,1644.7,293.8
4,sub himalayan west bengal & sikkim,1921,37.9,6.0,54.9,157.4,503.1,589.2,970.2,521.4,479.6,183.8,2.7,7.1,3513.4,43.9,715.5,2560.4,193.7
5,gangetic west bengal,1921,36.5,10.1,13.2,57.4,53.3,238.4,279.6,382.1,177.7,51.9,0.0,0.0,1300.2,46.6,123.9,1077.8,51.9
6,orissa,1921,48.7,1.1,1.7,26.4,19.5,210.2,321.9,289.1,338.2,62.9,4.4,0.0,1324.0,49.7,47.7,1159.4,67.2
7,jharkhand,1921,37.1,11.0,1.4,20.8,12.9,228.2,325.2,391.5,182.8,22.8,0.0,0.0,1233.8,48.1,35.2,1127.7,22.8
8,bihar,1921,26.8,0.6,6.5,21.2,26.3,132.4,303.8,422.0,295.8,37.0,0.0,0.0,1272.2,27.3,54.0,1153.9,37.0
9,east uttar pradesh,1921,41.2,0.7,2.5,8.5,0.5,166.8,203.6,460.7,218.2,11.1,0.0,1.0,1114.7,41.9,11.5,1049.3,12.1
10,west uttar pradesh,1921,50.0,0.7,1.1,3.4,0.5,141.8,164.5,384.6,232.7,12.6,0.0,0.3,992.3,50.7,5.1,923.7,12.9
11,uttarakhand,1921,101.0,5.6,12.5,19.7,3.6,364.1,329.3,652.8,299.5,55.8,0.2,4.7,1848.7,106.6,35.8,1645.7,60.6
12,haryana delhi & chandigarh,1921,21.3,1.2,0.5,1.4,0.0,13.7,100.2,189.5,86.1,29.5,0.0,3.0,446.5,22.5,2.0,389.5,32.5
13,punjab,1921,19.3,3.9,0.7,0.7,1.0,19.9,116.8,113.9,46.6,27.0,0.0,20.5,370.4,23.2,2.5,297.2,47.6
14,himachal pradesh,1921,87.8,20.9,9.1,29.6,32.0,42.6,264.1,465.6,195.7,57.9,0.0,106.1,1311.2,108.7,70.6,968.0,164.0
15,jammu & kashmir,1921,140.6,71.3,60.4,44.9,21.8,56.7,137.7,209.3,65.8,76.8,3.1,169.3,1057.6,211.9,127.1,469.5,249.2
16,west rajasthan,1921,0.1,0.0,0.0,0.0,0.0,4.3,119.2,46.7,46.6,0.6,0.1,0.4,218.0,0.1,0.0,216.8,1.1
17,east rajasthan,1921,18.3,0.0,0.0,0.2,0.0,22.3,178.9,153.2,173.1,1.0,0.0,0.7,547.8,18.3,0.2,527.6,1.6
18,west madhya pradesh,1921,28.6,0.3,0.0,0.0,0.0,136.8,187.3,215.3,238.9,1.3,0.0,0.0,808.7,29.0,0.0,778.3,1.3
19,east madhya pradesh,1921,24.4,3.4,0.0,0.5,0.0,216.6,255.1,379.5,251.6,0.9,0.0,0.0,1132.1,27.8,0.6,1102.8,0.9
20,gujarat region,1921,0.8,0.0,0.0,0.0,0.0,31.1,529.7,205.4,405.1,0.4,0.0,0.2,1172.8,0.8,0.0,1171.3,0.6
