,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,2006,16.3,14.4,48.9,163.7,321.4,366.0,182.7,219.6,546.5,374.7,76.1,74.4,2404.7,30.7,534.0,1314.9,525.2
1,arunachal pradesh,2006,6.0,103.7,63.3,202.7,321.7,520.4,382.2,227.6,263.2,77.2,69.7,21.7,2259.6,109.7,587.7,1393.5,168.7
2,assam & meghalaya,2006,0.7,40.9,20.8,169.0,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.6,41.5,515.5,1208.1,133.5
3,naga mani mizo tripura,2006,0.6,12.4,5.5,111.1,382.2,445.6,335.0,241.6,231.1,90.4,13.0,3.7,1872.0,12.9,498.8,1253.2,107.1
4,sub himalayan west bengal & sikkim,2006,0.7,17.0,39.8,119.3,270.5,446.2,470.2,295.0,456.8,118.4,20.3,7.9,2262.1,17.7,429.6,1668.2,146.6
5,gangetic west bengal,2006,0.8,3.0,10.6,60.5,120.8,221.0,486.6,320.3,380.9,49.7,5.9,0.3,1660.5,3.9,191.9,1408.8,55.9
6,orissa,2006,0.2,0.0,29.9,25.0,105.6,175.2,454.0,624.9,254.7,26.4,21.0,0.0,1716.9,0.2,160.5,1508.8,47.4
7,jharkhand,2006,0.3,0.2,22.4,15.7,107.4,198.3,447.1,337.2,298.7,24.6,7.4,0.0,1459.5,0.5,145.5,1281.4,32.0
8,bihar,2006,0.1,0.0,1.9,19.2,73.2,200.0,290.7,160.4,285.2,17.6,2.9,1.6,1052.8,0.1,94.3,936.3,22.1
9,east uttar pradesh,2006,0.0,0.0,10.7,7.8,27.1,107.4,269.1,146.7,51.5,9.1,1.2,1.5,632.1,0.0,45.6,574.8,11.8
10,west uttar pradesh,2006,0.5,0.0,20.2,4.0,34.1,66.6,241.6,78.1,65.7,16.7,0.7,1.0,529.3,0.5,58.3,452.0,18.4
11,uttarakhand,2006,48.7,9.6,71.7,52.2,120.5,104.2,345.6,294.7,79.1,18.8,6.8,27.0,1178.9,58.3,244.4,823.7,52.6
12,haryana delhi & chandigarh,2006,2.3,0.1,30.4,0.6,24.8,45.4,135.2,32.1,49.9,3.8,1.2,5.2,330.9,2.4,55.7,262.6,10.2
13,punjab,2006,15.0,3.7,46.1,1.3,32.1,73.0,220.3,90.8,120.7,24.6,13.4,6.7,647.7,18.7,79.5,504.8,44.7
14,himachal pradesh,2006,102.5,38.2,137.3,44.3,68.4,104.8,260.3,274.2,92.8,17.5,26.9,51.2,1218.4,140.7,250.0,732.1,95.6
15,jammu & kashmir,2006,200.3,92.3,96.8,34.4,43.8,74.3,209.0,331.5,203.0,46.2,72.5,115.8,1519.8,292.5,174.9,817.8,234.5
16,west rajasthan,2006,0.0,0.0,16.9,3.4,8.3,36.9,52.7,203.6,31.3,5.3,0.4,2.5,361.3,0.0,28.6,324.4,8.3
17,east rajasthan,2006,0.0,0.0,11.9,0.4,13.1,73.8,215.9,341.5,88.9,2.4,0.1,0.5,748.4,0.0,25.4,720.0,3.0
18,west madhya pradesh,2006,0.0,0.0,44.3,3.3,22.8,74.5,299.0,501.9,198.1,13.7,8.6,3.0,1169.2,0.0,70.4,1073.5,25.2
19,east madhya pradesh,2006,0.0,0.0,50.3,14.2,18.0,56.3,373.8,328.3,74.1,13.0,12.3,3.0,943.4,0.0,82.5,832.6,28.4
20,gujarat region,2006,0.0,0.0,0.8,0.0,0.2,123.5,576.0,624.8,140.6,9.2,2.9,0.0,1478.0,0.0,1.1,1464.9,12.1
21,saurashtra & kutch,2006,0.0,0.0,1.9,0.0,0.0,66.2,373.4,189.8,68.2,1.4,0.3,0.6,701.8,0.0,1.9,697.7,2.3
22,konkan & goa,2006,0.0,0.0,9.9,0.0,211.8,683.1,1066.2,886.4,399.9,202.4,22.5,0.0,3482.2,0.0,221.7,3035.6,224.9
23,madhya maharashtra,2006,0.0,0.0,7.1,0.2,42.3,205.3,416.4,421.7,217.0,60.1,25.5,0.0,1395.7,0.0,49.7,1260.4,85.6
