,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,arunachal pradesh,1944,73.1,67.0,128.4,179.9,664.6,935.9,483.6,307.4,656.1,334.8,26.0,47.5,3904.3,140.1,972.9,2383.0,408.4
1,assam & meghalaya,1944,39.2,21.3,62.9,139.0,518.0,490.6,386.9,304.1,455.6,89.7,7.2,9.9,2524.3,60.4,719.9,1637.2,106.8
2,naga mani mizo tripura,1944,91.4,20.2,69.7,128.6,321.8,670.5,527.9,440.7,490.8,110.5,4.4,0.7,2877.3,111.6,520.2,2130.0,115.6
3,sub himalayan west bengal & sikkim,1944,37.1,15.7,53.9,105.9,248.8,585.9,446.9,416.7,613.3,52.1,6.9,0.0,2583.2,52.8,408.6,2062.8,59.0
4,gangetic west bengal,1944,60.0,24.4,40.2,44.8,36.1,147.5,349.8,477.4,147.0,79.1,0.1,0.0,1406.4,84.3,121.1,1121.8,79.1
5,orissa,1944,35.1,72.9,75.3,46.7,32.9,121.9,491.4,415.9,151.5,155.9,8.7,0.0,1608.1,108.0,154.8,1180.6,164.6
6,jharkhand,1944,34.5,65.3,46.6,29.1,18.7,129.4,368.5,428.3,149.0,112.5,4.3,0.3,1386.3,99.8,94.3,1075.1,117.1
7,bihar,1944,27.3,32.6,42.0,34.1,21.9,223.9,253.5,322.8,221.3,48.5,0.2,0.8,1228.8,59.9,98.0,1021.5,49.5
8,east uttar pradesh,1944,19.2,41.6,63.7,12.4,6.3,105.9,278.4,304.7,178.5,47.5,0.0,3.2,1061.5,60.8,82.3,867.5,50.8
9,west uttar pradesh,1944,32.3,43.2,44.4,25.1,0.4,76.5,255.4,183.2,87.1,21.0,0.6,1.2,770.3,75.6,69.9,602.2,22.7
10,uttarakhand,1944,76.6,72.0,62.6,51.2,18.4,192.0,354.4,194.7,144.5,21.4,0.7,10.3,1198.9,148.7,132.2,885.6,32.5
11,haryana delhi & chandigarh,1944,21.5,32.9,35.1,27.6,0.5,52.2,150.7,99.0,38.8,24.8,0.6,0.6,484.2,54.4,63.1,340.7,26.0
12,punjab,1944,32.3,54.6,49.5,46.5,0.6,21.8,183.8,145.8,67.2,14.6,1.6,8.4,626.9,86.9,96.7,418.7,24.7
13,himachal pradesh,1944,108.3,112.5,106.2,51.0,16.9,51.0,277.4,226.7,80.2,23.9,7.2,67.4,1128.8,220.8,174.2,635.3,98.5
14,jammu & kashmir,1944,114.9,142.5,98.8,72.5,26.4,37.2,193.9,183.2,51.1,18.4,37.8,74.2,1051.0,257.4,197.7,465.5,130.4
15,west rajasthan,1944,14.2,5.7,9.7,11.2,0.9,15.1,137.0,325.3,4.7,1.1,0.0,0.1,525.1,19.8,21.8,482.2,1.3
16,east rajasthan,1944,20.1,6.9,24.4,7.9,1.7,75.5,309.9,411.9,31.7,14.5,0.9,1.5,906.9,27.0,34.0,829.1,16.9
17,west madhya pradesh,1944,15.8,14.8,34.1,2.6,0.8,87.9,500.6,519.5,118.7,49.2,1.1,2.6,1347.7,30.7,37.5,1226.8,52.8
18,east madhya pradesh,1944,29.6,68.4,87.3,10.7,1.8,103.1,533.7,379.5,150.5,50.5,6.3,5.7,1427.0,97.9,99.7,1166.8,62.5
19,gujarat region,1944,2.9,0.0,5.1,2.3,2.3,110.1,625.9,502.7,72.2,16.9,0.0,0.0,1340.6,2.9,9.8,1310.9,17.0
20,saurashtra & kutch,1944,0.9,0.0,2.1,0.0,4.0,70.0,429.5,196.4,13.1,0.3,0.0,1.3,717.6,0.9,6.1,708.9,1.6
21,konkan & goa,1944,0.1,0.0,0.7,0.0,17.5,542.5,1456.0,658.6,85.7,177.0,14.1,0.0,2952.1,0.1,18.2,2742.7,191.1
22,madhya maharashtra,1944,0.8,0.7,10.3,0.1,21.4,132.2,421.7,227.8,142.1,115.3,13.6,0.0,1086.0,1.6,31.8,923.7,128.9
23,matathwada,1944,0.4,12.2,32.6,0.0,5.2,85.1,230.7,116.0,167.0,94.5,15.2,0.0,759.0,12.6,37.8,598.9,109.7
24,vidarbha,1944,4.5,59.4,64.8,1.6,2.7,96.6,470.4,370.6,213.2,67.4,16.5,0.0,1367.8,63.8,69.2,1150.8,83.9
25,chhattisgarh,1944,24.4,78.3,102.9,25.0,11.1,101.3,611.7,439.8,247.7,142.8,7.5,0.1,1792.7,102.7,139.0,1400.5,150.4
26,coastal andhra pradesh,1944,4.9,19.4,96.6,24.8,42.5,132.2,179.8,157.6,159.4,304.7,33.9,0.0,1155.9,24.3,163.9,629.1,338.6
27,telangana,1944,0.0,13.7,82.3,5.4,15.7,114.5,224.1,142.4,207.7,131.9,22.7,0.0,960.5,13.7,103.4,688.7,154.7
28,rayalseema,1944,0.2,10.4,86.9,9.9,21.2,87.5,144.2,69.0,151.5,180.0,141.1,15.7,917.4,10.6,118.0,452.0,336.8
29,tamil nadu,1944,18.4,34.6,83.5,32.7,46.1,81.8,73.8,104.7,143.5,188.8,288.8,130.9,1227.6,53.0,162.3,403.9,608.5
30,coastal karnataka,1944,0.0,0.7,18.2,3.3,106.5,777.8,1204.0,451.2,61.6,267.6,81.9,11.8,2984.5,0.7,128.0,2494.5,361.3
31,north interior karnataka,1944,0.0,3.2,30.3,12.3,44.8,92.6,174.6,28.0,140.5,158.8,37.1,0.0,722.1,3.2,87.4,435.7,195.8
32,south interior karnataka,1944,0.2,24.3,37.0,21.7,98.5,100.0,275.1,82.0,127.2,178.5,74.4,6.7,1025.7,24.5,157.3,584.3,259.6
33,kerala,1944,6.4,26.6,61.6,61.6,212.7,498.9,614.1,230.7,155.0,289.0,244.1,89.2,2490.0,33.0,336.0,1498.7,622.3
34,lakshadweep,1944,25.4,67.9,5.8,16.6,174.5,261.4,247.3,99.1,272.6,175.9,234.9,86.7,1668.1,93.3,196.9,880.4,497.5
