,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1936,16.5,15.3,116.5,,194.3,498.3,664.8,562.9,383.8,174.9,199.2,212.2,,31.8,,2109.8,586.3
1,arunachal pradesh,1936,105.9,175.2,151.7,374.7,295.7,833.1,1132.8,668.4,584.3,216.5,122.8,127.6,4788.9,281.1,822.2,3218.6,467.0
2,assam & meghalaya,1936,13.6,58.7,75.7,217.8,422.8,456.1,559.9,356.4,283.5,179.6,24.0,23.2,2671.3,72.2,716.3,1655.9,226.8
3,naga mani mizo tripura,1936,19.3,73.1,104.6,227.5,489.5,418.3,529.7,507.6,309.4,202.6,22.6,13.0,2917.1,92.4,821.6,1765.0,238.2
4,sub himalayan west bengal & sikkim,1936,3.7,8.9,46.7,85.7,274.8,410.4,663.8,508.7,536.0,113.2,0.1,8.3,2660.3,12.5,407.3,2118.8,121.6
5,gangetic west bengal,1936,9.8,12.6,20.3,16.4,223.8,299.9,331.4,251.4,253.9,74.7,4.0,7.5,1505.6,22.4,260.5,1136.6,86.1
6,orissa,1936,16.8,42.9,11.7,7.9,155.3,477.6,360.1,384.9,247.3,154.4,11.5,5.5,1876.0,59.7,174.9,1469.9,171.4
7,jharkhand,1936,15.9,18.9,13.5,5.4,93.0,279.1,378.9,346.2,356.8,135.2,11.4,10.1,1664.3,34.8,111.8,1361.0,156.7
8,bihar,1936,7.7,6.9,4.6,7.7,84.3,188.9,462.2,261.5,449.2,88.8,0.4,10.3,1572.5,14.6,96.6,1361.9,99.5
9,east uttar pradesh,1936,6.3,31.1,4.1,4.6,24.2,219.5,598.8,354.2,252.5,28.4,3.3,18.4,1545.5,37.4,32.8,1425.1,50.1
10,west uttar pradesh,1936,3.5,16.9,11.9,2.5,17.5,291.2,353.9,284.1,194.1,1.5,12.9,28.6,1218.4,20.3,31.9,1123.3,42.9
11,uttarakhand,1936,6.9,54.7,42.2,33.6,92.8,345.1,570.8,390.4,241.2,19.8,2.1,112.7,1912.3,61.6,168.6,1547.5,134.6
12,haryana delhi & chandigarh,1936,1.6,18.2,6.8,0.7,3.3,141.3,124.4,125.7,61.3,0.1,1.2,26.5,511.1,19.8,10.8,452.7,27.7
13,punjab,1936,1.3,58.8,17.3,10.9,5.4,105.0,170.2,165.5,57.7,6.2,0.2,27.9,626.4,60.1,33.7,498.4,34.3
14,himachal pradesh,1936,11.5,111.1,118.2,61.0,42.8,193.6,240.9,173.8,107.9,9.1,0.5,87.5,1158.0,122.7,221.9,716.2,97.1
15,jammu & kashmir,1936,59.9,168.9,242.1,62.4,21.8,96.0,163.6,140.2,54.7,16.7,19.9,94.7,1140.8,228.8,326.3,454.4,131.3
16,west rajasthan,1936,0.1,4.6,1.8,0.3,0.4,56.6,33.3,119.0,37.7,0.0,9.6,2.0,265.5,4.7,2.4,246.7,11.6
17,east rajasthan,1936,1.7,4.9,13.8,0.3,3.8,133.6,115.5,140.0,107.1,0.0,18.4,3.1,542.1,6.5,17.9,496.2,21.5
18,west madhya pradesh,1936,2.6,6.0,17.5,2.5,11.2,192.2,152.8,211.6,198.4,0.6,104.1,1.6,901.2,8.7,31.2,755.0,106.3
19,east madhya pradesh,1936,10.2,31.6,22.0,10.4,15.7,233.3,421.9,415.2,217.0,49.0,71.8,6.1,1504.2,41.8,48.1,1287.3,126.9
20,gujarat region,1936,0.0,1.8,1.3,0.0,0.8,189.4,133.4,52.9,175.8,1.3,52.5,0.0,609.3,1.8,2.1,551.5,53.9
21,saurashtra & kutch,1936,0.0,3.2,0.4,0.0,0.2,114.4,87.8,17.3,114.6,0.0,32.4,0.8,371.1,3.2,0.6,334.1,33.2
22,konkan & goa,1936,0.0,0.0,0.1,0.3,23.2,993.2,712.9,534.9,376.2,62.1,79.1,1.3,2783.4,0.0,23.7,2617.2,142.5
23,madhya maharashtra,1936,1.3,6.2,4.3,3.8,21.1,169.2,113.9,106.3,161.5,17.2,130.4,0.3,735.6,7.5,29.2,550.9,147.9
