,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1929,74.2,118.4,129.2,69.8,316.6,588.8,134.0,644.7,172.9,413.0,251.5,13.5,2926.6,192.6,515.6,1540.4,678.0
1,arunachal pradesh,1929,144.8,59.2,124.3,492.3,615.8,853.0,614.4,670.0,384.3,188.0,64.5,109.5,4320.2,204.1,1232.4,2521.8,362.0
2,assam & meghalaya,1929,83.9,3.8,84.1,321.7,570.2,643.4,385.0,333.2,292.8,196.0,17.6,22.1,2953.8,87.7,976.0,1654.4,235.7
3,naga mani mizo tripura,1929,38.3,7.7,48.0,242.7,433.0,859.1,385.0,371.4,314.8,121.7,11.3,26.4,2859.4,46.0,723.7,1930.4,159.4
4,sub himalayan west bengal & sikkim,1929,49.7,2.0,37.9,126.4,235.0,594.0,554.5,392.6,400.9,513.5,10.5,14.3,2931.3,51.7,399.4,1942.0,538.3
5,gangetic west bengal,1929,42.8,13.2,38.8,41.8,52.5,208.1,398.6,297.3,168.3,264.6,0.0,31.4,1557.3,56.0,133.1,1072.3,296.0
6,orissa,1929,18.0,18.8,4.5,25.0,37.8,193.4,525.0,423.4,190.9,185.7,0.0,15.3,1637.8,36.8,67.2,1332.7,201.1
7,jharkhand,1929,63.9,15.2,12.7,11.4,29.5,111.4,541.7,412.2,124.6,236.4,0.0,52.5,1611.5,79.1,53.5,1190.0,288.8
8,bihar,1929,51.6,1.1,11.4,16.2,33.1,190.2,328.8,326.3,124.7,231.4,0.0,44.4,1359.2,52.7,60.6,970.1,275.8
9,east uttar pradesh,1929,42.4,1.4,13.0,1.7,6.6,163.7,286.7,354.6,48.5,53.3,0.0,43.0,1014.8,43.8,21.2,853.5,96.3
10,west uttar pradesh,1929,26.3,2.5,1.9,5.7,1.5,83.0,210.7,234.7,32.7,18.4,0.8,32.2,650.1,28.7,9.1,561.0,51.3
11,uttarakhand,1929,52.9,33.2,16.9,21.7,20.6,138.7,279.7,403.2,65.2,44.5,0.0,135.5,1212.2,86.1,59.3,886.9,180.0
12,haryana delhi & chandigarh,1929,15.2,0.1,0.0,9.5,3.7,18.7,135.2,82.8,11.4,3.8,0.0,26.2,306.6,15.4,13.2,248.1,30.0
13,punjab,1929,8.9,1.1,0.0,11.5,1.7,45.6,163.3,111.6,8.5,10.2,0.0,60.6,423.0,10.0,13.2,329.0,70.8
14,himachal pradesh,1929,109.0,52.3,17.6,48.0,24.9,101.7,363.9,423.7,50.3,57.3,0.0,176.0,1424.7,161.2,90.5,939.6,233.3
15,jammu & kashmir,1929,121.2,66.4,40.3,53.0,42.6,60.0,182.6,266.7,20.9,60.4,2.0,186.6,1102.7,187.6,135.9,530.2,249.0
16,west rajasthan,1929,2.3,0.0,0.0,1.8,12.2,11.1,163.5,103.8,3.9,0.3,0.0,4.4,303.3,2.3,14.0,282.3,4.7
17,east rajasthan,1929,3.6,1.5,0.0,4.0,6.9,50.9,270.8,194.0,34.4,0.6,0.0,9.1,576.0,5.1,10.9,550.3,9.7
18,west madhya pradesh,1929,6.3,8.8,0.1,4.8,0.7,108.5,288.0,215.5,88.8,1.6,0.0,5.5,728.7,15.1,5.6,700.8,7.1
19,east madhya pradesh,1929,30.0,17.4,0.2,11.2,1.7,94.3,524.9,399.2,103.0,17.7,0.0,47.9,1247.4,47.4,13.1,1121.4,65.6
20,gujarat region,1929,1.9,0.0,0.0,5.5,0.9,123.6,353.7,150.7,20.6,7.2,0.6,11.6,676.3,1.9,6.4,648.6,19.4
21,saurashtra & kutch,1929,5.1,0.0,0.0,3.1,0.5,39.6,268.4,63.2,11.5,7.7,1.3,21.3,421.8,5.1,3.6,382.8,30.3
22,konkan & goa,1929,1.0,0.0,3.2,14.9,6.2,773.8,767.6,516.0,250.9,152.4,11.2,12.1,2509.4,1.0,24.3,2308.3,175.8
23,madhya maharashtra,1929,1.0,6.4,2.0,37.1,6.4,155.9,168.2,73.7,151.6,82.5,3.4,2.2,690.4,7.4,45.5,549.4,88.1
24,matathwada,1929,0.0,31.6,0.9,21.6,1.7,165.8,104.7,48.2,179.0,51.7,0.0,4.2,609.4,31.6,24.1,497.7,55.9
25,vidarbha,1929,3.8,52.6,0.7,11.8,0.7,170.9,263.5,157.4,193.1,28.2,0.0,29.8,912.5,56.4,13.2,784.9,58.0
26,chhattisgarh,1929,23.1,28.9,1.2,14.4,5.6,216.2,597.9,461.1,179.2,94.3,0.0,41.9,1663.8,51.9,21.2,1454.5,136.2
27,coastal andhra pradesh,1929,2.7,37.4,1.5,19.7,41.0,190.0,78.3,138.4,146.3,173.1,5.3,25.4,859.1,40.2,62.2,553.0,203.8
28,telangana,1929,5.3,64.8,0.0,21.7,2.8,146.0,115.0,142.2,232.5,35.9,0.0,24.5,790.5,70.0,24.4,635.6,60.3
29,rayalseema,1929,11.0,10.3,0.2,35.4,31.1,66.6,36.6,45.7,165.7,146.5,109.4,38.2,696.6,21.3,66.7,314.6,294.1
30,tamil nadu,1929,20.4,29.2,9.4,107.3,50.7,63.2,48.9,70.7,135.1,161.2,192.0,89.6,977.7,49.6,167.4,317.9,442.8
31,coastal karnataka,1929,1.9,0.2,2.5,105.6,114.7,1361.6,901.3,566.9,265.2,281.9,61.4,0.2,3663.6,2.2,222.8,3095.0,343.5
32,north interior karnataka,1929,2.0,24.9,2.7,49.0,37.8,105.6,67.4,33.0,167.2,91.3,16.0,1.2,598.0,26.9,89.5,373.2,108.5
33,south interior karnataka,1929,4.7,13.7,1.9,127.7,101.3,149.7,178.6,88.8,186.0,100.9,76.5,5.2,1034.9,18.4,230.9,603.1,182.5
34,kerala,1929,12.8,29.8,58.9,210.7,148.0,946.6,844.0,293.9,268.9,350.4,158.2,39.4,3361.6,42.6,417.6,2353.5,548.0
35,lakshadweep,1929,6.1,66.6,49.5,91.0,248.0,259.3,452.7,34.2,186.3,100.2,,28.8,,72.7,388.5,932.5,
