,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1971,41.5,32.8,37.7,35.3,398.0,394.6,421.1,327.9,470.2,505.3,178.4,155.9,2998.6,74.3,471.0,1613.7,839.6
1,arunachal pradesh,1971,56.0,67.8,47.1,121.8,222.4,446.0,385.5,288.2,239.6,235.1,67.8,7.3,2184.5,123.8,391.3,1359.3,310.2
2,assam & meghalaya,1971,36.9,18.4,37.6,142.9,236.3,437.1,407.9,474.8,231.6,199.5,80.0,12.1,2315.1,55.3,416.8,1551.3,291.6
3,naga mani mizo tripura,1971,28.4,67.6,12.4,312.6,248.0,543.2,624.0,553.1,421.2,171.3,94.6,4.5,3080.7,96.0,572.9,2141.5,270.5
4,sub himalayan west bengal & sikkim,1971,28.4,21.3,63.0,239.8,244.5,757.6,599.5,542.0,375.4,328.7,24.8,1.9,3226.8,49.7,547.4,2274.4,355.4
5,gangetic west bengal,1971,30.6,14.2,4.8,174.2,122.1,260.3,472.5,573.4,252.8,163.5,31.4,0.0,2099.8,44.8,301.1,1559.0,194.9
6,orissa,1971,16.1,23.5,1.9,76.9,82.2,290.8,290.9,411.0,171.5,229.9,2.1,0.0,1596.8,39.6,161.0,1164.2,232.1
7,jharkhand,1971,43.4,24.3,2.1,95.6,83.5,272.3,503.1,526.1,237.5,104.0,6.7,0.1,1898.6,67.7,181.2,1539.0,110.8
8,bihar,1971,17.3,14.6,5.1,91.4,81.5,278.0,307.0,367.9,129.2,138.6,1.9,0.0,1432.6,31.9,178.0,1082.2,140.5
9,east uttar pradesh,1971,15.7,11.6,7.1,39.6,54.5,202.5,295.3,386.7,221.8,75.8,0.5,0.0,1311.1,27.3,101.3,1106.3,76.3
10,west uttar pradesh,1971,10.9,12.5,2.9,11.5,44.7,139.1,284.6,280.5,125.7,84.3,6.2,0.0,1003.1,23.4,59.2,830.0,90.6
11,uttarakhand,1971,52.4,101.4,45.3,69.0,270.2,297.8,332.8,377.0,155.9,79.5,22.0,0.3,1803.8,153.9,384.5,1163.6,101.9
12,haryana delhi & chandigarh,1971,17.0,18.9,1.1,7.5,58.7,61.3,148.4,259.2,51.6,11.3,1.8,0.0,636.8,35.9,67.4,520.5,13.1
13,punjab,1971,5.2,42.0,3.3,11.8,42.6,99.0,251.4,255.9,27.2,1.6,8.1,0.0,748.0,47.2,57.6,633.5,9.6
14,himachal pradesh,1971,53.1,76.5,13.7,57.5,71.8,252.7,352.8,301.2,67.0,13.8,12.2,2.6,1275.1,129.6,143.1,973.7,28.6
15,jammu & kashmir,1971,28.1,112.0,10.4,111.0,34.5,93.2,117.6,192.7,13.5,3.6,27.1,20.8,764.7,140.2,155.9,417.1,51.5
16,west rajasthan,1971,3.4,0.4,0.2,1.1,23.9,69.9,83.7,46.4,20.5,2.2,0.0,0.0,251.5,3.8,25.1,220.4,2.2
17,east rajasthan,1971,2.8,0.7,0.1,1.2,33.0,171.3,288.9,155.0,117.2,13.6,0.6,0.0,784.4,3.5,34.3,732.4,14.2
18,west madhya pradesh,1971,5.4,2.0,1.2,2.8,17.7,183.9,446.9,220.3,209.6,45.6,0.2,0.0,1135.7,7.3,21.8,1060.8,45.8
19,east madhya pradesh,1971,34.6,8.3,11.4,13.6,30.0,356.6,507.9,286.3,159.2,110.9,0.0,0.0,1518.7,42.9,55.0,1309.9,110.9
20,gujarat region,1971,0.0,0.1,0.0,0.3,5.0,176.2,253.6,194.1,134.9,5.0,0.0,0.0,769.2,0.1,5.3,758.8,5.0
21,saurashtra & kutch,1971,0.3,0.0,0.0,0.3,2.0,147.1,176.8,134.1,52.2,0.9,0.0,0.0,513.6,0.3,2.3,510.1,0.9
22,konkan & goa,1971,0.0,0.0,0.0,0.3,85.1,1011.9,650.8,602.0,362.6,40.4,0.9,0.0,2754.0,0.0,85.4,2627.2,41.3
23,madhya maharashtra,1971,0.0,0.0,0.1,3.8,43.3,155.6,124.9,204.0,185.6,56.0,0.0,0.0,773.2,0.0,47.1,670.1,56.0
24,matathwada,1971,0.2,0.1,1.3,0.1,38.8,83.2,24.3,220.0,131.5,108.4,0.0,0.0,607.9,0.3,40.2,458.9,108.4
25,vidarbha,1971,3.7,12.8,21.2,12.4,26.7,193.6,124.3,259.2,119.5,108.9,0.0,0.0,882.4,16.5,60.3,696.6,108.9
26,chhattisgarh,1971,20.3,24.8,11.6,48.8,68.6,384.1,354.6,398.8,127.9,89.6,4.7,0.0,1533.8,45.1,129.0,1265.4,94.3
27,coastal andhra pradesh,1971,1.0,26.4,12.7,104.1,88.3,86.4,99.8,205.3,222.0,186.2,1.0,0.0,1033.2,27.4,205.1,613.5,187.2
28,telangana,1971,7.3,7.5,6.3,6.9,37.8,139.9,114.1,144.3,97.2,167.9,0.0,0.0,729.1,14.8,51.0,495.4,167.9
29,rayalseema,1971,3.6,4.8,20.0,27.7,52.1,35.3,60.5,98.5,90.7,163.4,40.8,23.8,621.1,8.3,99.8,285.0,227.9
30,tamil nadu,1971,19.3,11.1,37.8,40.6,75.7,46.9,87.2,127.8,109.0,221.3,71.3,199.6,1047.6,30.4,154.2,370.9,492.2
31,coastal karnataka,1971,0.0,0.1,0.4,23.5,268.3,1113.2,1017.0,532.6,215.6,55.2,7.0,2.5,3235.2,0.1,292.2,2878.4,64.6
32,north interior karnataka,1971,0.9,0.0,0.3,23.9,69.3,102.2,53.7,121.0,109.0,131.2,0.6,0.0,612.1,0.9,93.5,385.9,131.8
33,south interior karnataka,1971,2.0,5.3,2.7,37.9,100.5,204.5,174.9,180.7,161.7,122.3,17.4,10.3,1020.2,7.3,141.1,721.7,150.0
34,kerala,1971,31.6,18.5,20.0,113.0,317.5,889.6,648.6,385.2,331.2,220.9,38.3,62.3,3076.8,50.1,450.6,2254.6,321.5
35,lakshadweep,1971,3.8,12.3,5.4,25.0,271.6,333.9,308.1,349.6,281.8,113.8,63.0,133.1,1901.4,16.1,302.0,1273.4,309.9
