,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andaman & nicobar islands,1981,11.1,27.8,1.7,94.1,270.8,600.6,344.1,510.7,452.6,242.1,348.4,170.7,3074.8,38.9,366.7,1908.0,761.2
1,arunachal pradesh,1981,93.1,136.1,255.2,197.4,285.0,494.9,549.3,360.6,262.6,71.8,29.3,55.5,2790.9,229.2,737.6,1667.4,156.7
2,assam & meghalaya,1981,29.6,30.7,91.0,152.1,251.5,273.1,543.5,340.7,274.5,47.5,9.0,36.1,2079.3,60.3,494.6,1431.8,92.7
3,naga mani mizo tripura,1981,26.6,26.3,105.5,268.0,377.5,223.2,448.1,329.7,213.2,33.1,11.5,9.6,2072.2,53.0,750.9,1214.2,54.2
4,sub himalayan west bengal & sikkim,1981,48.8,23.0,77.8,185.6,273.7,468.6,833.1,540.9,453.2,38.1,9.2,17.3,2969.3,71.8,537.1,2295.9,64.6
5,gangetic west bengal,1981,13.7,63.9,64.8,110.8,250.9,321.4,417.7,327.7,250.0,11.6,3.8,72.8,1909.0,77.6,426.5,1316.7,88.2
6,orissa,1981,25.8,13.6,67.1,45.7,85.0,189.2,238.3,348.1,257.1,18.8,0.4,6.5,1295.7,39.4,197.8,1032.7,25.7
7,jharkhand,1981,40.7,33.5,20.1,40.9,94.9,143.3,355.3,226.4,189.5,6.1,3.1,13.4,1167.2,74.2,156.0,914.5,22.5
8,bihar,1981,31.3,5.7,14.3,47.9,86.3,107.9,580.1,311.3,168.8,1.0,6.1,3.9,1364.7,37.0,148.4,1168.1,11.0
9,east uttar pradesh,1981,19.6,3.7,11.8,4.8,29.2,80.0,436.0,216.8,293.0,1.4,10.9,3.1,1110.1,23.3,45.8,1025.7,15.4
10,west uttar pradesh,1981,19.0,5.2,13.4,1.3,22.7,102.2,314.5,131.4,101.9,3.1,20.6,4.2,739.6,24.3,37.5,650.0,27.9
11,uttarakhand,1981,67.6,27.8,81.3,23.7,77.4,162.1,488.1,263.5,103.1,4.6,42.1,15.0,1356.1,95.4,182.3,1016.7,61.7
12,haryana delhi & chandigarh,1981,25.7,13.3,34.6,0.5,18.0,63.3,196.7,63.7,34.7,0.1,42.1,0.6,493.4,39.0,53.2,358.4,42.9
13,punjab,1981,48.1,20.6,53.8,2.2,9.6,21.7,215.5,58.3,23.0,0.3,50.7,0.0,503.7,68.7,65.5,318.5,51.0
14,himachal pradesh,1981,114.5,96.3,162.0,54.4,67.1,94.7,233.5,163.4,71.6,11.4,70.4,7.9,1147.1,210.8,283.4,563.3,89.6
15,jammu & kashmir,1981,146.1,131.2,227.3,88.9,76.7,72.3,216.0,90.3,26.7,15.3,37.4,7.3,1135.5,277.3,392.8,405.3,60.1
